[1089, 690]
[paragraph, [65.0, 122.0, 557.0, 18.0], shoonya_1sYDASCMC8MSKD, 5759881]
[paragraph, [65.0, 140.0, 557.0, 18.0], shoonya_1sYDASCMC8MSKD, 5759881]
[paragraph, [65.0, 158.0, 557.0, 18.0], shoonya_1sYDASCMC8MSKD, 5759881]
[paragraph, [65.0, 176.0, 557.0, 18.0], shoonya_1sYDASCMC8MSKD, 5759881]
[paragraph, [65.0, 194.0, 557.0, 18.0], shoonya_1sYDASCMC8MSKD, 5759881]
[paragraph, [65.0, 212.0, 557.0, 18.0], shoonya_1sYDASCMC8MSKD, 5759881]
[paragraph, [65.0, 230.0, 557.0, 18.0], shoonya_1sYDASCMC8MSKD, 5759881]
[paragraph, [67.0, 264.0, 555.0, 18.0], shoonya_0s1G4S1CWOBY2F, 5759881]
[paragraph, [67.0, 282.0, 555.0, 18.0], shoonya_0s1G4S1CWOBY2F, 5759881]
[paragraph, [67.0, 300.0, 555.0, 18.0], shoonya_0s1G4S1CWOBY2F, 5759881]
[paragraph, [67.0, 318.0, 555.0, 18.0], shoonya_0s1G4S1CWOBY2F, 5759881]
[paragraph, [67.0, 336.0, 555.0, 18.0], shoonya_0s1G4S1CWOBY2F, 5759881]
[paragraph, [67.0, 354.0, 555.0, 18.0], shoonya_0s1G4S1CWOBY2F, 5759881]
[paragraph, [67.0, 372.0, 555.0, 18.0], shoonya_0s1G4S1CWOBY2F, 5759881]
[paragraph, [67.0, 390.0, 555.0, 18.0], shoonya_0s1G4S1CWOBY2F, 5759881]
[paragraph, [67.0, 408.0, 555.0, 18.0], shoonya_0s1G4S1CWOBY2F, 5759881]
[paragraph, [67.0, 426.0, 555.0, 18.0], shoonya_0s1G4S1CWOBY2F, 5759881]
[paragraph, [67.0, 444.0, 555.0, 18.0], shoonya_0s1G4S1CWOBY2F, 5759881]
[paragraph, [67.0, 462.0, 555.0, 18.0], shoonya_0s1G4S1CWOBY2F, 5759881]
[paragraph, [67.0, 480.0, 555.0, 18.0], shoonya_0s1G4S1CWOBY2F, 5759881]
[paragraph, [67.0, 498.0, 555.0, 18.0], shoonya_0s1G4S1CWOBY2F, 5759881]
[paragraph, [67.0, 516.0, 555.0, 18.0], shoonya_0s1G4S1CWOBY2F, 5759881]
[paragraph, [67.0, 534.0, 555.0, 18.0], shoonya_0s1G4S1CWOBY2F, 5759881]
[paragraph, [67.0, 552.0, 555.0, 18.0], shoonya_0s1G4S1CWOBY2F, 5759881]
[paragraph, [67.0, 570.0, 555.0, 18.0], shoonya_0s1G4S1CWOBY2F, 5759881]
[paragraph, [67.0, 588.0, 555.0, 18.0], shoonya_0s1G4S1CWOBY2F, 5759881]
[paragraph, [67.0, 606.0, 555.0, 18.0], shoonya_0s1G4S1CWOBY2F, 5759881]
[paragraph, [67.0, 624.0, 555.0, 18.0], shoonya_0s1G4S1CWOBY2F, 5759881]
[paragraph, [73.0, 657.0, 550.0, 18.0], rx8Cshj64a, 5759881]
[paragraph, [73.0, 675.0, 550.0, 18.0], rx8Cshj64a, 5759881]
[paragraph, [73.0, 693.0, 550.0, 18.0], rx8Cshj64a, 5759881]
[paragraph, [67.0, 720.0, 560.0, 18.0], shoonya_3sXHZVXQRBYNOK, 5759881]
[paragraph, [67.0, 738.0, 560.0, 18.0], shoonya_3sXHZVXQRBYNOK, 5759881]
[paragraph, [67.0, 756.0, 560.0, 18.0], shoonya_3sXHZVXQRBYNOK, 5759881]
[paragraph, [67.0, 774.0, 560.0, 18.0], shoonya_3sXHZVXQRBYNOK, 5759881]
[paragraph, [67.0, 792.0, 560.0, 18.0], shoonya_3sXHZVXQRBYNOK, 5759881]
[paragraph, [67.0, 810.0, 560.0, 18.0], shoonya_3sXHZVXQRBYNOK, 5759881]
[paragraph, [67.0, 828.0, 560.0, 18.0], shoonya_3sXHZVXQRBYNOK, 5759881]
[paragraph, [67.0, 846.0, 560.0, 18.0], shoonya_3sXHZVXQRBYNOK, 5759881]
[paragraph, [67.0, 864.0, 560.0, 18.0], shoonya_3sXHZVXQRBYNOK, 5759881]
[paragraph, [67.0, 882.0, 560.0, 18.0], shoonya_3sXHZVXQRBYNOK, 5759881]
[paragraph, [67.0, 900.0, 560.0, 18.0], shoonya_3sXHZVXQRBYNOK, 5759881]
