[1754, 1241]
[folio, [147.0, 110.0, 189.0, 36.0], 6PQyMwcbwe, 5746832]
[unordered-list, [215.0, 156.0, 878.0, 36.0], shoonya_0sJ3CXJTUI7SCT, 5746832]
[unordered-list, [215.0, 192.0, 878.0, 36.0], shoonya_0sJ3CXJTUI7SCT, 5746832]
[unordered-list, [215.0, 228.0, 878.0, 36.0], shoonya_0sJ3CXJTUI7SCT, 5746832]
[unordered-list, [215.0, 264.0, 878.0, 36.0], shoonya_0sJ3CXJTUI7SCT, 5746832]
[unordered-list, [215.0, 300.0, 878.0, 36.0], shoonya_0sJ3CXJTUI7SCT, 5746832]
[unordered-list, [215.0, 336.0, 878.0, 36.0], shoonya_0sJ3CXJTUI7SCT, 5746832]
[paragraph, [135.0, 398.0, 962.0, 36.0], shoonya_2s80YNGET2AENP, 5746832]
[paragraph, [135.0, 434.0, 962.0, 36.0], shoonya_2s80YNGET2AENP, 5746832]
[paragraph, [135.0, 470.0, 962.0, 36.0], shoonya_2s80YNGET2AENP, 5746832]
[paragraph, [135.0, 506.0, 962.0, 36.0], shoonya_2s80YNGET2AENP, 5746832]
[paragraph, [135.0, 542.0, 962.0, 36.0], shoonya_2s80YNGET2AENP, 5746832]
[paragraph, [135.0, 578.0, 962.0, 36.0], shoonya_2s80YNGET2AENP, 5746832]
[paragraph, [135.0, 614.0, 962.0, 36.0], shoonya_2s80YNGET2AENP, 5746832]
[paragraph, [141.0, 673.0, 957.0, 36.0], N6MaJFG51I, 5746832]
[paragraph, [141.0, 709.0, 957.0, 36.0], N6MaJFG51I, 5746832]
[paragraph, [141.0, 745.0, 957.0, 36.0], N6MaJFG51I, 5746832]
[paragraph, [141.0, 781.0, 957.0, 36.0], N6MaJFG51I, 5746832]
[paragraph, [141.0, 817.0, 957.0, 36.0], N6MaJFG51I, 5746832]
[paragraph, [141.0, 853.0, 957.0, 36.0], N6MaJFG51I, 5746832]
[paragraph, [141.0, 889.0, 957.0, 36.0], N6MaJFG51I, 5746832]
[paragraph, [141.0, 925.0, 957.0, 36.0], N6MaJFG51I, 5746832]
[paragraph, [141.0, 961.0, 957.0, 36.0], N6MaJFG51I, 5746832]
[paragraph, [141.0, 997.0, 957.0, 36.0], N6MaJFG51I, 5746832]
[paragraph, [141.0, 1033.0, 957.0, 36.0], N6MaJFG51I, 5746832]
[paragraph, [141.0, 1069.0, 957.0, 36.0], N6MaJFG51I, 5746832]
[paragraph, [136.0, 1132.0, 966.0, 36.0], TCr8h3I5sl, 5746832]
[paragraph, [136.0, 1168.0, 966.0, 36.0], TCr8h3I5sl, 5746832]
[paragraph, [136.0, 1204.0, 966.0, 36.0], TCr8h3I5sl, 5746832]
[paragraph, [136.0, 1240.0, 966.0, 36.0], TCr8h3I5sl, 5746832]
[paragraph, [136.0, 1276.0, 966.0, 36.0], TCr8h3I5sl, 5746832]
[paragraph, [136.0, 1312.0, 966.0, 36.0], TCr8h3I5sl, 5746832]
[paragraph, [136.0, 1348.0, 966.0, 36.0], TCr8h3I5sl, 5746832]
[paragraph, [144.0, 1411.0, 954.0, 36.0], shoonya_3sU9Q5BMUUU0IO, 5746832]
[paragraph, [144.0, 1447.0, 954.0, 36.0], shoonya_3sU9Q5BMUUU0IO, 5746832]
[paragraph, [144.0, 1483.0, 954.0, 36.0], shoonya_3sU9Q5BMUUU0IO, 5746832]
