[2339, 1653]
[folio, [280.0, 216.0, 150.0, 36.0], ErGMAmigQN, 5655252]
[paragraph, [287.0, 313.0, 1067.0, 36.0], shoonya_0sACO7KZ1PUGJ0, 5655252]
[paragraph, [287.0, 349.0, 1067.0, 36.0], shoonya_0sACO7KZ1PUGJ0, 5655252]
[paragraph, [287.0, 385.0, 1067.0, 36.0], shoonya_0sACO7KZ1PUGJ0, 5655252]
[paragraph, [287.0, 421.0, 1067.0, 36.0], shoonya_0sACO7KZ1PUGJ0, 5655252]
[paragraph, [287.0, 457.0, 1067.0, 36.0], shoonya_0sACO7KZ1PUGJ0, 5655252]
[paragraph, [287.0, 493.0, 1067.0, 36.0], shoonya_0sACO7KZ1PUGJ0, 5655252]
[paragraph, [287.0, 529.0, 1067.0, 36.0], shoonya_0sACO7KZ1PUGJ0, 5655252]
[paragraph, [287.0, 565.0, 1067.0, 36.0], shoonya_0sACO7KZ1PUGJ0, 5655252]
[paragraph, [287.0, 601.0, 1067.0, 36.0], shoonya_0sACO7KZ1PUGJ0, 5655252]
[paragraph, [290.0, 674.0, 1067.0, 36.0], shoonya_1sD3C0F5K6QCU9, 5655252]
[paragraph, [290.0, 710.0, 1067.0, 36.0], shoonya_1sD3C0F5K6QCU9, 5655252]
[paragraph, [290.0, 746.0, 1067.0, 36.0], shoonya_1sD3C0F5K6QCU9, 5655252]
[paragraph, [290.0, 782.0, 1067.0, 36.0], shoonya_1sD3C0F5K6QCU9, 5655252]
[paragraph, [290.0, 818.0, 1067.0, 36.0], shoonya_1sD3C0F5K6QCU9, 5655252]
[paragraph, [290.0, 854.0, 1067.0, 36.0], shoonya_1sD3C0F5K6QCU9, 5655252]
[paragraph, [286.0, 938.0, 1078.0, 36.0], shoonya_2sX6D9777LYK4D, 5655252]
[paragraph, [286.0, 974.0, 1078.0, 36.0], shoonya_2sX6D9777LYK4D, 5655252]
[paragraph, [286.0, 1010.0, 1078.0, 36.0], shoonya_2sX6D9777LYK4D, 5655252]
[paragraph, [286.0, 1046.0, 1078.0, 36.0], shoonya_2sX6D9777LYK4D, 5655252]
[paragraph, [286.0, 1082.0, 1078.0, 36.0], shoonya_2sX6D9777LYK4D, 5655252]
[paragraph, [286.0, 1118.0, 1078.0, 36.0], shoonya_2sX6D9777LYK4D, 5655252]
[paragraph, [286.0, 1154.0, 1078.0, 36.0], shoonya_2sX6D9777LYK4D, 5655252]
[paragraph, [286.0, 1190.0, 1078.0, 36.0], shoonya_2sX6D9777LYK4D, 5655252]
[paragraph, [286.0, 1226.0, 1078.0, 36.0], shoonya_2sX6D9777LYK4D, 5655252]
[paragraph, [286.0, 1262.0, 1078.0, 36.0], shoonya_2sX6D9777LYK4D, 5655252]
[paragraph, [286.0, 1298.0, 1078.0, 36.0], shoonya_2sX6D9777LYK4D, 5655252]
[paragraph, [281.0, 1382.0, 1083.0, 36.0], shoonya_5sZZQWCQARGI0R, 5655252]
[paragraph, [281.0, 1418.0, 1083.0, 36.0], shoonya_5sZZQWCQARGI0R, 5655252]
[paragraph, [281.0, 1454.0, 1083.0, 36.0], shoonya_5sZZQWCQARGI0R, 5655252]
[paragraph, [281.0, 1490.0, 1083.0, 36.0], shoonya_5sZZQWCQARGI0R, 5655252]
[paragraph, [281.0, 1526.0, 1083.0, 36.0], shoonya_5sZZQWCQARGI0R, 5655252]
[paragraph, [281.0, 1562.0, 1083.0, 36.0], shoonya_5sZZQWCQARGI0R, 5655252]
[paragraph, [281.0, 1598.0, 1083.0, 36.0], shoonya_5sZZQWCQARGI0R, 5655252]
[paragraph, [281.0, 1634.0, 1083.0, 36.0], shoonya_5sZZQWCQARGI0R, 5655252]
[paragraph, [281.0, 1670.0, 1083.0, 36.0], shoonya_5sZZQWCQARGI0R, 5655252]
[paragraph, [281.0, 1706.0, 1083.0, 36.0], shoonya_5sZZQWCQARGI0R, 5655252]
[paragraph, [281.0, 1742.0, 1083.0, 36.0], shoonya_5sZZQWCQARGI0R, 5655252]
[paragraph, [284.0, 1818.0, 1085.0, 36.0], shoonya_3s00RN6L8SQF8D, 5655252]
[paragraph, [284.0, 1854.0, 1085.0, 36.0], shoonya_3s00RN6L8SQF8D, 5655252]
[paragraph, [284.0, 1890.0, 1085.0, 36.0], shoonya_3s00RN6L8SQF8D, 5655252]
[paragraph, [284.0, 1926.0, 1085.0, 36.0], shoonya_3s00RN6L8SQF8D, 5655252]
[paragraph, [284.0, 1962.0, 1085.0, 36.0], shoonya_3s00RN6L8SQF8D, 5655252]
[paragraph, [284.0, 1998.0, 1085.0, 36.0], shoonya_3s00RN6L8SQF8D, 5655252]
[paragraph, [284.0, 2034.0, 1085.0, 36.0], shoonya_3s00RN6L8SQF8D, 5655252]
