[842, 596]
[ordered-list, [89.0, 97.0, 440.0, 18.0], tKsxsV92Zp, 6461413]
[ordered-list, [89.0, 115.0, 440.0, 18.0], tKsxsV92Zp, 6461413]
[ordered-list, [89.0, 133.0, 440.0, 18.0], tKsxsV92Zp, 6461413]
[ordered-list, [89.0, 151.0, 440.0, 18.0], tKsxsV92Zp, 6461413]
[ordered-list, [89.0, 169.0, 440.0, 18.0], tKsxsV92Zp, 6461413]
[ordered-list, [89.0, 187.0, 440.0, 18.0], tKsxsV92Zp, 6461413]
[unordered-list, [122.0, 115.0, 404.0, 18.0], eT5b42DGoe, 6461413]
[unordered-list, [122.0, 133.0, 404.0, 18.0], eT5b42DGoe, 6461413]
[unordered-list, [122.0, 151.0, 404.0, 18.0], eT5b42DGoe, 6461413]
[unordered-list, [122.0, 169.0, 404.0, 18.0], eT5b42DGoe, 6461413]
[unordered-list, [122.0, 187.0, 404.0, 18.0], eT5b42DGoe, 6461413]
[section-title, [267.0, 253.0, 90.0, 30.0], _8OurLjTwe, 6461413]
[ordered-list, [79.0, 303.0, 459.0, 18.0], h4PbXlFE_o, 6461413]
[ordered-list, [79.0, 321.0, 459.0, 18.0], h4PbXlFE_o, 6461413]
[ordered-list, [79.0, 339.0, 459.0, 18.0], h4PbXlFE_o, 6461413]
[ordered-list, [79.0, 357.0, 459.0, 18.0], h4PbXlFE_o, 6461413]
[ordered-list, [79.0, 375.0, 459.0, 18.0], h4PbXlFE_o, 6461413]
[ordered-list, [79.0, 393.0, 459.0, 18.0], h4PbXlFE_o, 6461413]
[ordered-list, [79.0, 411.0, 459.0, 18.0], h4PbXlFE_o, 6461413]
[ordered-list, [79.0, 429.0, 459.0, 18.0], h4PbXlFE_o, 6461413]
[ordered-list, [79.0, 447.0, 459.0, 18.0], h4PbXlFE_o, 6461413]
[ordered-list, [79.0, 465.0, 459.0, 18.0], h4PbXlFE_o, 6461413]
[ordered-list, [79.0, 483.0, 459.0, 18.0], h4PbXlFE_o, 6461413]
[ordered-list, [79.0, 501.0, 459.0, 18.0], h4PbXlFE_o, 6461413]
[ordered-list, [79.0, 519.0, 459.0, 18.0], h4PbXlFE_o, 6461413]
[ordered-list, [79.0, 537.0, 459.0, 18.0], h4PbXlFE_o, 6461413]
[ordered-list, [79.0, 555.0, 459.0, 18.0], h4PbXlFE_o, 6461413]
[ordered-list, [79.0, 573.0, 459.0, 18.0], h4PbXlFE_o, 6461413]
[ordered-list, [79.0, 591.0, 459.0, 18.0], h4PbXlFE_o, 6461413]
[ordered-list, [79.0, 609.0, 459.0, 18.0], h4PbXlFE_o, 6461413]
[ordered-list, [79.0, 627.0, 459.0, 18.0], h4PbXlFE_o, 6461413]
[ordered-list, [79.0, 645.0, 459.0, 18.0], h4PbXlFE_o, 6461413]
[ordered-list, [79.0, 663.0, 459.0, 18.0], h4PbXlFE_o, 6461413]
[ordered-list, [79.0, 681.0, 459.0, 18.0], h4PbXlFE_o, 6461413]
[ordered-list, [79.0, 699.0, 459.0, 18.0], h4PbXlFE_o, 6461413]
[ordered-list, [79.0, 717.0, 459.0, 18.0], h4PbXlFE_o, 6461413]
[unordered-list, [112.0, 325.0, 419.0, 18.0], R5ZamOpKez, 6461413]
[unordered-list, [112.0, 343.0, 419.0, 18.0], R5ZamOpKez, 6461413]
[unordered-list, [112.0, 361.0, 419.0, 18.0], R5ZamOpKez, 6461413]
[unordered-list, [112.0, 379.0, 419.0, 18.0], R5ZamOpKez, 6461413]
[unordered-list, [112.0, 397.0, 419.0, 18.0], R5ZamOpKez, 6461413]
[unordered-list, [112.0, 415.0, 419.0, 18.0], R5ZamOpKez, 6461413]
[unordered-list, [112.0, 433.0, 419.0, 18.0], R5ZamOpKez, 6461413]
[unordered-list, [112.0, 451.0, 419.0, 18.0], R5ZamOpKez, 6461413]
[unordered-list, [112.0, 469.0, 419.0, 18.0], R5ZamOpKez, 6461413]
[unordered-list, [112.0, 487.0, 419.0, 18.0], R5ZamOpKez, 6461413]
[unordered-list, [112.0, 505.0, 419.0, 18.0], R5ZamOpKez, 6461413]
[unordered-list, [112.0, 523.0, 419.0, 18.0], R5ZamOpKez, 6461413]
[unordered-list, [112.0, 541.0, 419.0, 18.0], R5ZamOpKez, 6461413]
[unordered-list, [112.0, 559.0, 419.0, 18.0], R5ZamOpKez, 6461413]
[unordered-list, [112.0, 577.0, 419.0, 18.0], R5ZamOpKez, 6461413]
[unordered-list, [112.0, 595.0, 419.0, 18.0], R5ZamOpKez, 6461413]
[unordered-list, [112.0, 613.0, 419.0, 18.0], R5ZamOpKez, 6461413]
[unordered-list, [112.0, 631.0, 419.0, 18.0], R5ZamOpKez, 6461413]
[unordered-list, [112.0, 649.0, 419.0, 18.0], R5ZamOpKez, 6461413]
[unordered-list, [112.0, 667.0, 419.0, 18.0], R5ZamOpKez, 6461413]
[unordered-list, [112.0, 685.0, 419.0, 18.0], R5ZamOpKez, 6461413]
[unordered-list, [112.0, 703.0, 419.0, 18.0], R5ZamOpKez, 6461413]
