[1755, 1240]
[paragraph, [253.0, 193.0, 809.0, 36.0], zwqDKQFWNt, 5704295]
[paragraph, [253.0, 229.0, 809.0, 36.0], zwqDKQFWNt, 5704295]
[paragraph, [253.0, 265.0, 809.0, 36.0], zwqDKQFWNt, 5704295]
[paragraph, [253.0, 301.0, 809.0, 36.0], zwqDKQFWNt, 5704295]
[paragraph, [181.0, 383.0, 881.0, 36.0], shoonya_2sNF9YQK4RO2D8, 5704295]
[paragraph, [181.0, 419.0, 881.0, 36.0], shoonya_2sNF9YQK4RO2D8, 5704295]
[paragraph, [181.0, 455.0, 881.0, 36.0], shoonya_2sNF9YQK4RO2D8, 5704295]
[paragraph, [181.0, 491.0, 881.0, 36.0], shoonya_2sNF9YQK4RO2D8, 5704295]
[paragraph, [181.0, 527.0, 881.0, 36.0], shoonya_2sNF9YQK4RO2D8, 5704295]
[paragraph, [181.0, 563.0, 881.0, 36.0], shoonya_2sNF9YQK4RO2D8, 5704295]
[paragraph, [181.0, 599.0, 881.0, 36.0], shoonya_2sNF9YQK4RO2D8, 5704295]
[paragraph, [181.0, 635.0, 881.0, 36.0], shoonya_2sNF9YQK4RO2D8, 5704295]
[paragraph, [181.0, 671.0, 881.0, 36.0], shoonya_2sNF9YQK4RO2D8, 5704295]
[paragraph, [181.0, 707.0, 881.0, 36.0], shoonya_2sNF9YQK4RO2D8, 5704295]
[paragraph, [181.0, 743.0, 881.0, 36.0], shoonya_2sNF9YQK4RO2D8, 5704295]
[paragraph, [181.0, 779.0, 881.0, 36.0], shoonya_2sNF9YQK4RO2D8, 5704295]
[paragraph, [179.0, 864.0, 881.0, 36.0], shoonya_1sDJ8N8ATIACLX, 5704295]
[paragraph, [179.0, 900.0, 881.0, 36.0], shoonya_1sDJ8N8ATIACLX, 5704295]
[paragraph, [179.0, 936.0, 881.0, 36.0], shoonya_1sDJ8N8ATIACLX, 5704295]
[paragraph, [179.0, 972.0, 881.0, 36.0], shoonya_1sDJ8N8ATIACLX, 5704295]
[paragraph, [179.0, 1008.0, 881.0, 36.0], shoonya_1sDJ8N8ATIACLX, 5704295]
[paragraph, [179.0, 1044.0, 881.0, 36.0], shoonya_1sDJ8N8ATIACLX, 5704295]
[paragraph, [179.0, 1080.0, 881.0, 36.0], shoonya_1sDJ8N8ATIACLX, 5704295]
[paragraph, [181.0, 1352.0, 879.0, 36.0], shoonya_0sJ75U1LJB54HL, 5704295]
[paragraph, [181.0, 1388.0, 879.0, 36.0], shoonya_0sJ75U1LJB54HL, 5704295]
[paragraph, [181.0, 1424.0, 879.0, 36.0], shoonya_0sJ75U1LJB54HL, 5704295]
[paragraph, [181.0, 1460.0, 879.0, 36.0], shoonya_0sJ75U1LJB54HL, 5704295]
