[2339, 1653]
[folio, [1265.0, 332.0, 152.0, 36.0], hFp9exKX6K, 5735883]
[sidebar, [74.0, 379.0, 144.0, 36.0], Alz9H_l5aC, 5735883]
[sidebar, [74.0, 415.0, 144.0, 36.0], Alz9H_l5aC, 5735883]
[paragraph, [501.0, 385.0, 315.0, 36.0], shoonya_3sZPGSD7W1QJLW, 5735883]
[paragraph, [501.0, 421.0, 315.0, 36.0], shoonya_3sZPGSD7W1QJLW, 5735883]
[paragraph, [501.0, 457.0, 315.0, 36.0], shoonya_3sZPGSD7W1QJLW, 5735883]
[paragraph, [501.0, 493.0, 315.0, 36.0], shoonya_3sZPGSD7W1QJLW, 5735883]
[paragraph, [501.0, 529.0, 315.0, 36.0], shoonya_3sZPGSD7W1QJLW, 5735883]
[paragraph, [501.0, 565.0, 315.0, 36.0], shoonya_3sZPGSD7W1QJLW, 5735883]
[paragraph, [501.0, 601.0, 315.0, 36.0], shoonya_3sZPGSD7W1QJLW, 5735883]
[paragraph, [501.0, 637.0, 315.0, 36.0], shoonya_3sZPGSD7W1QJLW, 5735883]
[paragraph, [501.0, 673.0, 315.0, 36.0], shoonya_3sZPGSD7W1QJLW, 5735883]
[paragraph, [836.0, 385.0, 582.0, 36.0], shoonya_0sCUCKFTM8791E, 5735883]
[paragraph, [836.0, 421.0, 582.0, 36.0], shoonya_0sCUCKFTM8791E, 5735883]
[paragraph, [836.0, 457.0, 582.0, 36.0], shoonya_0sCUCKFTM8791E, 5735883]
[paragraph, [836.0, 493.0, 582.0, 36.0], shoonya_0sCUCKFTM8791E, 5735883]
[paragraph, [836.0, 529.0, 582.0, 36.0], shoonya_0sCUCKFTM8791E, 5735883]
[paragraph, [836.0, 565.0, 582.0, 36.0], shoonya_0sCUCKFTM8791E, 5735883]
[paragraph, [836.0, 601.0, 582.0, 36.0], shoonya_0sCUCKFTM8791E, 5735883]
[paragraph, [836.0, 637.0, 582.0, 36.0], shoonya_0sCUCKFTM8791E, 5735883]
[paragraph, [836.0, 673.0, 582.0, 36.0], shoonya_0sCUCKFTM8791E, 5735883]
