[3960, 3060]
[paragraph, [514.0, 351.0, 2200.0, 52.5], shoonya_1sLP0OC7P6KTFR, 5698877]
[paragraph, [514.0, 403.5, 2200.0, 52.5], shoonya_1sLP0OC7P6KTFR, 5698877]
[paragraph, [514.0, 456.0, 2200.0, 52.5], shoonya_1sLP0OC7P6KTFR, 5698877]
[paragraph, [514.0, 508.5, 2200.0, 52.5], shoonya_1sLP0OC7P6KTFR, 5698877]
[paragraph, [514.0, 561.0, 2200.0, 52.5], shoonya_1sLP0OC7P6KTFR, 5698877]
[paragraph, [514.0, 613.5, 2200.0, 52.5], shoonya_1sLP0OC7P6KTFR, 5698877]
[paragraph, [514.0, 666.0, 2200.0, 52.5], shoonya_1sLP0OC7P6KTFR, 5698877]
[paragraph, [514.0, 718.5, 2200.0, 52.5], shoonya_1sLP0OC7P6KTFR, 5698877]
[paragraph, [514.0, 771.0, 2200.0, 52.5], shoonya_1sLP0OC7P6KTFR, 5698877]
[paragraph, [514.0, 823.5, 2200.0, 52.5], shoonya_1sLP0OC7P6KTFR, 5698877]
[paragraph, [514.0, 876.0, 2200.0, 52.5], shoonya_1sLP0OC7P6KTFR, 5698877]
[paragraph, [514.0, 928.5, 2200.0, 52.5], shoonya_1sLP0OC7P6KTFR, 5698877]
[paragraph, [514.0, 981.0, 2200.0, 52.5], shoonya_1sLP0OC7P6KTFR, 5698877]
[paragraph, [514.0, 1033.5, 2200.0, 52.5], shoonya_1sLP0OC7P6KTFR, 5698877]
[paragraph, [514.0, 1086.0, 2200.0, 52.5], shoonya_1sLP0OC7P6KTFR, 5698877]
[paragraph, [519.0, 1194.0, 2196.0, 52.5], shoonya_0sIAAANWBRC0W2, 5698877]
[paragraph, [519.0, 1246.5, 2196.0, 52.5], shoonya_0sIAAANWBRC0W2, 5698877]
[paragraph, [519.0, 1299.0, 2196.0, 52.5], shoonya_0sIAAANWBRC0W2, 5698877]
[paragraph, [519.0, 1351.5, 2196.0, 52.5], shoonya_0sIAAANWBRC0W2, 5698877]
[paragraph, [519.0, 1404.0, 2196.0, 52.5], shoonya_0sIAAANWBRC0W2, 5698877]
[paragraph, [519.0, 1456.5, 2196.0, 52.5], shoonya_0sIAAANWBRC0W2, 5698877]
[paragraph, [519.0, 1509.0, 2196.0, 52.5], shoonya_0sIAAANWBRC0W2, 5698877]
[paragraph, [519.0, 1561.5, 2196.0, 52.5], shoonya_0sIAAANWBRC0W2, 5698877]
[paragraph, [519.0, 1614.0, 2196.0, 52.5], shoonya_0sIAAANWBRC0W2, 5698877]
[paragraph, [519.0, 1666.5, 2196.0, 52.5], shoonya_0sIAAANWBRC0W2, 5698877]
[paragraph, [519.0, 1719.0, 2196.0, 52.5], shoonya_0sIAAANWBRC0W2, 5698877]
[paragraph, [519.0, 1771.5, 2196.0, 52.5], shoonya_0sIAAANWBRC0W2, 5698877]
[paragraph, [519.0, 1824.0, 2196.0, 52.5], shoonya_0sIAAANWBRC0W2, 5698877]
[paragraph, [519.0, 1876.5, 2196.0, 52.5], shoonya_0sIAAANWBRC0W2, 5698877]
[paragraph, [519.0, 1929.0, 2196.0, 52.5], shoonya_0sIAAANWBRC0W2, 5698877]
