[872, 605]
[section-title, [265.0, 32.0, 73.0, 30.0], ol_ljcKBhK, 6457445]
[folio, [495.0, 36.0, 60.0, 18.0], DcPgE8UBIx, 6457445]
[paragraph, [50.0, 73.0, 254.0, 18.0], shoonya_0sVLSWE4ZXREB0, 6457445]
[paragraph, [50.0, 91.0, 254.0, 18.0], shoonya_0sVLSWE4ZXREB0, 6457445]
[paragraph, [50.0, 109.0, 254.0, 18.0], shoonya_0sVLSWE4ZXREB0, 6457445]
[paragraph, [50.0, 127.0, 254.0, 18.0], shoonya_0sVLSWE4ZXREB0, 6457445]
[paragraph, [50.0, 145.0, 254.0, 18.0], shoonya_0sVLSWE4ZXREB0, 6457445]
[paragraph, [50.0, 163.0, 254.0, 18.0], shoonya_0sVLSWE4ZXREB0, 6457445]
[paragraph, [50.0, 181.0, 254.0, 18.0], shoonya_0sVLSWE4ZXREB0, 6457445]
[paragraph, [50.0, 199.0, 254.0, 18.0], shoonya_0sVLSWE4ZXREB0, 6457445]
[paragraph, [50.0, 217.0, 254.0, 18.0], shoonya_0sVLSWE4ZXREB0, 6457445]
[paragraph, [50.0, 235.0, 254.0, 18.0], shoonya_0sVLSWE4ZXREB0, 6457445]
[paragraph, [50.0, 253.0, 254.0, 18.0], shoonya_0sVLSWE4ZXREB0, 6457445]
[paragraph, [302.0, 74.0, 252.0, 18.0], NcjOdMOpYA, 6457445]
[paragraph, [302.0, 92.0, 252.0, 18.0], NcjOdMOpYA, 6457445]
[paragraph, [303.0, 110.0, 254.0, 18.0], ATOvYjsgFq, 6457445]
[paragraph, [303.0, 128.0, 254.0, 18.0], ATOvYjsgFq, 6457445]
[paragraph, [303.0, 146.0, 254.0, 18.0], ATOvYjsgFq, 6457445]
[paragraph, [303.0, 164.0, 254.0, 18.0], ATOvYjsgFq, 6457445]
[paragraph, [302.0, 195.0, 235.0, 18.0], NrxcO0CafC, 6457445]
[paragraph, [302.0, 213.0, 235.0, 18.0], NrxcO0CafC, 6457445]
[paragraph, [302.0, 233.0, 228.0, 18.0], 8HwxCaIeiF, 6457445]
[paragraph, [302.0, 249.0, 251.0, 18.0], 3-4rVESTZA, 6457445]
[paragraph, [302.0, 267.0, 251.0, 18.0], 3-4rVESTZA, 6457445]
[paragraph, [302.0, 285.0, 251.0, 18.0], 3-4rVESTZA, 6457445]
[paragraph, [302.0, 303.0, 251.0, 18.0], 3-4rVESTZA, 6457445]
