[789, 571]
[folio, [239.0, 57.0, 104.0, 18.0], 0eDIHcNKgE, 5702771]
[paragraph, [64.0, 94.0, 454.0, 18.0], 8PjQUYOFc3, 5702771]
[paragraph, [64.0, 112.0, 454.0, 18.0], 8PjQUYOFc3, 5702771]
[paragraph, [64.0, 130.0, 454.0, 18.0], 8PjQUYOFc3, 5702771]
[paragraph, [64.0, 148.0, 454.0, 18.0], 8PjQUYOFc3, 5702771]
[paragraph, [64.0, 166.0, 454.0, 18.0], 8PjQUYOFc3, 5702771]
[paragraph, [64.0, 184.0, 454.0, 18.0], 8PjQUYOFc3, 5702771]
[paragraph, [64.0, 202.0, 454.0, 18.0], 8PjQUYOFc3, 5702771]
[paragraph, [64.0, 220.0, 454.0, 18.0], 8PjQUYOFc3, 5702771]
[paragraph, [64.0, 238.0, 454.0, 18.0], 8PjQUYOFc3, 5702771]
[paragraph, [64.0, 256.0, 454.0, 18.0], 8PjQUYOFc3, 5702771]
[paragraph, [64.0, 274.0, 454.0, 18.0], 8PjQUYOFc3, 5702771]
[paragraph, [64.0, 292.0, 454.0, 18.0], 8PjQUYOFc3, 5702771]
[paragraph, [64.0, 310.0, 454.0, 18.0], 8PjQUYOFc3, 5702771]
[paragraph, [64.0, 328.0, 454.0, 18.0], 8PjQUYOFc3, 5702771]
[paragraph, [64.0, 346.0, 454.0, 18.0], 8PjQUYOFc3, 5702771]
[paragraph, [60.0, 365.0, 459.0, 18.0], shoonya_0s462KR19BO3F5, 5702771]
[paragraph, [60.0, 383.0, 459.0, 18.0], shoonya_0s462KR19BO3F5, 5702771]
[paragraph, [60.0, 401.0, 459.0, 18.0], shoonya_0s462KR19BO3F5, 5702771]
[paragraph, [60.0, 419.0, 459.0, 18.0], shoonya_0s462KR19BO3F5, 5702771]
[paragraph, [60.0, 437.0, 459.0, 18.0], shoonya_0s462KR19BO3F5, 5702771]
[paragraph, [60.0, 455.0, 459.0, 18.0], shoonya_0s462KR19BO3F5, 5702771]
[paragraph, [60.0, 473.0, 459.0, 18.0], shoonya_0s462KR19BO3F5, 5702771]
[paragraph, [60.0, 491.0, 459.0, 18.0], shoonya_0s462KR19BO3F5, 5702771]
[paragraph, [60.0, 509.0, 459.0, 18.0], shoonya_0s462KR19BO3F5, 5702771]
[paragraph, [60.0, 527.0, 459.0, 18.0], shoonya_0s462KR19BO3F5, 5702771]
[paragraph, [60.0, 545.0, 459.0, 18.0], shoonya_0s462KR19BO3F5, 5702771]
[paragraph, [60.0, 563.0, 459.0, 18.0], shoonya_0s462KR19BO3F5, 5702771]
[paragraph, [60.0, 581.0, 459.0, 18.0], shoonya_0s462KR19BO3F5, 5702771]
[paragraph, [64.0, 614.0, 453.0, 18.0], shoonya_13sAWEK0QERMTZ, 5702771]
[paragraph, [64.0, 632.0, 453.0, 18.0], shoonya_13sAWEK0QERMTZ, 5702771]
[paragraph, [64.0, 650.0, 453.0, 18.0], shoonya_13sAWEK0QERMTZ, 5702771]
[paragraph, [64.0, 668.0, 453.0, 18.0], shoonya_13sAWEK0QERMTZ, 5702771]
[paragraph, [64.0, 686.0, 453.0, 18.0], shoonya_13sAWEK0QERMTZ, 5702771]
[paragraph, [64.0, 704.0, 453.0, 18.0], shoonya_13sAWEK0QERMTZ, 5702771]
