[1650, 1275]
[section-title, [91.0, 74.0, 329.0, 49.5], shoonya_0sVQBRYXJAXEBY, 5719863]
[section-title, [91.0, 123.5, 329.0, 49.5], shoonya_0sVQBRYXJAXEBY, 5719863]
[paragraph, [87.0, 182.0, 1086.0, 36.0], shoonya_2sLVDAKI8HDN1X, 5719863]
[paragraph, [87.0, 218.0, 1086.0, 36.0], shoonya_2sLVDAKI8HDN1X, 5719863]
[paragraph, [87.0, 254.0, 1086.0, 36.0], shoonya_2sLVDAKI8HDN1X, 5719863]
[paragraph, [87.0, 290.0, 1086.0, 36.0], shoonya_2sLVDAKI8HDN1X, 5719863]
[paragraph, [87.0, 326.0, 1086.0, 36.0], shoonya_2sLVDAKI8HDN1X, 5719863]
[paragraph, [87.0, 362.0, 1086.0, 36.0], shoonya_2sLVDAKI8HDN1X, 5719863]
[paragraph, [87.0, 398.0, 1086.0, 36.0], shoonya_2sLVDAKI8HDN1X, 5719863]
[paragraph, [87.0, 434.0, 1086.0, 36.0], shoonya_2sLVDAKI8HDN1X, 5719863]
[paragraph, [75.0, 489.0, 1114.0, 36.0], shoonya_3sYA7O9MPSQWN1, 5719863]
[paragraph, [75.0, 525.0, 1114.0, 36.0], shoonya_3sYA7O9MPSQWN1, 5719863]
[paragraph, [75.0, 561.0, 1114.0, 36.0], shoonya_3sYA7O9MPSQWN1, 5719863]
[paragraph, [75.0, 597.0, 1114.0, 36.0], shoonya_3sYA7O9MPSQWN1, 5719863]
[paragraph, [75.0, 633.0, 1114.0, 36.0], shoonya_3sYA7O9MPSQWN1, 5719863]
[paragraph, [75.0, 669.0, 1114.0, 36.0], shoonya_3sYA7O9MPSQWN1, 5719863]
[paragraph, [69.0, 732.0, 1125.0, 36.0], shoonya_6s8N5Y27GEEFQU, 5719863]
[paragraph, [69.0, 768.0, 1125.0, 36.0], shoonya_6s8N5Y27GEEFQU, 5719863]
[paragraph, [69.0, 804.0, 1125.0, 36.0], shoonya_6s8N5Y27GEEFQU, 5719863]
[paragraph, [69.0, 840.0, 1125.0, 36.0], shoonya_6s8N5Y27GEEFQU, 5719863]
[paragraph, [69.0, 876.0, 1125.0, 36.0], shoonya_6s8N5Y27GEEFQU, 5719863]
[paragraph, [65.0, 953.0, 1131.0, 36.0], shoonya_8sLF8CC10ISG5T, 5719863]
[paragraph, [65.0, 989.0, 1131.0, 36.0], shoonya_8sLF8CC10ISG5T, 5719863]
[paragraph, [65.0, 1025.0, 1131.0, 36.0], shoonya_8sLF8CC10ISG5T, 5719863]
[paragraph, [65.0, 1061.0, 1131.0, 36.0], shoonya_8sLF8CC10ISG5T, 5719863]
[paragraph, [65.0, 1097.0, 1131.0, 36.0], shoonya_8sLF8CC10ISG5T, 5719863]
[paragraph, [65.0, 1133.0, 1131.0, 36.0], shoonya_8sLF8CC10ISG5T, 5719863]
[paragraph, [72.0, 1201.0, 1126.0, 36.0], shoonya_9sVCEB8VBS1KVS, 5719863]
[paragraph, [72.0, 1237.0, 1126.0, 36.0], shoonya_9sVCEB8VBS1KVS, 5719863]
[paragraph, [72.0, 1273.0, 1126.0, 36.0], shoonya_9sVCEB8VBS1KVS, 5719863]
[paragraph, [72.0, 1309.0, 1126.0, 36.0], shoonya_9sVCEB8VBS1KVS, 5719863]
[paragraph, [72.0, 1345.0, 1126.0, 36.0], shoonya_9sVCEB8VBS1KVS, 5719863]
[contact-info, [658.0, 1447.0, 533.0, 36.0], RY8Kb9_5Nj, 5719863]
[contact-info, [658.0, 1483.0, 533.0, 36.0], RY8Kb9_5Nj, 5719863]
