[835, 612]
[folio, [281.0, 121.0, 150.0, 18.0], shoonya_0s6FET5XK65ZV5, 6460277]
[paragraph, [179.0, 164.0, 360.0, 18.0], zT3iUewQRs, 6460277]
[paragraph, [179.0, 182.0, 360.0, 18.0], zT3iUewQRs, 6460277]
[paragraph, [179.0, 200.0, 360.0, 18.0], zT3iUewQRs, 6460277]
[paragraph, [179.0, 218.0, 360.0, 18.0], zT3iUewQRs, 6460277]
[paragraph, [179.0, 236.0, 360.0, 18.0], zT3iUewQRs, 6460277]
[paragraph, [179.0, 254.0, 360.0, 18.0], zT3iUewQRs, 6460277]
[paragraph, [179.0, 272.0, 360.0, 18.0], zT3iUewQRs, 6460277]
[paragraph, [179.0, 290.0, 360.0, 18.0], zT3iUewQRs, 6460277]
[paragraph, [179.0, 308.0, 360.0, 18.0], zT3iUewQRs, 6460277]
[paragraph, [179.0, 326.0, 360.0, 18.0], zT3iUewQRs, 6460277]
[paragraph, [179.0, 344.0, 360.0, 18.0], zT3iUewQRs, 6460277]
[paragraph, [179.0, 362.0, 360.0, 18.0], zT3iUewQRs, 6460277]
[paragraph, [179.0, 380.0, 360.0, 18.0], zT3iUewQRs, 6460277]
[paragraph, [180.0, 415.0, 357.0, 18.0], NjA6qH4UyA, 6460277]
[paragraph, [180.0, 433.0, 357.0, 18.0], NjA6qH4UyA, 6460277]
[paragraph, [180.0, 451.0, 357.0, 18.0], NjA6qH4UyA, 6460277]
[paragraph, [180.0, 469.0, 357.0, 18.0], NjA6qH4UyA, 6460277]
[paragraph, [180.0, 487.0, 357.0, 18.0], NjA6qH4UyA, 6460277]
[paragraph, [180.0, 505.0, 357.0, 18.0], NjA6qH4UyA, 6460277]
[paragraph, [180.0, 523.0, 357.0, 18.0], NjA6qH4UyA, 6460277]
[paragraph, [180.0, 541.0, 357.0, 18.0], NjA6qH4UyA, 6460277]
[paragraph, [178.0, 570.0, 367.0, 18.0], 3iHDgITWd_, 6460277]
[paragraph, [178.0, 588.0, 367.0, 18.0], 3iHDgITWd_, 6460277]
[paragraph, [178.0, 606.0, 367.0, 18.0], 3iHDgITWd_, 6460277]
[paragraph, [178.0, 624.0, 367.0, 18.0], 3iHDgITWd_, 6460277]
[paragraph, [178.0, 642.0, 367.0, 18.0], 3iHDgITWd_, 6460277]
[paragraph, [178.0, 660.0, 367.0, 18.0], 3iHDgITWd_, 6460277]
[paragraph, [178.0, 678.0, 367.0, 18.0], 3iHDgITWd_, 6460277]
[paragraph, [178.0, 696.0, 367.0, 18.0], 3iHDgITWd_, 6460277]
[paragraph, [178.0, 714.0, 367.0, 18.0], 3iHDgITWd_, 6460277]
