[1754, 1240]
[headline, [313.0, 167.0, 760.0, 37.5], shoonya_5s63Y2DHVNOWU8, 5722630]
[headline, [313.0, 204.5, 760.0, 37.5], shoonya_5s63Y2DHVNOWU8, 5722630]
[paragraph, [791.0, 293.0, 299.0, 36.0], shoonya_0s9W2ZAYS5ZMQP, 5722630]
[paragraph, [791.0, 329.0, 299.0, 36.0], shoonya_0s9W2ZAYS5ZMQP, 5722630]
[paragraph, [791.0, 365.0, 299.0, 36.0], shoonya_0s9W2ZAYS5ZMQP, 5722630]
[paragraph, [791.0, 401.0, 299.0, 36.0], shoonya_0s9W2ZAYS5ZMQP, 5722630]
[paragraph, [791.0, 437.0, 299.0, 36.0], shoonya_0s9W2ZAYS5ZMQP, 5722630]
[paragraph, [791.0, 473.0, 299.0, 36.0], shoonya_0s9W2ZAYS5ZMQP, 5722630]
[paragraph, [791.0, 509.0, 299.0, 36.0], shoonya_0s9W2ZAYS5ZMQP, 5722630]
[paragraph, [791.0, 545.0, 299.0, 36.0], shoonya_0s9W2ZAYS5ZMQP, 5722630]
[paragraph, [791.0, 581.0, 299.0, 36.0], shoonya_0s9W2ZAYS5ZMQP, 5722630]
[paragraph, [791.0, 617.0, 299.0, 36.0], shoonya_0s9W2ZAYS5ZMQP, 5722630]
[paragraph, [791.0, 653.0, 299.0, 36.0], shoonya_0s9W2ZAYS5ZMQP, 5722630]
[paragraph, [791.0, 689.0, 299.0, 36.0], shoonya_0s9W2ZAYS5ZMQP, 5722630]
[paragraph, [791.0, 725.0, 299.0, 36.0], shoonya_0s9W2ZAYS5ZMQP, 5722630]
[paragraph, [791.0, 761.0, 299.0, 36.0], shoonya_0s9W2ZAYS5ZMQP, 5722630]
[paragraph, [791.0, 797.0, 299.0, 36.0], shoonya_0s9W2ZAYS5ZMQP, 5722630]
[paragraph, [791.0, 833.0, 299.0, 36.0], shoonya_0s9W2ZAYS5ZMQP, 5722630]
[paragraph, [791.0, 869.0, 299.0, 36.0], shoonya_0s9W2ZAYS5ZMQP, 5722630]
[author, [479.0, 296.0, 292.0, 36.0], shoonya_12sMNQJMUJE452, 5722630]
[paragraph, [474.0, 360.0, 294.0, 36.0], shoonya_6s56S5CZMAKQ6J, 5722630]
[paragraph, [478.0, 428.0, 297.0, 36.0], shoonya_3sAAQUW04ZIALJ, 5722630]
[paragraph, [478.0, 464.0, 297.0, 36.0], shoonya_3sAAQUW04ZIALJ, 5722630]
