[3968, 2806]
[paragraph, [175.0, 138.0, 1239.0, 52.5], shoonya_5sD7U7P0Q7FC2U, 5683924]
[paragraph, [175.0, 190.5, 1239.0, 52.5], shoonya_5sD7U7P0Q7FC2U, 5683924]
[paragraph, [175.0, 243.0, 1239.0, 52.5], shoonya_5sD7U7P0Q7FC2U, 5683924]
[paragraph, [175.0, 295.5, 1239.0, 52.5], shoonya_5sD7U7P0Q7FC2U, 5683924]
[paragraph, [175.0, 348.0, 1239.0, 52.5], shoonya_5sD7U7P0Q7FC2U, 5683924]
[paragraph, [175.0, 400.5, 1239.0, 52.5], shoonya_5sD7U7P0Q7FC2U, 5683924]
[paragraph, [175.0, 453.0, 1239.0, 52.5], shoonya_5sD7U7P0Q7FC2U, 5683924]
[paragraph, [175.0, 505.5, 1239.0, 52.5], shoonya_5sD7U7P0Q7FC2U, 5683924]
[paragraph, [175.0, 558.0, 1239.0, 52.5], shoonya_5sD7U7P0Q7FC2U, 5683924]
[paragraph, [175.0, 610.5, 1239.0, 52.5], shoonya_5sD7U7P0Q7FC2U, 5683924]
[paragraph, [175.0, 663.0, 1239.0, 52.5], shoonya_5sD7U7P0Q7FC2U, 5683924]
[paragraph, [175.0, 715.5, 1239.0, 52.5], shoonya_5sD7U7P0Q7FC2U, 5683924]
[paragraph, [175.0, 768.0, 1239.0, 52.5], shoonya_5sD7U7P0Q7FC2U, 5683924]
[paragraph, [175.0, 820.5, 1239.0, 52.5], shoonya_5sD7U7P0Q7FC2U, 5683924]
[paragraph, [175.0, 873.0, 1239.0, 52.5], shoonya_5sD7U7P0Q7FC2U, 5683924]
[paragraph, [1443.0, 145.0, 1097.0, 52.5], shoonya_4sDV3EKWROIKQI, 5683924]
[paragraph, [1443.0, 197.5, 1097.0, 52.5], shoonya_4sDV3EKWROIKQI, 5683924]
[paragraph, [1443.0, 250.0, 1097.0, 52.5], shoonya_4sDV3EKWROIKQI, 5683924]
[paragraph, [1443.0, 302.5, 1097.0, 52.5], shoonya_4sDV3EKWROIKQI, 5683924]
[paragraph, [1443.0, 355.0, 1097.0, 52.5], shoonya_4sDV3EKWROIKQI, 5683924]
[paragraph, [1443.0, 407.5, 1097.0, 52.5], shoonya_4sDV3EKWROIKQI, 5683924]
[paragraph, [1443.0, 460.0, 1097.0, 52.5], shoonya_4sDV3EKWROIKQI, 5683924]
[paragraph, [1443.0, 512.5, 1097.0, 52.5], shoonya_4sDV3EKWROIKQI, 5683924]
[paragraph, [1443.0, 565.0, 1097.0, 52.5], shoonya_4sDV3EKWROIKQI, 5683924]
[paragraph, [1443.0, 617.5, 1097.0, 52.5], shoonya_4sDV3EKWROIKQI, 5683924]
[paragraph, [1443.0, 670.0, 1097.0, 52.5], shoonya_4sDV3EKWROIKQI, 5683924]
[paragraph, [1443.0, 722.5, 1097.0, 52.5], shoonya_4sDV3EKWROIKQI, 5683924]
[paragraph, [1447.0, 857.0, 1121.0, 52.5], shoonya_1sDOXZDUMPNOVV, 5683924]
[paragraph, [1447.0, 909.5, 1121.0, 52.5], shoonya_1sDOXZDUMPNOVV, 5683924]
[paragraph, [1447.0, 962.0, 1121.0, 52.5], shoonya_1sDOXZDUMPNOVV, 5683924]
[paragraph, [1447.0, 1014.5, 1121.0, 52.5], shoonya_1sDOXZDUMPNOVV, 5683924]
[paragraph, [1447.0, 1067.0, 1121.0, 52.5], shoonya_1sDOXZDUMPNOVV, 5683924]
[paragraph, [1447.0, 1119.5, 1121.0, 52.5], shoonya_1sDOXZDUMPNOVV, 5683924]
[paragraph, [1447.0, 1172.0, 1121.0, 52.5], shoonya_1sDOXZDUMPNOVV, 5683924]
[paragraph, [1447.0, 1224.5, 1121.0, 52.5], shoonya_1sDOXZDUMPNOVV, 5683924]
[paragraph, [1447.0, 1277.0, 1121.0, 52.5], shoonya_1sDOXZDUMPNOVV, 5683924]
[paragraph, [1447.0, 1329.5, 1121.0, 52.5], shoonya_1sDOXZDUMPNOVV, 5683924]
[paragraph, [1447.0, 1382.0, 1121.0, 52.5], shoonya_1sDOXZDUMPNOVV, 5683924]
[paragraph, [1447.0, 1434.5, 1121.0, 52.5], shoonya_1sDOXZDUMPNOVV, 5683924]
[paragraph, [1447.0, 1487.0, 1121.0, 52.5], shoonya_1sDOXZDUMPNOVV, 5683924]
[paragraph, [1447.0, 1539.5, 1121.0, 52.5], shoonya_1sDOXZDUMPNOVV, 5683924]
[paragraph, [1447.0, 1592.0, 1121.0, 52.5], shoonya_1sDOXZDUMPNOVV, 5683924]
[paragraph, [1447.0, 1644.5, 1121.0, 52.5], shoonya_1sDOXZDUMPNOVV, 5683924]
[paragraph, [1447.0, 1697.0, 1121.0, 52.5], shoonya_1sDOXZDUMPNOVV, 5683924]
[paragraph, [1447.0, 1749.5, 1121.0, 52.5], shoonya_1sDOXZDUMPNOVV, 5683924]
[paragraph, [1447.0, 1802.0, 1121.0, 52.5], shoonya_1sDOXZDUMPNOVV, 5683924]
[paragraph, [1447.0, 1854.5, 1121.0, 52.5], shoonya_1sDOXZDUMPNOVV, 5683924]
[paragraph, [1447.0, 1907.0, 1121.0, 52.5], shoonya_1sDOXZDUMPNOVV, 5683924]
[paragraph, [1447.0, 1959.5, 1121.0, 52.5], shoonya_1sDOXZDUMPNOVV, 5683924]
[paragraph, [1447.0, 2012.0, 1121.0, 52.5], shoonya_1sDOXZDUMPNOVV, 5683924]
[paragraph, [1447.0, 2064.5, 1121.0, 52.5], shoonya_1sDOXZDUMPNOVV, 5683924]
[paragraph, [1447.0, 2117.0, 1121.0, 52.5], shoonya_1sDOXZDUMPNOVV, 5683924]
[paragraph, [1447.0, 2169.5, 1121.0, 52.5], shoonya_1sDOXZDUMPNOVV, 5683924]
[paragraph, [1447.0, 2222.0, 1121.0, 52.5], shoonya_1sDOXZDUMPNOVV, 5683924]
