[1305, 717]
[folio, [37.0, 37.0, 121.0, 18.0], shoonya_0sPKCUER33ESPA, 5782167]
[folio, [37.0, 55.0, 121.0, 18.0], shoonya_0sPKCUER33ESPA, 5782167]
[folio, [37.0, 73.0, 121.0, 18.0], shoonya_0sPKCUER33ESPA, 5782167]
[section-title, [74.0, 98.0, 577.0, 30.0], hJfZrN_gVq, 5782167]
[ordered-list, [19.0, 136.0, 675.0, 18.0], umC3bxM4oQ, 5782167]
[ordered-list, [19.0, 154.0, 675.0, 18.0], umC3bxM4oQ, 5782167]
[ordered-list, [19.0, 172.0, 675.0, 18.0], umC3bxM4oQ, 5782167]
[ordered-list, [19.0, 190.0, 675.0, 18.0], umC3bxM4oQ, 5782167]
[ordered-list, [19.0, 208.0, 675.0, 18.0], umC3bxM4oQ, 5782167]
[ordered-list, [18.0, 243.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 261.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 279.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 297.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 315.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 333.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 351.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 369.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 387.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 405.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 423.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 441.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 459.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 477.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 495.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 513.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 531.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 549.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 567.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 585.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 603.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 621.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 639.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 657.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 675.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 693.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 711.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 729.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 747.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 765.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 783.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 801.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 819.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 837.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 855.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 873.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 891.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 909.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 927.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 945.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 963.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 981.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 999.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 1017.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 1035.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 1053.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 1071.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 1089.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 1107.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 1125.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 1143.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 1161.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[ordered-list, [18.0, 1179.0, 677.0, 18.0], EQmZN-WiHe, 5782167]
[sub-ordered-list, [22.0, 279.0, 672.0, 18.0], R8djPCSIxB, 5782167]
[sub-ordered-list, [22.0, 297.0, 672.0, 18.0], R8djPCSIxB, 5782167]
[sub-ordered-list, [22.0, 315.0, 672.0, 18.0], R8djPCSIxB, 5782167]
[sub-ordered-list, [22.0, 333.0, 672.0, 18.0], R8djPCSIxB, 5782167]
[sub-ordered-list, [22.0, 351.0, 672.0, 18.0], R8djPCSIxB, 5782167]
[sub-ordered-list, [22.0, 369.0, 672.0, 18.0], R8djPCSIxB, 5782167]
[sub-ordered-list, [22.0, 387.0, 672.0, 18.0], R8djPCSIxB, 5782167]
[sub-ordered-list, [22.0, 405.0, 672.0, 18.0], R8djPCSIxB, 5782167]
[sub-ordered-list, [22.0, 423.0, 672.0, 18.0], R8djPCSIxB, 5782167]
[sub-ordered-list, [22.0, 441.0, 672.0, 18.0], R8djPCSIxB, 5782167]
[sub-ordered-list, [22.0, 459.0, 672.0, 18.0], R8djPCSIxB, 5782167]
[sub-ordered-list, [22.0, 477.0, 672.0, 18.0], R8djPCSIxB, 5782167]
[sub-ordered-list, [22.0, 495.0, 672.0, 18.0], R8djPCSIxB, 5782167]
[sub-ordered-list, [22.0, 513.0, 672.0, 18.0], R8djPCSIxB, 5782167]
[sub-ordered-list, [22.0, 531.0, 672.0, 18.0], R8djPCSIxB, 5782167]
[sub-ordered-list, [22.0, 549.0, 672.0, 18.0], R8djPCSIxB, 5782167]
[sub-ordered-list, [22.0, 567.0, 672.0, 18.0], R8djPCSIxB, 5782167]
[sub-ordered-list, [22.0, 585.0, 672.0, 18.0], R8djPCSIxB, 5782167]
[sub-ordered-list, [22.0, 603.0, 672.0, 18.0], R8djPCSIxB, 5782167]
[sub-ordered-list, [22.0, 621.0, 672.0, 18.0], R8djPCSIxB, 5782167]
[sub-ordered-list, [22.0, 639.0, 672.0, 18.0], R8djPCSIxB, 5782167]
[sub-ordered-list, [22.0, 657.0, 672.0, 18.0], R8djPCSIxB, 5782167]
[sub-ordered-list, [22.0, 675.0, 672.0, 18.0], R8djPCSIxB, 5782167]
[sub-ordered-list, [22.0, 693.0, 672.0, 18.0], R8djPCSIxB, 5782167]
[sub-ordered-list, [22.0, 711.0, 672.0, 18.0], R8djPCSIxB, 5782167]
