[2200, 1700]
[paragraph, [372.0, 111.0, 1133.0, 36.0], shoonya_2s5I5VVY4A41YY, 5734363]
[paragraph, [372.0, 147.0, 1133.0, 36.0], shoonya_2s5I5VVY4A41YY, 5734363]
[paragraph, [372.0, 183.0, 1133.0, 36.0], shoonya_2s5I5VVY4A41YY, 5734363]
[paragraph, [372.0, 219.0, 1133.0, 36.0], shoonya_2s5I5VVY4A41YY, 5734363]
[paragraph, [372.0, 255.0, 1133.0, 36.0], shoonya_2s5I5VVY4A41YY, 5734363]
[paragraph, [372.0, 291.0, 1133.0, 36.0], shoonya_2s5I5VVY4A41YY, 5734363]
[paragraph, [372.0, 327.0, 1133.0, 36.0], shoonya_2s5I5VVY4A41YY, 5734363]
[paragraph, [372.0, 363.0, 1133.0, 36.0], shoonya_2s5I5VVY4A41YY, 5734363]
[paragraph, [372.0, 399.0, 1133.0, 36.0], shoonya_2s5I5VVY4A41YY, 5734363]
[paragraph, [372.0, 435.0, 1133.0, 36.0], shoonya_2s5I5VVY4A41YY, 5734363]
[paragraph, [372.0, 471.0, 1133.0, 36.0], shoonya_2s5I5VVY4A41YY, 5734363]
[paragraph, [372.0, 507.0, 1133.0, 36.0], shoonya_2s5I5VVY4A41YY, 5734363]
[paragraph, [372.0, 543.0, 1133.0, 36.0], shoonya_2s5I5VVY4A41YY, 5734363]
[paragraph, [374.0, 633.0, 1131.0, 36.0], shoonya_1s1DPPO4F5E0L8, 5734363]
[paragraph, [374.0, 669.0, 1131.0, 36.0], shoonya_1s1DPPO4F5E0L8, 5734363]
[paragraph, [374.0, 705.0, 1131.0, 36.0], shoonya_1s1DPPO4F5E0L8, 5734363]
[paragraph, [374.0, 741.0, 1131.0, 36.0], shoonya_1s1DPPO4F5E0L8, 5734363]
[paragraph, [374.0, 777.0, 1131.0, 36.0], shoonya_1s1DPPO4F5E0L8, 5734363]
[paragraph, [374.0, 813.0, 1131.0, 36.0], shoonya_1s1DPPO4F5E0L8, 5734363]
[paragraph, [374.0, 849.0, 1131.0, 36.0], shoonya_1s1DPPO4F5E0L8, 5734363]
[paragraph, [374.0, 885.0, 1131.0, 36.0], shoonya_1s1DPPO4F5E0L8, 5734363]
[paragraph, [374.0, 921.0, 1131.0, 36.0], shoonya_1s1DPPO4F5E0L8, 5734363]
[paragraph, [374.0, 957.0, 1131.0, 36.0], shoonya_1s1DPPO4F5E0L8, 5734363]
[paragraph, [374.0, 993.0, 1131.0, 36.0], shoonya_1s1DPPO4F5E0L8, 5734363]
[paragraph, [374.0, 1029.0, 1131.0, 36.0], shoonya_1s1DPPO4F5E0L8, 5734363]
[paragraph, [374.0, 1065.0, 1131.0, 36.0], shoonya_1s1DPPO4F5E0L8, 5734363]
[paragraph, [374.0, 1101.0, 1131.0, 36.0], shoonya_1s1DPPO4F5E0L8, 5734363]
[paragraph, [374.0, 1137.0, 1131.0, 36.0], shoonya_1s1DPPO4F5E0L8, 5734363]
[paragraph, [374.0, 1173.0, 1131.0, 36.0], shoonya_1s1DPPO4F5E0L8, 5734363]
[paragraph, [374.0, 1209.0, 1131.0, 36.0], shoonya_1s1DPPO4F5E0L8, 5734363]
[paragraph, [374.0, 1245.0, 1131.0, 36.0], shoonya_1s1DPPO4F5E0L8, 5734363]
[paragraph, [374.0, 1281.0, 1131.0, 36.0], shoonya_1s1DPPO4F5E0L8, 5734363]
[paragraph, [374.0, 1317.0, 1131.0, 36.0], shoonya_1s1DPPO4F5E0L8, 5734363]
[paragraph, [374.0, 1353.0, 1131.0, 36.0], shoonya_1s1DPPO4F5E0L8, 5734363]
[paragraph, [374.0, 1389.0, 1131.0, 36.0], shoonya_1s1DPPO4F5E0L8, 5734363]
[paragraph, [374.0, 1425.0, 1131.0, 36.0], shoonya_1s1DPPO4F5E0L8, 5734363]
[paragraph, [373.0, 1493.0, 1132.0, 36.0], shoonya_0sXJCQ4CQXBKPV, 5734363]
[paragraph, [373.0, 1529.0, 1132.0, 36.0], shoonya_0sXJCQ4CQXBKPV, 5734363]
[paragraph, [373.0, 1565.0, 1132.0, 36.0], shoonya_0sXJCQ4CQXBKPV, 5734363]
[paragraph, [373.0, 1601.0, 1132.0, 36.0], shoonya_0sXJCQ4CQXBKPV, 5734363]
[paragraph, [373.0, 1637.0, 1132.0, 36.0], shoonya_0sXJCQ4CQXBKPV, 5734363]
[paragraph, [373.0, 1673.0, 1132.0, 36.0], shoonya_0sXJCQ4CQXBKPV, 5734363]
[paragraph, [373.0, 1709.0, 1132.0, 36.0], shoonya_0sXJCQ4CQXBKPV, 5734363]
[paragraph, [373.0, 1745.0, 1132.0, 36.0], shoonya_0sXJCQ4CQXBKPV, 5734363]
[paragraph, [373.0, 1781.0, 1132.0, 36.0], shoonya_0sXJCQ4CQXBKPV, 5734363]
[paragraph, [373.0, 1817.0, 1132.0, 36.0], shoonya_0sXJCQ4CQXBKPV, 5734363]
[paragraph, [373.0, 1853.0, 1132.0, 36.0], shoonya_0sXJCQ4CQXBKPV, 5734363]
[paragraph, [373.0, 1889.0, 1132.0, 36.0], shoonya_0sXJCQ4CQXBKPV, 5734363]
[paragraph, [373.0, 1925.0, 1132.0, 36.0], shoonya_0sXJCQ4CQXBKPV, 5734363]
[paragraph, [373.0, 1961.0, 1132.0, 36.0], shoonya_0sXJCQ4CQXBKPV, 5734363]
[paragraph, [373.0, 1997.0, 1132.0, 36.0], shoonya_0sXJCQ4CQXBKPV, 5734363]
[folio, [867.0, 2139.0, 585.0, 36.0], shoonya_3sYEIIRFRDZ2V6, 5734363]
