[2200, 1700]
[paragraph, [297.0, 60.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 96.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 132.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 168.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 204.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 240.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 276.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 312.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 348.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 384.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 420.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 456.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 492.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 528.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 564.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 600.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 636.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 672.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 708.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 744.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 780.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 816.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 852.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 888.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 924.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 960.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 996.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 1032.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 1068.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 1104.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 1140.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 1176.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 1212.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 1248.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 1284.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 1320.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 1356.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 1392.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[paragraph, [297.0, 1428.0, 1100.0, 36.0], shoonya_0sLXQ67R3ZSGK0, 5731584]
[footnote, [310.0, 1508.0, 1083.0, 36.0], shoonya_2sAEFY3TDW78TF, 5731584]
[footnote, [310.0, 1544.0, 1083.0, 36.0], shoonya_2sAEFY3TDW78TF, 5731584]
[footnote, [310.0, 1580.0, 1083.0, 36.0], shoonya_2sAEFY3TDW78TF, 5731584]
[footnote, [310.0, 1616.0, 1083.0, 36.0], shoonya_2sAEFY3TDW78TF, 5731584]
[footnote, [304.0, 1685.0, 1095.0, 36.0], shoonya_1sA9XYCMFCPNIK, 5731584]
[footnote, [304.0, 1721.0, 1095.0, 36.0], shoonya_1sA9XYCMFCPNIK, 5731584]
[footnote, [304.0, 1757.0, 1095.0, 36.0], shoonya_1sA9XYCMFCPNIK, 5731584]
[footnote, [304.0, 1793.0, 1095.0, 36.0], shoonya_1sA9XYCMFCPNIK, 5731584]
[footnote, [304.0, 1829.0, 1095.0, 36.0], shoonya_1sA9XYCMFCPNIK, 5731584]
[footnote, [304.0, 1865.0, 1095.0, 36.0], shoonya_1sA9XYCMFCPNIK, 5731584]
[folio, [955.0, 2008.0, 362.0, 36.0], zChkAqXEp8, 5731584]
