[1763, 1275]
[headline, [154.0, 85.0, 985.0, 37.5], xdSPhMerq7, 5713089]
[headline, [154.0, 122.5, 985.0, 37.5], xdSPhMerq7, 5713089]
[headline, [154.0, 160.0, 985.0, 37.5], xdSPhMerq7, 5713089]
[headline, [154.0, 197.5, 985.0, 37.5], xdSPhMerq7, 5713089]
[headline, [154.0, 235.0, 985.0, 37.5], xdSPhMerq7, 5713089]
[headline, [154.0, 272.5, 985.0, 37.5], xdSPhMerq7, 5713089]
[paragraph, [271.0, 318.0, 765.0, 36.0], 5JJdsgV1nv, 5713089]
[paragraph, [271.0, 354.0, 765.0, 36.0], 5JJdsgV1nv, 5713089]
[paragraph, [271.0, 390.0, 765.0, 36.0], 5JJdsgV1nv, 5713089]
[paragraph, [271.0, 426.0, 765.0, 36.0], 5JJdsgV1nv, 5713089]
[paragraph, [271.0, 462.0, 765.0, 36.0], 5JJdsgV1nv, 5713089]
[paragraph, [127.0, 514.0, 1022.0, 36.0], l7CbJmooWk, 5713089]
[paragraph, [127.0, 550.0, 1022.0, 36.0], l7CbJmooWk, 5713089]
[paragraph, [127.0, 586.0, 1022.0, 36.0], l7CbJmooWk, 5713089]
[paragraph, [127.0, 622.0, 1022.0, 36.0], l7CbJmooWk, 5713089]
[paragraph, [127.0, 658.0, 1022.0, 36.0], l7CbJmooWk, 5713089]
[paragraph, [127.0, 694.0, 1022.0, 36.0], l7CbJmooWk, 5713089]
[paragraph, [127.0, 730.0, 1022.0, 36.0], l7CbJmooWk, 5713089]
[paragraph, [284.0, 1204.0, 705.0, 36.0], g0ZEmAsuQZ, 5713089]
[paragraph, [284.0, 1240.0, 705.0, 36.0], g0ZEmAsuQZ, 5713089]
[paragraph, [284.0, 1276.0, 705.0, 36.0], g0ZEmAsuQZ, 5713089]
[paragraph, [284.0, 1312.0, 705.0, 36.0], g0ZEmAsuQZ, 5713089]
[paragraph, [284.0, 1348.0, 705.0, 36.0], g0ZEmAsuQZ, 5713089]
[folio, [192.0, 1407.0, 881.0, 36.0], YKVB2j_khH, 5713089]
[section-title, [184.0, 1470.0, 910.0, 49.5], IFxOztCiUC, 5713089]
[contact-info, [112.0, 1557.0, 1061.0, 36.0], ssOO8QGfUo, 5713089]
[contact-info, [112.0, 1593.0, 1061.0, 36.0], ssOO8QGfUo, 5713089]
[contact-info, [112.0, 1629.0, 1061.0, 36.0], ssOO8QGfUo, 5713089]
