[1492, 1000]
[folio, [355.0, 152.0, 311.0, 18.0], qA1WYI3Rdo, 5720878]
[paragraph, [145.0, 211.0, 735.0, 18.0], shoonya_0sOHV2VVUXN0J1, 5720878]
[paragraph, [145.0, 229.0, 735.0, 18.0], shoonya_0sOHV2VVUXN0J1, 5720878]
[paragraph, [145.0, 247.0, 735.0, 18.0], shoonya_0sOHV2VVUXN0J1, 5720878]
[paragraph, [145.0, 265.0, 735.0, 18.0], shoonya_0sOHV2VVUXN0J1, 5720878]
[paragraph, [145.0, 283.0, 735.0, 18.0], shoonya_0sOHV2VVUXN0J1, 5720878]
[paragraph, [145.0, 301.0, 735.0, 18.0], shoonya_0sOHV2VVUXN0J1, 5720878]
[paragraph, [145.0, 319.0, 735.0, 18.0], shoonya_0sOHV2VVUXN0J1, 5720878]
[paragraph, [145.0, 337.0, 735.0, 18.0], shoonya_0sOHV2VVUXN0J1, 5720878]
[paragraph, [146.0, 366.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 384.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 402.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 420.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 438.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 456.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 474.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 492.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 510.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 528.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 546.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 564.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 582.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 600.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 618.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 636.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 654.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 672.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 690.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 708.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 726.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 744.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 762.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 780.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 798.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 816.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 834.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 852.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 870.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 888.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 906.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 924.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 942.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 960.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 978.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 996.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 1014.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 1032.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 1050.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 1068.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 1086.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 1104.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 1122.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 1140.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 1158.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 1176.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 1194.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 1212.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 1230.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 1248.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 1266.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 1284.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
[paragraph, [146.0, 1302.0, 732.0, 18.0], rxlkFHo7-o, 5720878]
