[906, 612]
[folio, [308.0, 128.0, 83.0, 18.0], 53cH6CMHU4, 6459841]
[paragraph, [170.0, 159.0, 360.0, 18.0], shoonya_0sAPO4A2JXHXMW, 6459841]
[paragraph, [170.0, 177.0, 360.0, 18.0], shoonya_0sAPO4A2JXHXMW, 6459841]
[paragraph, [170.0, 195.0, 360.0, 18.0], shoonya_0sAPO4A2JXHXMW, 6459841]
[paragraph, [170.0, 213.0, 360.0, 18.0], shoonya_0sAPO4A2JXHXMW, 6459841]
[paragraph, [170.0, 231.0, 360.0, 18.0], shoonya_0sAPO4A2JXHXMW, 6459841]
[paragraph, [170.0, 249.0, 360.0, 18.0], shoonya_0sAPO4A2JXHXMW, 6459841]
[paragraph, [170.0, 267.0, 360.0, 18.0], shoonya_0sAPO4A2JXHXMW, 6459841]
[paragraph, [170.0, 285.0, 360.0, 18.0], shoonya_0sAPO4A2JXHXMW, 6459841]
[paragraph, [170.0, 303.0, 360.0, 18.0], shoonya_0sAPO4A2JXHXMW, 6459841]
[paragraph, [170.0, 321.0, 360.0, 18.0], shoonya_0sAPO4A2JXHXMW, 6459841]
[paragraph, [170.0, 339.0, 360.0, 18.0], shoonya_0sAPO4A2JXHXMW, 6459841]
[paragraph, [170.0, 357.0, 360.0, 18.0], shoonya_0sAPO4A2JXHXMW, 6459841]
[paragraph, [170.0, 375.0, 360.0, 18.0], shoonya_0sAPO4A2JXHXMW, 6459841]
[paragraph, [170.0, 393.0, 360.0, 18.0], shoonya_0sAPO4A2JXHXMW, 6459841]
[paragraph, [170.0, 411.0, 360.0, 18.0], shoonya_0sAPO4A2JXHXMW, 6459841]
[paragraph, [170.0, 429.0, 360.0, 18.0], shoonya_0sAPO4A2JXHXMW, 6459841]
[paragraph, [170.0, 447.0, 360.0, 18.0], shoonya_0sAPO4A2JXHXMW, 6459841]
[sub-section-title, [275.0, 522.0, 153.0, 25.5], zF1MNeSsAV, 6459841]
[paragraph, [179.0, 546.0, 347.0, 18.0], t7kLlW6EDD, 6459841]
[paragraph, [179.0, 564.0, 347.0, 18.0], t7kLlW6EDD, 6459841]
[paragraph, [179.0, 582.0, 347.0, 18.0], t7kLlW6EDD, 6459841]
[paragraph, [179.0, 600.0, 347.0, 18.0], t7kLlW6EDD, 6459841]
[paragraph, [179.0, 618.0, 347.0, 18.0], t7kLlW6EDD, 6459841]
[paragraph, [179.0, 636.0, 347.0, 18.0], t7kLlW6EDD, 6459841]
[paragraph, [179.0, 654.0, 347.0, 18.0], t7kLlW6EDD, 6459841]
[paragraph, [179.0, 672.0, 347.0, 18.0], t7kLlW6EDD, 6459841]
[paragraph, [179.0, 690.0, 347.0, 18.0], t7kLlW6EDD, 6459841]
