[842, 596]
[ordered-list, [75.0, 54.0, 449.0, 18.0], shoonya_2sOCBV1B8HOBA8, 5658138]
[ordered-list, [75.0, 72.0, 449.0, 18.0], shoonya_2sOCBV1B8HOBA8, 5658138]
[ordered-list, [75.0, 90.0, 449.0, 18.0], shoonya_2sOCBV1B8HOBA8, 5658138]
[ordered-list, [75.0, 108.0, 449.0, 18.0], shoonya_2sOCBV1B8HOBA8, 5658138]
[ordered-list, [75.0, 126.0, 449.0, 18.0], shoonya_2sOCBV1B8HOBA8, 5658138]
[ordered-list, [75.0, 144.0, 449.0, 18.0], shoonya_2sOCBV1B8HOBA8, 5658138]
[subsub-section-title, [287.0, 225.0, 51.0, 15.0], hweDyRDw0d, 5658138]
[ordered-list, [64.0, 255.0, 496.0, 18.0], fAX07XNR1E, 5658138]
[ordered-list, [64.0, 273.0, 496.0, 18.0], fAX07XNR1E, 5658138]
[ordered-list, [64.0, 291.0, 496.0, 18.0], fAX07XNR1E, 5658138]
[ordered-list, [64.0, 309.0, 496.0, 18.0], fAX07XNR1E, 5658138]
[ordered-list, [64.0, 327.0, 496.0, 18.0], fAX07XNR1E, 5658138]
[ordered-list, [64.0, 345.0, 496.0, 18.0], fAX07XNR1E, 5658138]
[ordered-list, [64.0, 363.0, 496.0, 18.0], fAX07XNR1E, 5658138]
[ordered-list, [64.0, 381.0, 496.0, 18.0], fAX07XNR1E, 5658138]
[ordered-list, [64.0, 399.0, 496.0, 18.0], fAX07XNR1E, 5658138]
[ordered-list, [64.0, 417.0, 496.0, 18.0], fAX07XNR1E, 5658138]
[ordered-list, [64.0, 435.0, 496.0, 18.0], fAX07XNR1E, 5658138]
[ordered-list, [64.0, 453.0, 496.0, 18.0], fAX07XNR1E, 5658138]
[ordered-list, [64.0, 471.0, 496.0, 18.0], fAX07XNR1E, 5658138]
[ordered-list, [64.0, 489.0, 496.0, 18.0], fAX07XNR1E, 5658138]
[ordered-list, [64.0, 507.0, 496.0, 18.0], fAX07XNR1E, 5658138]
[ordered-list, [64.0, 525.0, 496.0, 18.0], fAX07XNR1E, 5658138]
[ordered-list, [64.0, 543.0, 496.0, 18.0], fAX07XNR1E, 5658138]
[ordered-list, [64.0, 561.0, 496.0, 18.0], fAX07XNR1E, 5658138]
[ordered-list, [64.0, 579.0, 496.0, 18.0], fAX07XNR1E, 5658138]
[ordered-list, [64.0, 597.0, 496.0, 18.0], fAX07XNR1E, 5658138]
[ordered-list, [64.0, 615.0, 496.0, 18.0], fAX07XNR1E, 5658138]
[ordered-list, [64.0, 633.0, 496.0, 18.0], fAX07XNR1E, 5658138]
[sub-ordered-list, [121.0, 287.0, 97.0, 18.0], shoonya_0s61WR6BZGZT7F, 5658138]
[sub-ordered-list, [121.0, 305.0, 97.0, 18.0], shoonya_0s61WR6BZGZT7F, 5658138]
[sub-ordered-list, [121.0, 323.0, 97.0, 18.0], shoonya_0s61WR6BZGZT7F, 5658138]
[sub-ordered-list, [119.0, 404.0, 410.0, 18.0], shoonya_3s5DV8G2IZRAVT, 5658138]
[sub-ordered-list, [119.0, 422.0, 410.0, 18.0], shoonya_3s5DV8G2IZRAVT, 5658138]
[sub-ordered-list, [119.0, 440.0, 410.0, 18.0], shoonya_3s5DV8G2IZRAVT, 5658138]
[sub-ordered-list, [119.0, 458.0, 410.0, 18.0], shoonya_3s5DV8G2IZRAVT, 5658138]
[sub-ordered-list, [119.0, 476.0, 410.0, 18.0], shoonya_3s5DV8G2IZRAVT, 5658138]
[sub-ordered-list, [119.0, 494.0, 410.0, 18.0], shoonya_3s5DV8G2IZRAVT, 5658138]
[sub-ordered-list, [119.0, 512.0, 410.0, 18.0], shoonya_3s5DV8G2IZRAVT, 5658138]
[sub-ordered-list, [119.0, 530.0, 410.0, 18.0], shoonya_3s5DV8G2IZRAVT, 5658138]
[sub-ordered-list, [119.0, 548.0, 410.0, 18.0], shoonya_3s5DV8G2IZRAVT, 5658138]
[footnote, [80.0, 776.0, 464.0, 18.0], KMmPCemHqB, 5658138]
