[1037, 698]
[ordered-list, [129.0, 102.0, 434.0, 18.0], shoonya_0sOPVUK380H01V, 5772720]
[ordered-list, [129.0, 120.0, 434.0, 18.0], shoonya_0sOPVUK380H01V, 5772720]
[paragraph, [71.0, 157.0, 547.0, 18.0], WNOox3-tZK, 5772720]
[paragraph, [71.0, 175.0, 547.0, 18.0], WNOox3-tZK, 5772720]
[paragraph, [71.0, 193.0, 547.0, 18.0], WNOox3-tZK, 5772720]
[paragraph, [71.0, 211.0, 547.0, 18.0], WNOox3-tZK, 5772720]
[paragraph, [104.0, 231.0, 544.0, 18.0], EjC3q7ej1Y, 5772720]
[paragraph, [104.0, 249.0, 544.0, 18.0], EjC3q7ej1Y, 5772720]
[paragraph, [104.0, 267.0, 544.0, 18.0], EjC3q7ej1Y, 5772720]
[paragraph, [104.0, 285.0, 544.0, 18.0], EjC3q7ej1Y, 5772720]
[paragraph, [104.0, 303.0, 544.0, 18.0], EjC3q7ej1Y, 5772720]
[paragraph, [104.0, 321.0, 544.0, 18.0], EjC3q7ej1Y, 5772720]
[paragraph, [104.0, 339.0, 544.0, 18.0], EjC3q7ej1Y, 5772720]
[paragraph, [104.0, 357.0, 544.0, 18.0], EjC3q7ej1Y, 5772720]
[paragraph, [104.0, 375.0, 544.0, 18.0], EjC3q7ej1Y, 5772720]
[paragraph, [104.0, 393.0, 544.0, 18.0], EjC3q7ej1Y, 5772720]
[paragraph, [62.0, 410.0, 573.0, 18.0], ms2GIleM2i, 5772720]
[paragraph, [62.0, 428.0, 573.0, 18.0], ms2GIleM2i, 5772720]
[paragraph, [62.0, 446.0, 573.0, 18.0], ms2GIleM2i, 5772720]
[paragraph, [62.0, 464.0, 573.0, 18.0], ms2GIleM2i, 5772720]
[paragraph, [102.0, 486.0, 551.0, 18.0], RmPVAhNh1j, 5772720]
[paragraph, [102.0, 504.0, 551.0, 18.0], RmPVAhNh1j, 5772720]
[paragraph, [102.0, 522.0, 551.0, 18.0], RmPVAhNh1j, 5772720]
[paragraph, [102.0, 540.0, 551.0, 18.0], RmPVAhNh1j, 5772720]
[paragraph, [102.0, 558.0, 551.0, 18.0], RmPVAhNh1j, 5772720]
[paragraph, [102.0, 576.0, 551.0, 18.0], RmPVAhNh1j, 5772720]
[paragraph, [102.0, 594.0, 551.0, 18.0], RmPVAhNh1j, 5772720]
[paragraph, [102.0, 612.0, 551.0, 18.0], RmPVAhNh1j, 5772720]
[paragraph, [100.0, 634.0, 522.0, 18.0], AedRrtkv1y, 5772720]
[paragraph, [100.0, 652.0, 522.0, 18.0], AedRrtkv1y, 5772720]
[paragraph, [87.0, 667.0, 540.0, 18.0], lYsN4L6gsc, 5772720]
[paragraph, [87.0, 685.0, 540.0, 18.0], lYsN4L6gsc, 5772720]
[paragraph, [87.0, 703.0, 540.0, 18.0], lYsN4L6gsc, 5772720]
[paragraph, [87.0, 721.0, 540.0, 18.0], lYsN4L6gsc, 5772720]
[paragraph, [87.0, 739.0, 540.0, 18.0], lYsN4L6gsc, 5772720]
[paragraph, [87.0, 757.0, 540.0, 18.0], lYsN4L6gsc, 5772720]
[paragraph, [87.0, 775.0, 540.0, 18.0], lYsN4L6gsc, 5772720]
[paragraph, [87.0, 793.0, 540.0, 18.0], lYsN4L6gsc, 5772720]
[section-title, [282.0, 813.0, 166.0, 30.0], UkWvZ9U-fz, 5772720]
[paragraph, [76.0, 851.0, 556.0, 18.0], 77TKszJc-x, 5772720]
[paragraph, [76.0, 869.0, 556.0, 18.0], 77TKszJc-x, 5772720]
[paragraph, [76.0, 887.0, 556.0, 18.0], 77TKszJc-x, 5772720]
[paragraph, [76.0, 905.0, 556.0, 18.0], 77TKszJc-x, 5772720]
[paragraph, [76.0, 923.0, 556.0, 18.0], 77TKszJc-x, 5772720]
[paragraph, [76.0, 941.0, 556.0, 18.0], 77TKszJc-x, 5772720]
