[1241, 798]
[ordered-list, [85.0, 69.0, 623.0, 18.0], usc7BmsiCW, 5702117]
[ordered-list, [85.0, 87.0, 623.0, 18.0], usc7BmsiCW, 5702117]
[ordered-list, [85.0, 105.0, 623.0, 18.0], usc7BmsiCW, 5702117]
[ordered-list, [85.0, 123.0, 623.0, 18.0], usc7BmsiCW, 5702117]
[ordered-list, [85.0, 141.0, 623.0, 18.0], usc7BmsiCW, 5702117]
[ordered-list, [85.0, 159.0, 623.0, 18.0], usc7BmsiCW, 5702117]
[ordered-list, [85.0, 177.0, 623.0, 18.0], usc7BmsiCW, 5702117]
[ordered-list, [85.0, 195.0, 623.0, 18.0], usc7BmsiCW, 5702117]
[ordered-list, [85.0, 213.0, 623.0, 18.0], usc7BmsiCW, 5702117]
[ordered-list, [85.0, 231.0, 623.0, 18.0], usc7BmsiCW, 5702117]
[ordered-list, [85.0, 249.0, 623.0, 18.0], usc7BmsiCW, 5702117]
[ordered-list, [85.0, 267.0, 623.0, 18.0], usc7BmsiCW, 5702117]
[ordered-list, [85.0, 285.0, 623.0, 18.0], usc7BmsiCW, 5702117]
[ordered-list, [85.0, 303.0, 623.0, 18.0], usc7BmsiCW, 5702117]
[ordered-list, [85.0, 321.0, 623.0, 18.0], usc7BmsiCW, 5702117]
[paragraph, [218.0, 351.0, 366.0, 18.0], HeXx0LE1Et, 5702117]
[paragraph, [218.0, 369.0, 366.0, 18.0], HeXx0LE1Et, 5702117]
[paragraph, [85.0, 389.0, 621.0, 18.0], adDgI0alIe, 5702117]
[paragraph, [85.0, 407.0, 621.0, 18.0], adDgI0alIe, 5702117]
[paragraph, [85.0, 425.0, 621.0, 18.0], adDgI0alIe, 5702117]
[paragraph, [85.0, 443.0, 621.0, 18.0], adDgI0alIe, 5702117]
[paragraph, [85.0, 461.0, 621.0, 18.0], adDgI0alIe, 5702117]
[section-title, [253.0, 533.0, 289.0, 30.0], vmsBXl_BsA, 5702117]
[paragraph, [92.0, 581.0, 617.0, 18.0], shoonya_1s5B11X6MQGHCV, 5702117]
[paragraph, [92.0, 599.0, 617.0, 18.0], shoonya_1s5B11X6MQGHCV, 5702117]
[paragraph, [92.0, 617.0, 617.0, 18.0], shoonya_1s5B11X6MQGHCV, 5702117]
[paragraph, [92.0, 635.0, 617.0, 18.0], shoonya_1s5B11X6MQGHCV, 5702117]
[paragraph, [92.0, 653.0, 617.0, 18.0], shoonya_1s5B11X6MQGHCV, 5702117]
[paragraph, [92.0, 671.0, 617.0, 18.0], shoonya_1s5B11X6MQGHCV, 5702117]
[paragraph, [92.0, 689.0, 617.0, 18.0], shoonya_1s5B11X6MQGHCV, 5702117]
[paragraph, [90.0, 721.0, 620.0, 18.0], shoonya_0s8UTK7SO9GCYZ, 5702117]
[paragraph, [90.0, 739.0, 620.0, 18.0], shoonya_0s8UTK7SO9GCYZ, 5702117]
[paragraph, [90.0, 757.0, 620.0, 18.0], shoonya_0s8UTK7SO9GCYZ, 5702117]
[paragraph, [90.0, 775.0, 620.0, 18.0], shoonya_0s8UTK7SO9GCYZ, 5702117]
[paragraph, [90.0, 793.0, 620.0, 18.0], shoonya_0s8UTK7SO9GCYZ, 5702117]
[paragraph, [90.0, 811.0, 620.0, 18.0], shoonya_0s8UTK7SO9GCYZ, 5702117]
[paragraph, [90.0, 829.0, 620.0, 18.0], shoonya_0s8UTK7SO9GCYZ, 5702117]
[paragraph, [88.0, 860.0, 620.0, 18.0], -Qg_Fi0y3r, 5702117]
[paragraph, [88.0, 878.0, 620.0, 18.0], -Qg_Fi0y3r, 5702117]
[paragraph, [88.0, 896.0, 620.0, 18.0], -Qg_Fi0y3r, 5702117]
[paragraph, [88.0, 914.0, 620.0, 18.0], -Qg_Fi0y3r, 5702117]
[paragraph, [88.0, 932.0, 620.0, 18.0], -Qg_Fi0y3r, 5702117]
[paragraph, [166.0, 964.0, 398.0, 18.0], rRr17mlNZb, 5702117]
[footnote, [96.0, 1039.0, 608.0, 18.0], shoonya_2s0ZVTONFKQUBZ, 5702117]
[footnote, [96.0, 1057.0, 608.0, 18.0], shoonya_2s0ZVTONFKQUBZ, 5702117]
[footnote, [96.0, 1075.0, 608.0, 18.0], shoonya_2s0ZVTONFKQUBZ, 5702117]
[footnote, [96.0, 1093.0, 608.0, 18.0], shoonya_2s0ZVTONFKQUBZ, 5702117]
[footnote, [96.0, 1111.0, 608.0, 18.0], shoonya_2s0ZVTONFKQUBZ, 5702117]
[footnote, [96.0, 1129.0, 608.0, 18.0], shoonya_2s0ZVTONFKQUBZ, 5702117]
[footnote, [96.0, 1147.0, 608.0, 18.0], shoonya_2s0ZVTONFKQUBZ, 5702117]
