[1625, 1211]
[headline, [411.0, 81.0, 397.0, 37.5], 6lwhf20q5m, 5742541]
[paragraph, [822.0, 102.0, 335.0, 36.0], Mq6ou7SbKD, 5742541]
[paragraph, [822.0, 138.0, 335.0, 36.0], Mq6ou7SbKD, 5742541]
[section-title, [273.0, 176.0, 130.0, 49.5], E8bseGnMXG, 5742541]
[paragraph, [817.0, 185.0, 328.0, 36.0], wHztiyD-D0, 5742541]
[paragraph, [817.0, 221.0, 328.0, 36.0], wHztiyD-D0, 5742541]
[paragraph, [423.0, 220.0, 343.0, 36.0], NqTVqZyJhd, 5742541]
[paragraph, [423.0, 256.0, 343.0, 36.0], NqTVqZyJhd, 5742541]
[paragraph, [804.0, 287.0, 347.0, 36.0], c4yL3W4oA7, 5742541]
[paragraph, [804.0, 323.0, 347.0, 36.0], c4yL3W4oA7, 5742541]
[paragraph, [423.0, 335.0, 338.0, 36.0], 8F_JUr2Bug, 5742541]
[paragraph, [807.0, 387.0, 349.0, 36.0], ClPAwZhj4J, 5742541]
[paragraph, [807.0, 423.0, 349.0, 36.0], ClPAwZhj4J, 5742541]
[paragraph, [807.0, 459.0, 349.0, 36.0], ClPAwZhj4J, 5742541]
[paragraph, [71.0, 400.0, 336.0, 36.0], YxEM0gUUuC, 5742541]
[paragraph, [71.0, 436.0, 336.0, 36.0], YxEM0gUUuC, 5742541]
[paragraph, [71.0, 472.0, 336.0, 36.0], YxEM0gUUuC, 5742541]
[paragraph, [423.0, 409.0, 340.0, 36.0], R9ogKi38UL, 5742541]
[paragraph, [423.0, 445.0, 340.0, 36.0], R9ogKi38UL, 5742541]
[paragraph, [423.0, 481.0, 340.0, 36.0], R9ogKi38UL, 5742541]
[paragraph, [810.0, 512.0, 337.0, 36.0], xQS_tzDsj6, 5742541]
[paragraph, [69.0, 548.0, 335.0, 36.0], oc4HZ6meBq, 5742541]
[paragraph, [423.0, 550.0, 331.0, 36.0], aXGdm-0OMz, 5742541]
[paragraph, [807.0, 586.0, 353.0, 36.0], C_BGnvqwf9, 5742541]
[paragraph, [807.0, 622.0, 353.0, 36.0], C_BGnvqwf9, 5742541]
[paragraph, [114.0, 614.0, 290.0, 36.0], eAJt3T2igf, 5742541]
[paragraph, [426.0, 619.0, 337.0, 36.0], ar3pWGnml0, 5742541]
[paragraph, [56.0, 702.0, 353.0, 36.0], shoonya_2sD7LLIJQMNEV5, 5742541]
[paragraph, [56.0, 738.0, 353.0, 36.0], shoonya_2sD7LLIJQMNEV5, 5742541]
[paragraph, [56.0, 774.0, 353.0, 36.0], shoonya_2sD7LLIJQMNEV5, 5742541]
[paragraph, [56.0, 810.0, 353.0, 36.0], shoonya_2sD7LLIJQMNEV5, 5742541]
[paragraph, [56.0, 846.0, 353.0, 36.0], shoonya_2sD7LLIJQMNEV5, 5742541]
[paragraph, [421.0, 704.0, 359.0, 36.0], OcuqPXOCNh, 5742541]
[paragraph, [421.0, 740.0, 359.0, 36.0], OcuqPXOCNh, 5742541]
[paragraph, [421.0, 776.0, 359.0, 36.0], OcuqPXOCNh, 5742541]
[paragraph, [792.0, 730.0, 368.0, 36.0], BRBtO6Rh2j, 5742541]
[paragraph, [792.0, 766.0, 368.0, 36.0], BRBtO6Rh2j, 5742541]
[paragraph, [792.0, 802.0, 368.0, 36.0], BRBtO6Rh2j, 5742541]
[paragraph, [792.0, 838.0, 368.0, 36.0], BRBtO6Rh2j, 5742541]
[paragraph, [792.0, 874.0, 368.0, 36.0], BRBtO6Rh2j, 5742541]
[paragraph, [792.0, 910.0, 368.0, 36.0], BRBtO6Rh2j, 5742541]
[paragraph, [792.0, 946.0, 368.0, 36.0], BRBtO6Rh2j, 5742541]
[paragraph, [792.0, 982.0, 368.0, 36.0], BRBtO6Rh2j, 5742541]
[paragraph, [424.0, 837.0, 360.0, 36.0], Y2gqCWVz4o, 5742541]
[paragraph, [424.0, 873.0, 360.0, 36.0], Y2gqCWVz4o, 5742541]
[paragraph, [424.0, 909.0, 360.0, 36.0], Y2gqCWVz4o, 5742541]
[paragraph, [424.0, 945.0, 360.0, 36.0], Y2gqCWVz4o, 5742541]
[paragraph, [424.0, 981.0, 360.0, 36.0], Y2gqCWVz4o, 5742541]
[paragraph, [424.0, 1017.0, 360.0, 36.0], Y2gqCWVz4o, 5742541]
[paragraph, [424.0, 1053.0, 360.0, 36.0], Y2gqCWVz4o, 5742541]
[paragraph, [424.0, 1089.0, 360.0, 36.0], Y2gqCWVz4o, 5742541]
[paragraph, [424.0, 1125.0, 360.0, 36.0], Y2gqCWVz4o, 5742541]
[paragraph, [57.0, 896.0, 356.0, 36.0], 9YdXnrfDxY, 5742541]
[paragraph, [57.0, 932.0, 356.0, 36.0], 9YdXnrfDxY, 5742541]
[paragraph, [57.0, 968.0, 356.0, 36.0], 9YdXnrfDxY, 5742541]
[paragraph, [57.0, 1004.0, 356.0, 36.0], 9YdXnrfDxY, 5742541]
[paragraph, [57.0, 1040.0, 356.0, 36.0], 9YdXnrfDxY, 5742541]
[paragraph, [795.0, 1024.0, 350.0, 36.0], bo5_2jsJyd, 5742541]
[paragraph, [795.0, 1060.0, 350.0, 36.0], bo5_2jsJyd, 5742541]
[paragraph, [795.0, 1096.0, 350.0, 36.0], bo5_2jsJyd, 5742541]
[paragraph, [795.0, 1132.0, 350.0, 36.0], bo5_2jsJyd, 5742541]
[paragraph, [795.0, 1168.0, 350.0, 36.0], bo5_2jsJyd, 5742541]
[paragraph, [795.0, 1204.0, 350.0, 36.0], bo5_2jsJyd, 5742541]
[paragraph, [795.0, 1240.0, 350.0, 36.0], bo5_2jsJyd, 5742541]
[paragraph, [795.0, 1276.0, 350.0, 36.0], bo5_2jsJyd, 5742541]
[paragraph, [60.0, 1091.0, 347.0, 36.0], ZslmdVFFuj, 5742541]
[paragraph, [60.0, 1127.0, 347.0, 36.0], ZslmdVFFuj, 5742541]
[paragraph, [60.0, 1163.0, 347.0, 36.0], ZslmdVFFuj, 5742541]
[paragraph, [60.0, 1199.0, 347.0, 36.0], ZslmdVFFuj, 5742541]
[paragraph, [60.0, 1235.0, 347.0, 36.0], ZslmdVFFuj, 5742541]
[paragraph, [60.0, 1271.0, 347.0, 36.0], ZslmdVFFuj, 5742541]
[paragraph, [60.0, 1307.0, 347.0, 36.0], ZslmdVFFuj, 5742541]
[paragraph, [60.0, 1343.0, 347.0, 36.0], ZslmdVFFuj, 5742541]
[paragraph, [430.0, 1186.0, 341.0, 36.0], c-zC2nWVUt, 5742541]
[paragraph, [430.0, 1222.0, 341.0, 36.0], c-zC2nWVUt, 5742541]
[paragraph, [430.0, 1258.0, 341.0, 36.0], c-zC2nWVUt, 5742541]
[paragraph, [430.0, 1294.0, 341.0, 36.0], c-zC2nWVUt, 5742541]
[paragraph, [430.0, 1330.0, 341.0, 36.0], c-zC2nWVUt, 5742541]
[paragraph, [430.0, 1366.0, 341.0, 36.0], c-zC2nWVUt, 5742541]
[paragraph, [430.0, 1402.0, 341.0, 36.0], c-zC2nWVUt, 5742541]
[paragraph, [430.0, 1438.0, 341.0, 36.0], c-zC2nWVUt, 5742541]
[paragraph, [795.0, 1342.0, 338.0, 36.0], h0urcGxXCY, 5742541]
[paragraph, [795.0, 1378.0, 338.0, 36.0], h0urcGxXCY, 5742541]
