[1754, 1241]
[section-title, [184.0, 125.0, 481.0, 49.5], PBjVRajVzL, 6468276]
[paragraph, [185.0, 185.0, 932.0, 36.0], Ai5yqEmV-t, 6468276]
[paragraph, [185.0, 221.0, 932.0, 36.0], Ai5yqEmV-t, 6468276]
[paragraph, [185.0, 257.0, 932.0, 36.0], Ai5yqEmV-t, 6468276]
[sidebar, [44.0, 257.0, 113.0, 36.0], 38iK1dvdsD, 6468276]
[sidebar, [44.0, 293.0, 113.0, 36.0], 38iK1dvdsD, 6468276]
[sub-section-title, [184.0, 320.0, 274.0, 36.0], 2u-mLWr2Of, 6468276]
[sub-section-title, [184.0, 356.0, 274.0, 36.0], 2u-mLWr2Of, 6468276]
[unordered-list, [196.0, 405.0, 430.0, 36.0], tPgue5hh8y, 6468276]
[unordered-list, [196.0, 441.0, 430.0, 36.0], tPgue5hh8y, 6468276]
[unordered-list, [196.0, 477.0, 430.0, 36.0], tPgue5hh8y, 6468276]
[unordered-list, [196.0, 513.0, 430.0, 36.0], tPgue5hh8y, 6468276]
[unordered-list, [196.0, 549.0, 430.0, 36.0], tPgue5hh8y, 6468276]
[unordered-list, [196.0, 585.0, 430.0, 36.0], tPgue5hh8y, 6468276]
[unordered-list, [196.0, 621.0, 430.0, 36.0], tPgue5hh8y, 6468276]
[unordered-list, [196.0, 657.0, 430.0, 36.0], tPgue5hh8y, 6468276]
[unordered-list, [196.0, 693.0, 430.0, 36.0], tPgue5hh8y, 6468276]
[unordered-list, [196.0, 729.0, 430.0, 36.0], tPgue5hh8y, 6468276]
[unordered-list, [190.0, 824.0, 469.0, 36.0], 9zKtuzgDM_, 6468276]
[unordered-list, [190.0, 860.0, 469.0, 36.0], 9zKtuzgDM_, 6468276]
[unordered-list, [190.0, 896.0, 469.0, 36.0], 9zKtuzgDM_, 6468276]
[unordered-list, [190.0, 932.0, 469.0, 36.0], 9zKtuzgDM_, 6468276]
[unordered-list, [190.0, 968.0, 469.0, 36.0], 9zKtuzgDM_, 6468276]
[unordered-list, [190.0, 1004.0, 469.0, 36.0], 9zKtuzgDM_, 6468276]
[paragraph, [192.0, 1112.0, 457.0, 36.0], mJ_ci_K0u8, 6468276]
[paragraph, [192.0, 1148.0, 457.0, 36.0], mJ_ci_K0u8, 6468276]
[paragraph, [192.0, 1184.0, 457.0, 36.0], mJ_ci_K0u8, 6468276]
[paragraph, [189.0, 1365.0, 412.0, 36.0], G6yYzqgt-Q, 6468276]
[paragraph, [184.0, 1475.0, 426.0, 36.0], dTgT3hoVW0, 6468276]
[paragraph, [184.0, 1511.0, 426.0, 36.0], dTgT3hoVW0, 6468276]
