[1365, 834]
[folio, [101.0, 58.0, 120.0, 18.0], 3GQqQiTDhF, 5781612]
[folio, [101.0, 76.0, 120.0, 18.0], 3GQqQiTDhF, 5781612]
[folio, [101.0, 94.0, 120.0, 18.0], 3GQqQiTDhF, 5781612]
[folio, [296.0, 125.0, 262.0, 18.0], shoonya_3sQ48OODEL7AMB, 5781612]
[paragraph, [92.0, 161.0, 659.0, 18.0], E8yd4TI1MM, 5781612]
[paragraph, [92.0, 179.0, 659.0, 18.0], E8yd4TI1MM, 5781612]
[paragraph, [92.0, 197.0, 659.0, 18.0], E8yd4TI1MM, 5781612]
[paragraph, [92.0, 215.0, 659.0, 18.0], E8yd4TI1MM, 5781612]
[paragraph, [92.0, 233.0, 659.0, 18.0], E8yd4TI1MM, 5781612]
[paragraph, [92.0, 251.0, 659.0, 18.0], E8yd4TI1MM, 5781612]
[paragraph, [92.0, 269.0, 659.0, 18.0], E8yd4TI1MM, 5781612]
[ordered-list, [87.0, 297.0, 662.0, 18.0], shoonya_0sDVDX9METCF6U, 5781612]
[ordered-list, [87.0, 315.0, 662.0, 18.0], shoonya_0sDVDX9METCF6U, 5781612]
[ordered-list, [87.0, 333.0, 662.0, 18.0], shoonya_0sDVDX9METCF6U, 5781612]
[ordered-list, [87.0, 351.0, 662.0, 18.0], shoonya_0sDVDX9METCF6U, 5781612]
[ordered-list, [87.0, 369.0, 662.0, 18.0], shoonya_0sDVDX9METCF6U, 5781612]
[ordered-list, [87.0, 387.0, 662.0, 18.0], shoonya_0sDVDX9METCF6U, 5781612]
[ordered-list, [87.0, 405.0, 662.0, 18.0], shoonya_0sDVDX9METCF6U, 5781612]
[ordered-list, [87.0, 423.0, 662.0, 18.0], shoonya_0sDVDX9METCF6U, 5781612]
[ordered-list, [87.0, 441.0, 662.0, 18.0], shoonya_0sDVDX9METCF6U, 5781612]
[ordered-list, [87.0, 459.0, 662.0, 18.0], shoonya_0sDVDX9METCF6U, 5781612]
[ordered-list, [87.0, 477.0, 662.0, 18.0], shoonya_0sDVDX9METCF6U, 5781612]
[ordered-list, [87.0, 495.0, 662.0, 18.0], shoonya_0sDVDX9METCF6U, 5781612]
[ordered-list, [87.0, 513.0, 662.0, 18.0], shoonya_0sDVDX9METCF6U, 5781612]
[ordered-list, [87.0, 531.0, 662.0, 18.0], shoonya_0sDVDX9METCF6U, 5781612]
[ordered-list, [87.0, 549.0, 662.0, 18.0], shoonya_0sDVDX9METCF6U, 5781612]
