[1300, 900]
[folio, [282.0, 35.0, 304.0, 18.0], shoonya_3sQI31WDQX9MEY, 5731010]
[paragraph, [77.0, 98.0, 714.0, 18.0], shoonya_0s0DOBMNIUZZJT, 5731010]
[paragraph, [77.0, 116.0, 714.0, 18.0], shoonya_0s0DOBMNIUZZJT, 5731010]
[paragraph, [77.0, 134.0, 714.0, 18.0], shoonya_0s0DOBMNIUZZJT, 5731010]
[paragraph, [77.0, 152.0, 714.0, 18.0], shoonya_0s0DOBMNIUZZJT, 5731010]
[paragraph, [77.0, 170.0, 714.0, 18.0], shoonya_0s0DOBMNIUZZJT, 5731010]
[paragraph, [77.0, 188.0, 714.0, 18.0], shoonya_0s0DOBMNIUZZJT, 5731010]
[paragraph, [77.0, 206.0, 714.0, 18.0], shoonya_0s0DOBMNIUZZJT, 5731010]
[paragraph, [77.0, 224.0, 714.0, 18.0], shoonya_0s0DOBMNIUZZJT, 5731010]
[paragraph, [77.0, 242.0, 714.0, 18.0], shoonya_0s0DOBMNIUZZJT, 5731010]
[paragraph, [77.0, 260.0, 714.0, 18.0], shoonya_0s0DOBMNIUZZJT, 5731010]
[paragraph, [77.0, 278.0, 714.0, 18.0], shoonya_0s0DOBMNIUZZJT, 5731010]
[paragraph, [77.0, 296.0, 714.0, 18.0], shoonya_0s0DOBMNIUZZJT, 5731010]
[paragraph, [77.0, 314.0, 714.0, 18.0], shoonya_0s0DOBMNIUZZJT, 5731010]
[paragraph, [77.0, 332.0, 714.0, 18.0], shoonya_0s0DOBMNIUZZJT, 5731010]
[paragraph, [77.0, 350.0, 714.0, 18.0], shoonya_0s0DOBMNIUZZJT, 5731010]
[paragraph, [77.0, 368.0, 714.0, 18.0], shoonya_0s0DOBMNIUZZJT, 5731010]
[paragraph, [77.0, 386.0, 714.0, 18.0], shoonya_0s0DOBMNIUZZJT, 5731010]
[paragraph, [77.0, 404.0, 714.0, 18.0], shoonya_0s0DOBMNIUZZJT, 5731010]
[paragraph, [77.0, 422.0, 714.0, 18.0], shoonya_0s0DOBMNIUZZJT, 5731010]
[paragraph, [77.0, 440.0, 714.0, 18.0], shoonya_0s0DOBMNIUZZJT, 5731010]
[paragraph, [77.0, 458.0, 714.0, 18.0], shoonya_0s0DOBMNIUZZJT, 5731010]
[paragraph, [77.0, 476.0, 714.0, 18.0], shoonya_0s0DOBMNIUZZJT, 5731010]
[paragraph, [77.0, 494.0, 714.0, 18.0], shoonya_0s0DOBMNIUZZJT, 5731010]
[paragraph, [77.0, 512.0, 714.0, 18.0], shoonya_0s0DOBMNIUZZJT, 5731010]
[paragraph, [166.0, 532.0, 505.0, 18.0], 2qZF89zghc, 5731010]
[paragraph, [166.0, 550.0, 505.0, 18.0], 2qZF89zghc, 5731010]
[paragraph, [166.0, 568.0, 505.0, 18.0], 2qZF89zghc, 5731010]
[paragraph, [166.0, 586.0, 505.0, 18.0], 2qZF89zghc, 5731010]
[paragraph, [532.0, 620.0, 261.0, 18.0], -znKlOCxcW, 5731010]
[paragraph, [86.0, 655.0, 718.0, 18.0], shoonya_1sCOZW76N07IOB, 5731010]
[paragraph, [86.0, 673.0, 718.0, 18.0], shoonya_1sCOZW76N07IOB, 5731010]
