[2339, 1656]
[paragraph, [844.0, 78.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 114.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 150.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 186.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 222.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 258.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 294.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 330.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 366.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 402.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 438.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 474.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 510.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 546.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 582.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 618.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 654.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 690.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 726.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 762.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 798.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 834.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 870.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 906.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 942.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 978.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 1014.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 1050.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 1086.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 1122.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 1158.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 1194.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 1230.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 1266.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [844.0, 1302.0, 708.0, 36.0], shoonya_3s5OH3ZA5VB7F2, 5749362]
[paragraph, [102.0, 84.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 120.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 156.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 192.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 228.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 264.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 300.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 336.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 372.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 408.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 444.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 480.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 516.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 552.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 588.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 624.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 660.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 696.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 732.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 768.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 804.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 840.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 876.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 912.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 948.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 984.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 1020.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 1056.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 1092.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 1128.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 1164.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 1200.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 1236.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 1272.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
[paragraph, [102.0, 1308.0, 715.0, 36.0], shoonya_2s24V980Q7T84I, 5749362]
