[798, 593]
[section-title, [95.0, 103.0, 368.0, 30.0], shoonya_0sBEVQAMF7S0OB, 5748071]
[contact-info, [64.0, 201.0, 424.0, 18.0], Roty2YCtKx, 5748071]
[contact-info, [64.0, 219.0, 424.0, 18.0], Roty2YCtKx, 5748071]
[contact-info, [64.0, 237.0, 424.0, 18.0], Roty2YCtKx, 5748071]
[contact-info, [64.0, 255.0, 424.0, 18.0], Roty2YCtKx, 5748071]
[contact-info, [64.0, 273.0, 424.0, 18.0], Roty2YCtKx, 5748071]
[contact-info, [64.0, 291.0, 424.0, 18.0], Roty2YCtKx, 5748071]
[contact-info, [64.0, 309.0, 424.0, 18.0], Roty2YCtKx, 5748071]
[contact-info, [64.0, 327.0, 424.0, 18.0], Roty2YCtKx, 5748071]
[contact-info, [64.0, 345.0, 424.0, 18.0], Roty2YCtKx, 5748071]
[contact-info, [79.0, 449.0, 390.0, 18.0], nyhM5PbP_H, 5748071]
