[755, 565]
[headline, [315.0, 93.0, 207.0, 25.5], vpaU7cEM17, 5752317]
[headline, [315.0, 118.5, 207.0, 25.5], vpaU7cEM17, 5752317]
[paragraph, [45.0, 319.0, 227.0, 18.0], ozsY_N8xyj, 5752317]
[paragraph, [45.0, 337.0, 227.0, 18.0], ozsY_N8xyj, 5752317]
[paragraph, [45.0, 355.0, 227.0, 18.0], ozsY_N8xyj, 5752317]
[paragraph, [45.0, 373.0, 227.0, 18.0], ozsY_N8xyj, 5752317]
[paragraph, [287.0, 319.0, 227.0, 18.0], kSFrKh0vE5, 5752317]
[paragraph, [287.0, 337.0, 227.0, 18.0], kSFrKh0vE5, 5752317]
[paragraph, [287.0, 355.0, 227.0, 18.0], kSFrKh0vE5, 5752317]
[paragraph, [287.0, 375.0, 231.0, 18.0], 3Mp6QvGg3e, 5752317]
[paragraph, [287.0, 393.0, 231.0, 18.0], 3Mp6QvGg3e, 5752317]
[paragraph, [287.0, 411.0, 231.0, 18.0], 3Mp6QvGg3e, 5752317]
[paragraph, [287.0, 429.0, 231.0, 18.0], 3Mp6QvGg3e, 5752317]
[paragraph, [287.0, 447.0, 231.0, 18.0], 3Mp6QvGg3e, 5752317]
[paragraph, [287.0, 465.0, 231.0, 18.0], 3Mp6QvGg3e, 5752317]
[paragraph, [45.0, 405.0, 232.0, 18.0], mdCPIU47kN, 5752317]
[paragraph, [45.0, 423.0, 232.0, 18.0], mdCPIU47kN, 5752317]
[paragraph, [45.0, 441.0, 232.0, 18.0], mdCPIU47kN, 5752317]
[unordered-list, [45.0, 489.0, 226.0, 18.0], mijRztBZ8h, 5752317]
[unordered-list, [45.0, 507.0, 226.0, 18.0], mijRztBZ8h, 5752317]
[unordered-list, [45.0, 525.0, 226.0, 18.0], mijRztBZ8h, 5752317]
[unordered-list, [45.0, 543.0, 226.0, 18.0], mijRztBZ8h, 5752317]
[unordered-list, [45.0, 561.0, 226.0, 18.0], mijRztBZ8h, 5752317]
[unordered-list, [45.0, 579.0, 226.0, 18.0], mijRztBZ8h, 5752317]
[unordered-list, [45.0, 597.0, 226.0, 18.0], mijRztBZ8h, 5752317]
[unordered-list, [45.0, 615.0, 226.0, 18.0], mijRztBZ8h, 5752317]
[unordered-list, [45.0, 633.0, 226.0, 18.0], mijRztBZ8h, 5752317]
[unordered-list, [287.0, 503.0, 230.0, 18.0], en9hYAgLg-, 5752317]
[unordered-list, [287.0, 521.0, 230.0, 18.0], en9hYAgLg-, 5752317]
[unordered-list, [287.0, 539.0, 230.0, 18.0], en9hYAgLg-, 5752317]
[unordered-list, [287.0, 557.0, 230.0, 18.0], en9hYAgLg-, 5752317]
[unordered-list, [287.0, 575.0, 230.0, 18.0], en9hYAgLg-, 5752317]
[unordered-list, [287.0, 593.0, 230.0, 18.0], en9hYAgLg-, 5752317]
[unordered-list, [287.0, 611.0, 230.0, 18.0], en9hYAgLg-, 5752317]
[unordered-list, [287.0, 629.0, 230.0, 18.0], en9hYAgLg-, 5752317]
[unordered-list, [287.0, 647.0, 230.0, 18.0], en9hYAgLg-, 5752317]
[unordered-list, [287.0, 665.0, 230.0, 18.0], en9hYAgLg-, 5752317]
[unordered-list, [287.0, 683.0, 230.0, 18.0], en9hYAgLg-, 5752317]
[paragraph, [47.0, 676.0, 224.0, 18.0], dxSvHo3jGI, 5752317]
