[612, 792]
[section-title, [350.0, 55.0, 65.0, 30.0], s_xclTpEB-, 6532956]
[paragraph, [46.0, 102.0, 661.0, 18.0], shoonya_0sIH86W8OV1CK3, 6532956]
[paragraph, [46.0, 120.0, 661.0, 18.0], shoonya_0sIH86W8OV1CK3, 6532956]
[paragraph, [46.0, 138.0, 661.0, 18.0], shoonya_0sIH86W8OV1CK3, 6532956]
[paragraph, [46.0, 156.0, 661.0, 18.0], shoonya_0sIH86W8OV1CK3, 6532956]
[paragraph, [46.0, 174.0, 661.0, 18.0], shoonya_0sIH86W8OV1CK3, 6532956]
[paragraph, [61.0, 203.0, 196.0, 18.0], EOBGZes_Fe, 6532956]
[paragraph, [49.0, 251.0, 657.0, 18.0], OtIwtDtnpO, 6532956]
[paragraph, [49.0, 269.0, 657.0, 18.0], OtIwtDtnpO, 6532956]
[paragraph, [49.0, 287.0, 657.0, 18.0], OtIwtDtnpO, 6532956]
[paragraph, [49.0, 305.0, 657.0, 18.0], OtIwtDtnpO, 6532956]
[paragraph, [49.0, 323.0, 657.0, 18.0], OtIwtDtnpO, 6532956]
[paragraph, [49.0, 341.0, 657.0, 18.0], OtIwtDtnpO, 6532956]
[paragraph, [49.0, 359.0, 657.0, 18.0], OtIwtDtnpO, 6532956]
[paragraph, [49.0, 377.0, 657.0, 18.0], OtIwtDtnpO, 6532956]
[paragraph, [49.0, 395.0, 657.0, 18.0], OtIwtDtnpO, 6532956]
[paragraph, [49.0, 413.0, 657.0, 18.0], OtIwtDtnpO, 6532956]
[paragraph, [49.0, 431.0, 657.0, 18.0], OtIwtDtnpO, 6532956]
[paragraph, [49.0, 449.0, 657.0, 18.0], OtIwtDtnpO, 6532956]
[paragraph, [49.0, 467.0, 657.0, 18.0], OtIwtDtnpO, 6532956]
[paragraph, [49.0, 485.0, 657.0, 18.0], OtIwtDtnpO, 6532956]
[folio, [308.0, 535.0, 133.0, 18.0], Y6AuqKxMv1, 6532956]
