[2338, 1654]
[paragraph, [267.0, 237.0, 1207.0, 36.0], shoonya_2sQTKX3NSLVAV0, 5753450]
[paragraph, [267.0, 273.0, 1207.0, 36.0], shoonya_2sQTKX3NSLVAV0, 5753450]
[paragraph, [267.0, 309.0, 1207.0, 36.0], shoonya_2sQTKX3NSLVAV0, 5753450]
[paragraph, [267.0, 345.0, 1207.0, 36.0], shoonya_2sQTKX3NSLVAV0, 5753450]
[paragraph, [267.0, 381.0, 1207.0, 36.0], shoonya_2sQTKX3NSLVAV0, 5753450]
[paragraph, [267.0, 417.0, 1207.0, 36.0], shoonya_2sQTKX3NSLVAV0, 5753450]
[paragraph, [267.0, 453.0, 1207.0, 36.0], shoonya_2sQTKX3NSLVAV0, 5753450]
[paragraph, [267.0, 489.0, 1207.0, 36.0], shoonya_2sQTKX3NSLVAV0, 5753450]
[paragraph, [267.0, 525.0, 1207.0, 36.0], shoonya_2sQTKX3NSLVAV0, 5753450]
[paragraph, [269.0, 588.0, 1204.0, 36.0], shoonya_0sV3ZG9Y4UVOU1, 5753450]
[paragraph, [269.0, 624.0, 1204.0, 36.0], shoonya_0sV3ZG9Y4UVOU1, 5753450]
[paragraph, [269.0, 660.0, 1204.0, 36.0], shoonya_0sV3ZG9Y4UVOU1, 5753450]
[paragraph, [269.0, 696.0, 1204.0, 36.0], shoonya_0sV3ZG9Y4UVOU1, 5753450]
[paragraph, [269.0, 732.0, 1204.0, 36.0], shoonya_0sV3ZG9Y4UVOU1, 5753450]
[paragraph, [269.0, 768.0, 1204.0, 36.0], shoonya_0sV3ZG9Y4UVOU1, 5753450]
[paragraph, [269.0, 804.0, 1204.0, 36.0], shoonya_0sV3ZG9Y4UVOU1, 5753450]
[paragraph, [269.0, 840.0, 1204.0, 36.0], shoonya_0sV3ZG9Y4UVOU1, 5753450]
[paragraph, [269.0, 876.0, 1204.0, 36.0], shoonya_0sV3ZG9Y4UVOU1, 5753450]
[paragraph, [269.0, 912.0, 1204.0, 36.0], shoonya_0sV3ZG9Y4UVOU1, 5753450]
[paragraph, [269.0, 948.0, 1204.0, 36.0], shoonya_0sV3ZG9Y4UVOU1, 5753450]
[paragraph, [269.0, 984.0, 1204.0, 36.0], shoonya_0sV3ZG9Y4UVOU1, 5753450]
[paragraph, [269.0, 1020.0, 1204.0, 36.0], shoonya_0sV3ZG9Y4UVOU1, 5753450]
[paragraph, [269.0, 1056.0, 1204.0, 36.0], shoonya_0sV3ZG9Y4UVOU1, 5753450]
[paragraph, [269.0, 1092.0, 1204.0, 36.0], shoonya_0sV3ZG9Y4UVOU1, 5753450]
[paragraph, [269.0, 1128.0, 1204.0, 36.0], shoonya_0sV3ZG9Y4UVOU1, 5753450]
[paragraph, [269.0, 1164.0, 1204.0, 36.0], shoonya_0sV3ZG9Y4UVOU1, 5753450]
[paragraph, [269.0, 1200.0, 1204.0, 36.0], shoonya_0sV3ZG9Y4UVOU1, 5753450]
[paragraph, [269.0, 1236.0, 1204.0, 36.0], shoonya_0sV3ZG9Y4UVOU1, 5753450]
[paragraph, [269.0, 1272.0, 1204.0, 36.0], shoonya_0sV3ZG9Y4UVOU1, 5753450]
[paragraph, [269.0, 1308.0, 1204.0, 36.0], shoonya_0sV3ZG9Y4UVOU1, 5753450]
[paragraph, [269.0, 1344.0, 1204.0, 36.0], shoonya_0sV3ZG9Y4UVOU1, 5753450]
[paragraph, [269.0, 1380.0, 1204.0, 36.0], shoonya_0sV3ZG9Y4UVOU1, 5753450]
[paragraph, [266.0, 1459.0, 1205.0, 36.0], shoonya_1s5IDWY7X3UY6P, 5753450]
[paragraph, [266.0, 1495.0, 1205.0, 36.0], shoonya_1s5IDWY7X3UY6P, 5753450]
[paragraph, [266.0, 1531.0, 1205.0, 36.0], shoonya_1s5IDWY7X3UY6P, 5753450]
[paragraph, [266.0, 1567.0, 1205.0, 36.0], shoonya_1s5IDWY7X3UY6P, 5753450]
[paragraph, [266.0, 1603.0, 1205.0, 36.0], shoonya_1s5IDWY7X3UY6P, 5753450]
[paragraph, [266.0, 1639.0, 1205.0, 36.0], shoonya_1s5IDWY7X3UY6P, 5753450]
[paragraph, [266.0, 1675.0, 1205.0, 36.0], shoonya_1s5IDWY7X3UY6P, 5753450]
[paragraph, [266.0, 1711.0, 1205.0, 36.0], shoonya_1s5IDWY7X3UY6P, 5753450]
[paragraph, [266.0, 1747.0, 1205.0, 36.0], shoonya_1s5IDWY7X3UY6P, 5753450]
[paragraph, [266.0, 1783.0, 1205.0, 36.0], shoonya_1s5IDWY7X3UY6P, 5753450]
[paragraph, [266.0, 1819.0, 1205.0, 36.0], shoonya_1s5IDWY7X3UY6P, 5753450]
[paragraph, [266.0, 1855.0, 1205.0, 36.0], shoonya_1s5IDWY7X3UY6P, 5753450]
[paragraph, [266.0, 1891.0, 1205.0, 36.0], shoonya_1s5IDWY7X3UY6P, 5753450]
[paragraph, [266.0, 1927.0, 1205.0, 36.0], shoonya_1s5IDWY7X3UY6P, 5753450]
[paragraph, [266.0, 1963.0, 1205.0, 36.0], shoonya_1s5IDWY7X3UY6P, 5753450]
