[1823, 1375]
[folio, [997.0, 101.0, 278.0, 36.0], 8NTsLdlLRf, 5684309]
[folio, [627.0, 108.0, 117.0, 36.0], shoonya_4sE6BWVT60ZD5F, 5684309]
[paragraph, [106.0, 171.0, 572.0, 36.0], shoonya_0sI3V1OOGBZUHZ, 5684309]
[paragraph, [106.0, 207.0, 572.0, 36.0], shoonya_0sI3V1OOGBZUHZ, 5684309]
[paragraph, [106.0, 243.0, 572.0, 36.0], shoonya_0sI3V1OOGBZUHZ, 5684309]
[paragraph, [106.0, 279.0, 572.0, 36.0], shoonya_0sI3V1OOGBZUHZ, 5684309]
[paragraph, [106.0, 315.0, 572.0, 36.0], shoonya_0sI3V1OOGBZUHZ, 5684309]
[paragraph, [106.0, 351.0, 572.0, 36.0], shoonya_0sI3V1OOGBZUHZ, 5684309]
[paragraph, [106.0, 387.0, 572.0, 36.0], shoonya_0sI3V1OOGBZUHZ, 5684309]
[paragraph, [106.0, 423.0, 572.0, 36.0], shoonya_0sI3V1OOGBZUHZ, 5684309]
[paragraph, [106.0, 459.0, 572.0, 36.0], shoonya_0sI3V1OOGBZUHZ, 5684309]
[paragraph, [106.0, 495.0, 572.0, 36.0], shoonya_0sI3V1OOGBZUHZ, 5684309]
[paragraph, [106.0, 531.0, 572.0, 36.0], shoonya_0sI3V1OOGBZUHZ, 5684309]
[paragraph, [106.0, 567.0, 572.0, 36.0], shoonya_0sI3V1OOGBZUHZ, 5684309]
[paragraph, [106.0, 603.0, 572.0, 36.0], shoonya_0sI3V1OOGBZUHZ, 5684309]
[paragraph, [106.0, 639.0, 572.0, 36.0], shoonya_0sI3V1OOGBZUHZ, 5684309]
[paragraph, [106.0, 675.0, 572.0, 36.0], shoonya_0sI3V1OOGBZUHZ, 5684309]
[paragraph, [106.0, 711.0, 572.0, 36.0], shoonya_0sI3V1OOGBZUHZ, 5684309]
[paragraph, [106.0, 747.0, 572.0, 36.0], shoonya_0sI3V1OOGBZUHZ, 5684309]
[paragraph, [106.0, 783.0, 572.0, 36.0], shoonya_0sI3V1OOGBZUHZ, 5684309]
[paragraph, [106.0, 819.0, 572.0, 36.0], shoonya_0sI3V1OOGBZUHZ, 5684309]
[paragraph, [106.0, 855.0, 572.0, 36.0], shoonya_0sI3V1OOGBZUHZ, 5684309]
[paragraph, [106.0, 891.0, 572.0, 36.0], shoonya_0sI3V1OOGBZUHZ, 5684309]
[paragraph, [106.0, 927.0, 572.0, 36.0], shoonya_0sI3V1OOGBZUHZ, 5684309]
[paragraph, [106.0, 963.0, 572.0, 36.0], shoonya_0sI3V1OOGBZUHZ, 5684309]
[paragraph, [700.0, 175.0, 577.0, 36.0], shoonya_5sDOJ6U685IMCB, 5684309]
[paragraph, [700.0, 211.0, 577.0, 36.0], shoonya_5sDOJ6U685IMCB, 5684309]
[paragraph, [700.0, 247.0, 577.0, 36.0], shoonya_5sDOJ6U685IMCB, 5684309]
