[3508, 2481]
[contact-info, [587.0, 321.0, 1302.0, 52.5], oWup0IO4F6, 6516713]
[contact-info, [587.0, 373.5, 1302.0, 52.5], oWup0IO4F6, 6516713]
[contact-info, [587.0, 426.0, 1302.0, 52.5], oWup0IO4F6, 6516713]
[contact-info, [587.0, 478.5, 1302.0, 52.5], oWup0IO4F6, 6516713]
[folio, [944.0, 704.0, 584.0, 52.5], shoonya_3sGVIQH6A5OSSR, 6516713]
[headline, [856.0, 815.0, 751.0, 52.5], BuKvy3-Hco, 6516713]
[headline, [856.0, 867.5, 751.0, 52.5], BuKvy3-Hco, 6516713]
[paragraph, [227.0, 1316.0, 249.0, 52.5], shoonya_12sBDCPS0BCDJQ, 6516713]
[paragraph, [226.0, 1432.0, 2029.0, 52.5], shoonya_2sVMABFNZ6X8SY, 6516713]
[paragraph, [226.0, 1484.5, 2029.0, 52.5], shoonya_2sVMABFNZ6X8SY, 6516713]
[paragraph, [226.0, 1537.0, 2029.0, 52.5], shoonya_2sVMABFNZ6X8SY, 6516713]
[paragraph, [226.0, 1589.5, 2029.0, 52.5], shoonya_2sVMABFNZ6X8SY, 6516713]
[paragraph, [226.0, 1642.0, 2029.0, 52.5], shoonya_2sVMABFNZ6X8SY, 6516713]
[paragraph, [226.0, 1789.0, 2033.0, 52.5], shoonya_0sUPF4OAHJBMMG, 6516713]
[paragraph, [226.0, 1841.5, 2033.0, 52.5], shoonya_0sUPF4OAHJBMMG, 6516713]
[paragraph, [226.0, 1894.0, 2033.0, 52.5], shoonya_0sUPF4OAHJBMMG, 6516713]
[paragraph, [226.0, 1946.5, 2033.0, 52.5], shoonya_0sUPF4OAHJBMMG, 6516713]
[paragraph, [226.0, 1999.0, 2033.0, 52.5], shoonya_0sUPF4OAHJBMMG, 6516713]
[paragraph, [226.0, 2051.5, 2033.0, 52.5], shoonya_0sUPF4OAHJBMMG, 6516713]
[paragraph, [226.0, 2104.0, 2033.0, 52.5], shoonya_0sUPF4OAHJBMMG, 6516713]
[paragraph, [226.0, 2156.5, 2033.0, 52.5], shoonya_0sUPF4OAHJBMMG, 6516713]
[paragraph, [226.0, 2209.0, 2033.0, 52.5], shoonya_0sUPF4OAHJBMMG, 6516713]
[paragraph, [226.0, 2261.5, 2033.0, 52.5], shoonya_0sUPF4OAHJBMMG, 6516713]
[section-title, [217.0, 2497.0, 578.0, 93.0], shoonya_1sW0N2ZVMC310B, 6516713]
[paragraph, [206.0, 2756.0, 2057.0, 52.5], eFlFRTZTa0, 6516713]
[paragraph, [206.0, 2808.5, 2057.0, 52.5], eFlFRTZTa0, 6516713]
[paragraph, [227.0, 3071.0, 636.0, 52.5], shoonya_5sLET5H9BOQQ7K, 6516713]
[sub-section-title, [229.0, 3225.0, 339.0, 73.5], shoonya_14sHZSVL24TD6I, 6516713]
