[2339, 1656]
[paragraph, [180.0, 179.0, 1305.0, 36.0], XXFvQeuEUf, 5752248]
[paragraph, [180.0, 215.0, 1305.0, 36.0], XXFvQeuEUf, 5752248]
[paragraph, [180.0, 251.0, 1305.0, 36.0], XXFvQeuEUf, 5752248]
[paragraph, [180.0, 287.0, 1305.0, 36.0], XXFvQeuEUf, 5752248]
[paragraph, [184.0, 381.0, 1284.0, 36.0], shoonya_1s89JLD0G5CG10, 5752248]
[paragraph, [184.0, 417.0, 1284.0, 36.0], shoonya_1s89JLD0G5CG10, 5752248]
[paragraph, [184.0, 453.0, 1284.0, 36.0], shoonya_1s89JLD0G5CG10, 5752248]
[paragraph, [184.0, 489.0, 1284.0, 36.0], shoonya_1s89JLD0G5CG10, 5752248]
[paragraph, [184.0, 525.0, 1284.0, 36.0], shoonya_1s89JLD0G5CG10, 5752248]
[paragraph, [184.0, 561.0, 1284.0, 36.0], shoonya_1s89JLD0G5CG10, 5752248]
[paragraph, [178.0, 626.0, 1288.0, 36.0], qdriswKo3r, 5752248]
[paragraph, [178.0, 662.0, 1288.0, 36.0], qdriswKo3r, 5752248]
[paragraph, [178.0, 698.0, 1288.0, 36.0], qdriswKo3r, 5752248]
[paragraph, [181.0, 754.0, 1291.0, 36.0], shoonya_2s7CC50F9O6ZSA, 5752248]
[paragraph, [181.0, 790.0, 1291.0, 36.0], shoonya_2s7CC50F9O6ZSA, 5752248]
[paragraph, [181.0, 826.0, 1291.0, 36.0], shoonya_2s7CC50F9O6ZSA, 5752248]
[paragraph, [181.0, 862.0, 1291.0, 36.0], shoonya_2s7CC50F9O6ZSA, 5752248]
[paragraph, [190.0, 941.0, 1279.0, 36.0], shoonya_5sOAK063REKGCJ, 5752248]
[paragraph, [190.0, 977.0, 1279.0, 36.0], shoonya_5sOAK063REKGCJ, 5752248]
[paragraph, [190.0, 1013.0, 1279.0, 36.0], shoonya_5sOAK063REKGCJ, 5752248]
[paragraph, [190.0, 1049.0, 1279.0, 36.0], shoonya_5sOAK063REKGCJ, 5752248]
[paragraph, [188.0, 1122.0, 1297.0, 36.0], shoonya_0sJC6LFHOTUB05, 5752248]
[paragraph, [188.0, 1158.0, 1297.0, 36.0], shoonya_0sJC6LFHOTUB05, 5752248]
[paragraph, [188.0, 1194.0, 1297.0, 36.0], shoonya_0sJC6LFHOTUB05, 5752248]
[paragraph, [188.0, 1230.0, 1297.0, 36.0], shoonya_0sJC6LFHOTUB05, 5752248]
[paragraph, [188.0, 1266.0, 1297.0, 36.0], shoonya_0sJC6LFHOTUB05, 5752248]
[paragraph, [188.0, 1302.0, 1297.0, 36.0], shoonya_0sJC6LFHOTUB05, 5752248]
[paragraph, [188.0, 1338.0, 1297.0, 36.0], shoonya_0sJC6LFHOTUB05, 5752248]
[paragraph, [188.0, 1374.0, 1297.0, 36.0], shoonya_0sJC6LFHOTUB05, 5752248]
[paragraph, [184.0, 1475.0, 1288.0, 36.0], shoonya_6s3Y28SWZ5352Y, 5752248]
[paragraph, [184.0, 1511.0, 1288.0, 36.0], shoonya_6s3Y28SWZ5352Y, 5752248]
[paragraph, [184.0, 1547.0, 1288.0, 36.0], shoonya_6s3Y28SWZ5352Y, 5752248]
[paragraph, [184.0, 1583.0, 1288.0, 36.0], shoonya_6s3Y28SWZ5352Y, 5752248]
[paragraph, [184.0, 1619.0, 1288.0, 36.0], shoonya_6s3Y28SWZ5352Y, 5752248]
[paragraph, [184.0, 1655.0, 1288.0, 36.0], shoonya_6s3Y28SWZ5352Y, 5752248]
[paragraph, [184.0, 1691.0, 1288.0, 36.0], shoonya_6s3Y28SWZ5352Y, 5752248]
[paragraph, [184.0, 1727.0, 1288.0, 36.0], shoonya_6s3Y28SWZ5352Y, 5752248]
[paragraph, [184.0, 1763.0, 1288.0, 36.0], shoonya_6s3Y28SWZ5352Y, 5752248]
[paragraph, [184.0, 1799.0, 1288.0, 36.0], shoonya_6s3Y28SWZ5352Y, 5752248]
[folio, [1085.0, 2168.0, 556.0, 36.0], XEw1p-8JQJ, 5752248]
[dateline, [1203.0, 2240.0, 405.0, 64.5], kmzcJeU7Oa, 5752248]
