[1951, 1219]
[folio, [229.0, 122.0, 222.0, 36.0], shoonya_1sLXNQCIRZVRDW, 5681963]
[paragraph, [124.0, 213.0, 970.0, 36.0], I5qFl3-Djd, 5681963]
[paragraph, [124.0, 280.0, 972.0, 36.0], NcEiozad_l, 5681963]
[paragraph, [124.0, 316.0, 972.0, 36.0], NcEiozad_l, 5681963]
[paragraph, [124.0, 352.0, 972.0, 36.0], NcEiozad_l, 5681963]
[paragraph, [124.0, 388.0, 972.0, 36.0], NcEiozad_l, 5681963]
[paragraph, [124.0, 424.0, 972.0, 36.0], NcEiozad_l, 5681963]
[paragraph, [126.0, 510.0, 973.0, 36.0], StBt5Nnl5o, 5681963]
[paragraph, [126.0, 546.0, 973.0, 36.0], StBt5Nnl5o, 5681963]
[paragraph, [126.0, 582.0, 973.0, 36.0], StBt5Nnl5o, 5681963]
[paragraph, [126.0, 618.0, 973.0, 36.0], StBt5Nnl5o, 5681963]
[paragraph, [126.0, 654.0, 973.0, 36.0], StBt5Nnl5o, 5681963]
[paragraph, [126.0, 690.0, 973.0, 36.0], StBt5Nnl5o, 5681963]
[paragraph, [205.0, 740.0, 269.0, 36.0], 3qdwnL0vxB, 5681963]
[paragraph, [205.0, 800.0, 889.0, 36.0], nqfNLR9feC, 5681963]
[paragraph, [207.0, 853.0, 214.0, 36.0], 0mZ_M1xiH5, 5681963]
[paragraph, [205.0, 911.0, 489.0, 36.0], a3u5S9P5N3, 5681963]
[paragraph, [205.0, 972.0, 507.0, 36.0], h7Vh1aH1fz, 5681963]
[paragraph, [208.0, 1028.0, 511.0, 36.0], baFSxB6g5j, 5681963]
[paragraph, [205.0, 1086.0, 502.0, 36.0], ytMDxuvSj5, 5681963]
[paragraph, [115.0, 1147.0, 966.0, 36.0], c7aQDKlRW1, 5681963]
[paragraph, [115.0, 1183.0, 966.0, 36.0], c7aQDKlRW1, 5681963]
[paragraph, [115.0, 1219.0, 966.0, 36.0], c7aQDKlRW1, 5681963]
[paragraph, [115.0, 1265.0, 972.0, 36.0], opRXM_2Jrf, 5681963]
[paragraph, [115.0, 1301.0, 972.0, 36.0], opRXM_2Jrf, 5681963]
[paragraph, [115.0, 1337.0, 972.0, 36.0], opRXM_2Jrf, 5681963]
[paragraph, [115.0, 1373.0, 972.0, 36.0], opRXM_2Jrf, 5681963]
[paragraph, [115.0, 1409.0, 972.0, 36.0], opRXM_2Jrf, 5681963]
[paragraph, [115.0, 1445.0, 972.0, 36.0], opRXM_2Jrf, 5681963]
[paragraph, [115.0, 1481.0, 972.0, 36.0], opRXM_2Jrf, 5681963]
[paragraph, [115.0, 1517.0, 972.0, 36.0], opRXM_2Jrf, 5681963]
[paragraph, [115.0, 1553.0, 972.0, 36.0], opRXM_2Jrf, 5681963]
[paragraph, [115.0, 1589.0, 972.0, 36.0], opRXM_2Jrf, 5681963]
[paragraph, [115.0, 1625.0, 972.0, 36.0], opRXM_2Jrf, 5681963]
[paragraph, [115.0, 1661.0, 972.0, 36.0], opRXM_2Jrf, 5681963]
[paragraph, [124.0, 1722.0, 961.0, 36.0], HIFUAuLjIM, 5681963]
[paragraph, [124.0, 1758.0, 961.0, 36.0], HIFUAuLjIM, 5681963]
[paragraph, [124.0, 1794.0, 961.0, 36.0], HIFUAuLjIM, 5681963]
