[1667, 1042]
[folio, [131.0, 73.0, 204.0, 36.0], hz9WhACzrB, 5752848]
[paragraph, [120.0, 113.0, 859.0, 36.0], shoonya_3sOAC9U9VFCAFU, 5752848]
[paragraph, [120.0, 149.0, 859.0, 36.0], shoonya_3sOAC9U9VFCAFU, 5752848]
[paragraph, [210.0, 219.0, 599.0, 36.0], 53gHA2ZR2a, 5752848]
[paragraph, [210.0, 255.0, 599.0, 36.0], 53gHA2ZR2a, 5752848]
[paragraph, [210.0, 291.0, 599.0, 36.0], 53gHA2ZR2a, 5752848]
[paragraph, [210.0, 327.0, 599.0, 36.0], 53gHA2ZR2a, 5752848]
[paragraph, [211.0, 368.0, 364.0, 36.0], l4EZtoc-bT, 5752848]
[reference, [619.0, 368.0, 162.0, 36.0], 0TUPdAQvuj, 5752848]
[paragraph, [104.0, 421.0, 880.0, 36.0], U-l--SeL8n, 5752848]
[paragraph, [104.0, 457.0, 880.0, 36.0], U-l--SeL8n, 5752848]
[paragraph, [104.0, 493.0, 880.0, 36.0], U-l--SeL8n, 5752848]
[paragraph, [104.0, 529.0, 880.0, 36.0], U-l--SeL8n, 5752848]
[paragraph, [104.0, 565.0, 880.0, 36.0], U-l--SeL8n, 5752848]
[paragraph, [121.0, 624.0, 862.0, 36.0], shoonya_0s1W1JMF0YIK8A, 5752848]
[paragraph, [121.0, 660.0, 862.0, 36.0], shoonya_0s1W1JMF0YIK8A, 5752848]
[paragraph, [121.0, 696.0, 862.0, 36.0], shoonya_0s1W1JMF0YIK8A, 5752848]
[paragraph, [121.0, 732.0, 862.0, 36.0], shoonya_0s1W1JMF0YIK8A, 5752848]
[paragraph, [121.0, 768.0, 862.0, 36.0], shoonya_0s1W1JMF0YIK8A, 5752848]
[paragraph, [121.0, 804.0, 862.0, 36.0], shoonya_0s1W1JMF0YIK8A, 5752848]
[paragraph, [121.0, 840.0, 862.0, 36.0], shoonya_0s1W1JMF0YIK8A, 5752848]
[paragraph, [121.0, 876.0, 862.0, 36.0], shoonya_0s1W1JMF0YIK8A, 5752848]
[paragraph, [121.0, 912.0, 862.0, 36.0], shoonya_0s1W1JMF0YIK8A, 5752848]
[paragraph, [121.0, 948.0, 862.0, 36.0], shoonya_0s1W1JMF0YIK8A, 5752848]
[paragraph, [121.0, 984.0, 862.0, 36.0], shoonya_0s1W1JMF0YIK8A, 5752848]
[paragraph, [121.0, 1020.0, 862.0, 36.0], shoonya_0s1W1JMF0YIK8A, 5752848]
[paragraph, [121.0, 1056.0, 862.0, 36.0], shoonya_0s1W1JMF0YIK8A, 5752848]
[paragraph, [121.0, 1092.0, 862.0, 36.0], shoonya_0s1W1JMF0YIK8A, 5752848]
[paragraph, [121.0, 1128.0, 862.0, 36.0], shoonya_0s1W1JMF0YIK8A, 5752848]
[paragraph, [121.0, 1164.0, 862.0, 36.0], shoonya_0s1W1JMF0YIK8A, 5752848]
[paragraph, [121.0, 1200.0, 862.0, 36.0], shoonya_0s1W1JMF0YIK8A, 5752848]
[paragraph, [121.0, 1236.0, 862.0, 36.0], shoonya_0s1W1JMF0YIK8A, 5752848]
[paragraph, [121.0, 1272.0, 862.0, 36.0], shoonya_0s1W1JMF0YIK8A, 5752848]
[paragraph, [112.0, 1319.0, 871.0, 36.0], CHa--8mCGe, 5752848]
[paragraph, [112.0, 1355.0, 871.0, 36.0], CHa--8mCGe, 5752848]
[paragraph, [112.0, 1391.0, 871.0, 36.0], CHa--8mCGe, 5752848]
[paragraph, [112.0, 1427.0, 871.0, 36.0], CHa--8mCGe, 5752848]
[folio, [867.0, 1474.0, 103.0, 36.0], shoonya_2sGHH51ESQDQ5L, 5752848]
