[2339, 1654]
[folio, [1301.0, 55.0, 257.0, 36.0], Ml1HQePbMY, 5750594]
[paragraph, [109.0, 109.0, 1452.0, 36.0], shoonya_3sZFPPSBF0E02L, 5750594]
[paragraph, [109.0, 145.0, 1452.0, 36.0], shoonya_3sZFPPSBF0E02L, 5750594]
[paragraph, [109.0, 181.0, 1452.0, 36.0], shoonya_3sZFPPSBF0E02L, 5750594]
[paragraph, [109.0, 217.0, 1452.0, 36.0], shoonya_3sZFPPSBF0E02L, 5750594]
[paragraph, [109.0, 253.0, 1452.0, 36.0], shoonya_3sZFPPSBF0E02L, 5750594]
[paragraph, [109.0, 289.0, 1452.0, 36.0], shoonya_3sZFPPSBF0E02L, 5750594]
[paragraph, [109.0, 325.0, 1452.0, 36.0], shoonya_3sZFPPSBF0E02L, 5750594]
[paragraph, [261.0, 372.0, 1007.0, 36.0], 5jPWEA2MMg, 5750594]
[paragraph, [261.0, 408.0, 1007.0, 36.0], 5jPWEA2MMg, 5750594]
[paragraph, [114.0, 441.0, 1434.0, 36.0], shoonya_1s10W0NB61CR8N, 5750594]
[paragraph, [114.0, 477.0, 1434.0, 36.0], shoonya_1s10W0NB61CR8N, 5750594]
[paragraph, [114.0, 513.0, 1434.0, 36.0], shoonya_1s10W0NB61CR8N, 5750594]
[paragraph, [114.0, 549.0, 1434.0, 36.0], shoonya_1s10W0NB61CR8N, 5750594]
[paragraph, [114.0, 585.0, 1434.0, 36.0], shoonya_1s10W0NB61CR8N, 5750594]
[paragraph, [114.0, 621.0, 1434.0, 36.0], shoonya_1s10W0NB61CR8N, 5750594]
[paragraph, [114.0, 657.0, 1434.0, 36.0], shoonya_1s10W0NB61CR8N, 5750594]
[paragraph, [114.0, 693.0, 1434.0, 36.0], shoonya_1s10W0NB61CR8N, 5750594]
[paragraph, [114.0, 729.0, 1434.0, 36.0], shoonya_1s10W0NB61CR8N, 5750594]
[paragraph, [114.0, 765.0, 1434.0, 36.0], shoonya_1s10W0NB61CR8N, 5750594]
[paragraph, [114.0, 801.0, 1434.0, 36.0], shoonya_1s10W0NB61CR8N, 5750594]
[paragraph, [114.0, 837.0, 1434.0, 36.0], shoonya_1s10W0NB61CR8N, 5750594]
[paragraph, [114.0, 873.0, 1434.0, 36.0], shoonya_1s10W0NB61CR8N, 5750594]
[paragraph, [114.0, 909.0, 1434.0, 36.0], shoonya_1s10W0NB61CR8N, 5750594]
[paragraph, [114.0, 945.0, 1434.0, 36.0], shoonya_1s10W0NB61CR8N, 5750594]
[paragraph, [114.0, 981.0, 1434.0, 36.0], shoonya_1s10W0NB61CR8N, 5750594]
[paragraph, [93.0, 1035.0, 1473.0, 36.0], Xdh5MhJc93, 5750594]
[paragraph, [93.0, 1071.0, 1473.0, 36.0], Xdh5MhJc93, 5750594]
[paragraph, [93.0, 1107.0, 1473.0, 36.0], Xdh5MhJc93, 5750594]
[paragraph, [93.0, 1143.0, 1473.0, 36.0], Xdh5MhJc93, 5750594]
[paragraph, [93.0, 1179.0, 1473.0, 36.0], Xdh5MhJc93, 5750594]
[paragraph, [93.0, 1215.0, 1473.0, 36.0], Xdh5MhJc93, 5750594]
[paragraph, [93.0, 1251.0, 1473.0, 36.0], Xdh5MhJc93, 5750594]
[paragraph, [93.0, 1287.0, 1473.0, 36.0], Xdh5MhJc93, 5750594]
[paragraph, [93.0, 1323.0, 1473.0, 36.0], Xdh5MhJc93, 5750594]
[paragraph, [93.0, 1359.0, 1473.0, 36.0], Xdh5MhJc93, 5750594]
[paragraph, [93.0, 1395.0, 1473.0, 36.0], Xdh5MhJc93, 5750594]
[paragraph, [93.0, 1431.0, 1473.0, 36.0], Xdh5MhJc93, 5750594]
[paragraph, [93.0, 1467.0, 1473.0, 36.0], Xdh5MhJc93, 5750594]
[paragraph, [93.0, 1503.0, 1473.0, 36.0], Xdh5MhJc93, 5750594]
[paragraph, [93.0, 1539.0, 1473.0, 36.0], Xdh5MhJc93, 5750594]
[paragraph, [93.0, 1575.0, 1473.0, 36.0], Xdh5MhJc93, 5750594]
[paragraph, [93.0, 1611.0, 1473.0, 36.0], Xdh5MhJc93, 5750594]
[paragraph, [93.0, 1647.0, 1473.0, 36.0], Xdh5MhJc93, 5750594]
[paragraph, [93.0, 1683.0, 1473.0, 36.0], Xdh5MhJc93, 5750594]
[paragraph, [93.0, 1719.0, 1473.0, 36.0], Xdh5MhJc93, 5750594]
[paragraph, [93.0, 1755.0, 1473.0, 36.0], Xdh5MhJc93, 5750594]
[paragraph, [93.0, 1791.0, 1473.0, 36.0], Xdh5MhJc93, 5750594]
[paragraph, [93.0, 1827.0, 1473.0, 36.0], Xdh5MhJc93, 5750594]
[paragraph, [93.0, 1863.0, 1473.0, 36.0], Xdh5MhJc93, 5750594]
