[3509, 2480]
[paragraph, [356.0, 363.0, 1796.0, 52.5], shoonya_2sXHX1KV92TB4O, 5724343]
[paragraph, [356.0, 415.5, 1796.0, 52.5], shoonya_2sXHX1KV92TB4O, 5724343]
[paragraph, [356.0, 468.0, 1796.0, 52.5], shoonya_2sXHX1KV92TB4O, 5724343]
[paragraph, [356.0, 520.5, 1796.0, 52.5], shoonya_2sXHX1KV92TB4O, 5724343]
[paragraph, [356.0, 573.0, 1796.0, 52.5], shoonya_2sXHX1KV92TB4O, 5724343]
[paragraph, [356.0, 625.5, 1796.0, 52.5], shoonya_2sXHX1KV92TB4O, 5724343]
[paragraph, [356.0, 678.0, 1796.0, 52.5], shoonya_2sXHX1KV92TB4O, 5724343]
[paragraph, [356.0, 730.5, 1796.0, 52.5], shoonya_2sXHX1KV92TB4O, 5724343]
[paragraph, [356.0, 783.0, 1796.0, 52.5], shoonya_2sXHX1KV92TB4O, 5724343]
[paragraph, [356.0, 835.5, 1796.0, 52.5], shoonya_2sXHX1KV92TB4O, 5724343]
[paragraph, [356.0, 888.0, 1796.0, 52.5], shoonya_2sXHX1KV92TB4O, 5724343]
[paragraph, [356.0, 940.5, 1796.0, 52.5], shoonya_2sXHX1KV92TB4O, 5724343]
[paragraph, [356.0, 993.0, 1796.0, 52.5], shoonya_2sXHX1KV92TB4O, 5724343]
[paragraph, [356.0, 1045.5, 1796.0, 52.5], shoonya_2sXHX1KV92TB4O, 5724343]
[paragraph, [356.0, 1098.0, 1796.0, 52.5], shoonya_2sXHX1KV92TB4O, 5724343]
[paragraph, [356.0, 1150.5, 1796.0, 52.5], shoonya_2sXHX1KV92TB4O, 5724343]
[paragraph, [356.0, 1203.0, 1796.0, 52.5], shoonya_2sXHX1KV92TB4O, 5724343]
[paragraph, [356.0, 1255.5, 1796.0, 52.5], shoonya_2sXHX1KV92TB4O, 5724343]
[paragraph, [356.0, 1308.0, 1796.0, 52.5], shoonya_2sXHX1KV92TB4O, 5724343]
[paragraph, [356.0, 1360.5, 1796.0, 52.5], shoonya_2sXHX1KV92TB4O, 5724343]
[paragraph, [356.0, 1413.0, 1796.0, 52.5], shoonya_2sXHX1KV92TB4O, 5724343]
[paragraph, [356.0, 1465.5, 1796.0, 52.5], shoonya_2sXHX1KV92TB4O, 5724343]
[paragraph, [356.0, 1518.0, 1796.0, 52.5], shoonya_2sXHX1KV92TB4O, 5724343]
[paragraph, [352.0, 1771.0, 1782.0, 52.5], shoonya_3s57EIQZ7RZ7F6, 5724343]
[paragraph, [352.0, 1823.5, 1782.0, 52.5], shoonya_3s57EIQZ7RZ7F6, 5724343]
[paragraph, [352.0, 1876.0, 1782.0, 52.5], shoonya_3s57EIQZ7RZ7F6, 5724343]
[paragraph, [352.0, 1928.5, 1782.0, 52.5], shoonya_3s57EIQZ7RZ7F6, 5724343]
[paragraph, [352.0, 1981.0, 1782.0, 52.5], shoonya_3s57EIQZ7RZ7F6, 5724343]
[paragraph, [352.0, 2033.5, 1782.0, 52.5], shoonya_3s57EIQZ7RZ7F6, 5724343]
[paragraph, [352.0, 2086.0, 1782.0, 52.5], shoonya_3s57EIQZ7RZ7F6, 5724343]
[paragraph, [352.0, 2138.5, 1782.0, 52.5], shoonya_3s57EIQZ7RZ7F6, 5724343]
[paragraph, [352.0, 2191.0, 1782.0, 52.5], shoonya_3s57EIQZ7RZ7F6, 5724343]
[paragraph, [352.0, 2243.5, 1782.0, 52.5], shoonya_3s57EIQZ7RZ7F6, 5724343]
[paragraph, [352.0, 2296.0, 1782.0, 52.5], shoonya_3s57EIQZ7RZ7F6, 5724343]
[paragraph, [352.0, 2348.5, 1782.0, 52.5], shoonya_3s57EIQZ7RZ7F6, 5724343]
[paragraph, [352.0, 2401.0, 1782.0, 52.5], shoonya_3s57EIQZ7RZ7F6, 5724343]
[paragraph, [352.0, 2453.5, 1782.0, 52.5], shoonya_3s57EIQZ7RZ7F6, 5724343]
[paragraph, [352.0, 2506.0, 1782.0, 52.5], shoonya_3s57EIQZ7RZ7F6, 5724343]
[paragraph, [352.0, 2558.5, 1782.0, 52.5], shoonya_3s57EIQZ7RZ7F6, 5724343]
[paragraph, [352.0, 2611.0, 1782.0, 52.5], shoonya_3s57EIQZ7RZ7F6, 5724343]
[paragraph, [347.0, 2712.0, 1797.0, 52.5], _wfU-OMFy5, 5724343]
[paragraph, [347.0, 2764.5, 1797.0, 52.5], _wfU-OMFy5, 5724343]
[paragraph, [347.0, 2817.0, 1797.0, 52.5], _wfU-OMFy5, 5724343]
[paragraph, [347.0, 2869.5, 1797.0, 52.5], _wfU-OMFy5, 5724343]
[paragraph, [347.0, 2922.0, 1797.0, 52.5], _wfU-OMFy5, 5724343]
[paragraph, [347.0, 2974.5, 1797.0, 52.5], _wfU-OMFy5, 5724343]
[paragraph, [347.0, 3027.0, 1797.0, 52.5], _wfU-OMFy5, 5724343]
[paragraph, [347.0, 3079.5, 1797.0, 52.5], _wfU-OMFy5, 5724343]
