[1987, 1270]
[paragraph, [128.0, 191.0, 1023.0, 36.0], shoonya_3sMGHT99ZTQ6O7, 5682655]
[paragraph, [128.0, 227.0, 1023.0, 36.0], shoonya_3sMGHT99ZTQ6O7, 5682655]
[paragraph, [128.0, 263.0, 1023.0, 36.0], shoonya_3sMGHT99ZTQ6O7, 5682655]
[paragraph, [128.0, 299.0, 1023.0, 36.0], shoonya_3sMGHT99ZTQ6O7, 5682655]
[paragraph, [127.0, 363.0, 1024.0, 36.0], shoonya_4s2DAXWN0G5Z81, 5682655]
[paragraph, [127.0, 399.0, 1024.0, 36.0], shoonya_4s2DAXWN0G5Z81, 5682655]
[paragraph, [127.0, 435.0, 1024.0, 36.0], shoonya_4s2DAXWN0G5Z81, 5682655]
[paragraph, [127.0, 471.0, 1024.0, 36.0], shoonya_4s2DAXWN0G5Z81, 5682655]
[paragraph, [127.0, 507.0, 1024.0, 36.0], shoonya_4s2DAXWN0G5Z81, 5682655]
[paragraph, [127.0, 543.0, 1024.0, 36.0], shoonya_4s2DAXWN0G5Z81, 5682655]
[paragraph, [127.0, 579.0, 1024.0, 36.0], shoonya_4s2DAXWN0G5Z81, 5682655]
[paragraph, [128.0, 630.0, 1027.0, 36.0], -yphbhDg5w, 5682655]
[paragraph, [128.0, 666.0, 1027.0, 36.0], -yphbhDg5w, 5682655]
[paragraph, [128.0, 702.0, 1027.0, 36.0], -yphbhDg5w, 5682655]
[paragraph, [128.0, 738.0, 1027.0, 36.0], -yphbhDg5w, 5682655]
[paragraph, [128.0, 774.0, 1027.0, 36.0], -yphbhDg5w, 5682655]
[paragraph, [128.0, 810.0, 1027.0, 36.0], -yphbhDg5w, 5682655]
[paragraph, [128.0, 846.0, 1027.0, 36.0], -yphbhDg5w, 5682655]
[paragraph, [128.0, 882.0, 1027.0, 36.0], -yphbhDg5w, 5682655]
[paragraph, [128.0, 918.0, 1027.0, 36.0], -yphbhDg5w, 5682655]
[paragraph, [128.0, 954.0, 1027.0, 36.0], -yphbhDg5w, 5682655]
[paragraph, [128.0, 990.0, 1027.0, 36.0], -yphbhDg5w, 5682655]
[paragraph, [128.0, 1026.0, 1027.0, 36.0], -yphbhDg5w, 5682655]
[paragraph, [128.0, 1062.0, 1027.0, 36.0], -yphbhDg5w, 5682655]
[paragraph, [128.0, 1098.0, 1027.0, 36.0], -yphbhDg5w, 5682655]
[paragraph, [125.0, 1145.0, 1027.0, 36.0], U4jokqLHy6, 5682655]
[paragraph, [125.0, 1181.0, 1027.0, 36.0], U4jokqLHy6, 5682655]
[paragraph, [125.0, 1217.0, 1027.0, 36.0], U4jokqLHy6, 5682655]
[paragraph, [125.0, 1253.0, 1027.0, 36.0], U4jokqLHy6, 5682655]
[paragraph, [125.0, 1289.0, 1027.0, 36.0], U4jokqLHy6, 5682655]
[paragraph, [125.0, 1325.0, 1027.0, 36.0], U4jokqLHy6, 5682655]
[paragraph, [125.0, 1361.0, 1027.0, 36.0], U4jokqLHy6, 5682655]
[paragraph, [125.0, 1397.0, 1027.0, 36.0], U4jokqLHy6, 5682655]
[paragraph, [122.0, 1456.0, 1027.0, 36.0], UJmbI7SPU3, 5682655]
[paragraph, [122.0, 1492.0, 1027.0, 36.0], UJmbI7SPU3, 5682655]
[paragraph, [122.0, 1528.0, 1027.0, 36.0], UJmbI7SPU3, 5682655]
[paragraph, [122.0, 1564.0, 1027.0, 36.0], UJmbI7SPU3, 5682655]
[paragraph, [122.0, 1600.0, 1027.0, 36.0], UJmbI7SPU3, 5682655]
[paragraph, [122.0, 1636.0, 1027.0, 36.0], UJmbI7SPU3, 5682655]
[paragraph, [122.0, 1672.0, 1027.0, 36.0], UJmbI7SPU3, 5682655]
[paragraph, [122.0, 1708.0, 1027.0, 36.0], UJmbI7SPU3, 5682655]
[paragraph, [122.0, 1744.0, 1027.0, 36.0], UJmbI7SPU3, 5682655]
[paragraph, [122.0, 1780.0, 1027.0, 36.0], UJmbI7SPU3, 5682655]
[paragraph, [122.0, 1816.0, 1027.0, 36.0], UJmbI7SPU3, 5682655]
