[1298, 853]
[section-title, [340.0, 68.0, 156.0, 30.0], shoonya_4s73KIXWUTRYMO, 5710003]
[paragraph, [68.0, 113.0, 711.0, 18.0], shoonya_2s0XEUKTAHQE69, 5710003]
[paragraph, [68.0, 131.0, 711.0, 18.0], shoonya_2s0XEUKTAHQE69, 5710003]
[paragraph, [68.0, 149.0, 711.0, 18.0], shoonya_2s0XEUKTAHQE69, 5710003]
[paragraph, [68.0, 167.0, 711.0, 18.0], shoonya_2s0XEUKTAHQE69, 5710003]
[paragraph, [68.0, 185.0, 711.0, 18.0], shoonya_2s0XEUKTAHQE69, 5710003]
[paragraph, [68.0, 203.0, 711.0, 18.0], shoonya_2s0XEUKTAHQE69, 5710003]
[paragraph, [68.0, 221.0, 711.0, 18.0], shoonya_2s0XEUKTAHQE69, 5710003]
[paragraph, [69.0, 240.0, 708.0, 18.0], shoonya_0sTMJMBJ3K9Z28, 5710003]
[paragraph, [69.0, 258.0, 708.0, 18.0], shoonya_0sTMJMBJ3K9Z28, 5710003]
[paragraph, [69.0, 276.0, 708.0, 18.0], shoonya_0sTMJMBJ3K9Z28, 5710003]
[paragraph, [69.0, 294.0, 708.0, 18.0], shoonya_0sTMJMBJ3K9Z28, 5710003]
[paragraph, [69.0, 312.0, 708.0, 18.0], shoonya_0sTMJMBJ3K9Z28, 5710003]
[paragraph, [69.0, 330.0, 708.0, 18.0], shoonya_0sTMJMBJ3K9Z28, 5710003]
[paragraph, [69.0, 348.0, 708.0, 18.0], shoonya_0sTMJMBJ3K9Z28, 5710003]
[paragraph, [69.0, 366.0, 708.0, 18.0], shoonya_0sTMJMBJ3K9Z28, 5710003]
[paragraph, [69.0, 384.0, 708.0, 18.0], shoonya_0sTMJMBJ3K9Z28, 5710003]
[paragraph, [69.0, 402.0, 708.0, 18.0], shoonya_0sTMJMBJ3K9Z28, 5710003]
[paragraph, [69.0, 420.0, 708.0, 18.0], shoonya_0sTMJMBJ3K9Z28, 5710003]
[paragraph, [69.0, 438.0, 708.0, 18.0], shoonya_0sTMJMBJ3K9Z28, 5710003]
