[1326, 829]
[folio, [320.0, 88.0, 143.0, 18.0], lJxGs1ZUGS, 5770007]
[folio, [320.0, 106.0, 143.0, 18.0], lJxGs1ZUGS, 5770007]
[paragraph, [410.0, 149.0, 336.0, 18.0], jM-WGjwGA3, 5770007]
[paragraph, [410.0, 167.0, 336.0, 18.0], jM-WGjwGA3, 5770007]
[paragraph, [410.0, 185.0, 336.0, 18.0], jM-WGjwGA3, 5770007]
[paragraph, [410.0, 203.0, 336.0, 18.0], jM-WGjwGA3, 5770007]
[paragraph, [410.0, 221.0, 336.0, 18.0], jM-WGjwGA3, 5770007]
[paragraph, [410.0, 239.0, 336.0, 18.0], jM-WGjwGA3, 5770007]
[paragraph, [410.0, 257.0, 336.0, 18.0], jM-WGjwGA3, 5770007]
[paragraph, [410.0, 275.0, 336.0, 18.0], jM-WGjwGA3, 5770007]
[paragraph, [410.0, 293.0, 336.0, 18.0], jM-WGjwGA3, 5770007]
[paragraph, [71.0, 157.0, 332.0, 18.0], XNsT09ZbgW, 5770007]
[paragraph, [71.0, 175.0, 332.0, 18.0], XNsT09ZbgW, 5770007]
[paragraph, [71.0, 193.0, 332.0, 18.0], XNsT09ZbgW, 5770007]
[paragraph, [71.0, 211.0, 332.0, 18.0], XNsT09ZbgW, 5770007]
[paragraph, [71.0, 229.0, 332.0, 18.0], XNsT09ZbgW, 5770007]
[paragraph, [71.0, 247.0, 332.0, 18.0], XNsT09ZbgW, 5770007]
[paragraph, [73.0, 264.0, 334.0, 18.0], fSmbPTVzbB, 5770007]
[paragraph, [73.0, 282.0, 334.0, 18.0], fSmbPTVzbB, 5770007]
[paragraph, [73.0, 300.0, 334.0, 18.0], fSmbPTVzbB, 5770007]
[paragraph, [73.0, 318.0, 334.0, 18.0], fSmbPTVzbB, 5770007]
[paragraph, [73.0, 336.0, 334.0, 18.0], fSmbPTVzbB, 5770007]
[paragraph, [73.0, 354.0, 334.0, 18.0], fSmbPTVzbB, 5770007]
[paragraph, [73.0, 372.0, 334.0, 18.0], fSmbPTVzbB, 5770007]
[paragraph, [73.0, 390.0, 334.0, 18.0], fSmbPTVzbB, 5770007]
[paragraph, [73.0, 408.0, 334.0, 18.0], fSmbPTVzbB, 5770007]
[paragraph, [73.0, 426.0, 334.0, 18.0], fSmbPTVzbB, 5770007]
[paragraph, [73.0, 444.0, 334.0, 18.0], fSmbPTVzbB, 5770007]
[paragraph, [73.0, 462.0, 334.0, 18.0], fSmbPTVzbB, 5770007]
[paragraph, [412.0, 307.0, 335.0, 18.0], f0Of20z1i-, 5770007]
[paragraph, [412.0, 325.0, 335.0, 18.0], f0Of20z1i-, 5770007]
[paragraph, [412.0, 343.0, 335.0, 18.0], f0Of20z1i-, 5770007]
[paragraph, [412.0, 361.0, 335.0, 18.0], f0Of20z1i-, 5770007]
[paragraph, [412.0, 379.0, 335.0, 18.0], f0Of20z1i-, 5770007]
[paragraph, [412.0, 397.0, 335.0, 18.0], f0Of20z1i-, 5770007]
[paragraph, [412.0, 415.0, 335.0, 18.0], f0Of20z1i-, 5770007]
[paragraph, [412.0, 433.0, 335.0, 18.0], f0Of20z1i-, 5770007]
[paragraph, [412.0, 451.0, 335.0, 18.0], f0Of20z1i-, 5770007]
[paragraph, [412.0, 469.0, 335.0, 18.0], f0Of20z1i-, 5770007]
[paragraph, [412.0, 487.0, 335.0, 18.0], f0Of20z1i-, 5770007]
[paragraph, [412.0, 505.0, 335.0, 18.0], f0Of20z1i-, 5770007]
[paragraph, [412.0, 523.0, 335.0, 18.0], f0Of20z1i-, 5770007]
[paragraph, [412.0, 541.0, 335.0, 18.0], f0Of20z1i-, 5770007]
[paragraph, [412.0, 559.0, 335.0, 18.0], f0Of20z1i-, 5770007]
[paragraph, [412.0, 577.0, 335.0, 18.0], f0Of20z1i-, 5770007]
[paragraph, [76.0, 474.0, 334.0, 18.0], Fr7BVXOWMy, 5770007]
[paragraph, [76.0, 492.0, 334.0, 18.0], Fr7BVXOWMy, 5770007]
[paragraph, [76.0, 510.0, 334.0, 18.0], Fr7BVXOWMy, 5770007]
[paragraph, [76.0, 528.0, 334.0, 18.0], Fr7BVXOWMy, 5770007]
[paragraph, [76.0, 546.0, 334.0, 18.0], Fr7BVXOWMy, 5770007]
[paragraph, [76.0, 564.0, 334.0, 18.0], Fr7BVXOWMy, 5770007]
[paragraph, [76.0, 582.0, 334.0, 18.0], Fr7BVXOWMy, 5770007]
[paragraph, [76.0, 600.0, 334.0, 18.0], Fr7BVXOWMy, 5770007]
[paragraph, [76.0, 618.0, 334.0, 18.0], Fr7BVXOWMy, 5770007]
[paragraph, [76.0, 636.0, 334.0, 18.0], Fr7BVXOWMy, 5770007]
[paragraph, [76.0, 654.0, 334.0, 18.0], Fr7BVXOWMy, 5770007]
[paragraph, [76.0, 672.0, 334.0, 18.0], Fr7BVXOWMy, 5770007]
[paragraph, [76.0, 690.0, 334.0, 18.0], Fr7BVXOWMy, 5770007]
[paragraph, [76.0, 708.0, 334.0, 18.0], Fr7BVXOWMy, 5770007]
[paragraph, [418.0, 590.0, 335.0, 18.0], xO4_90iHt_, 5770007]
[paragraph, [418.0, 608.0, 335.0, 18.0], xO4_90iHt_, 5770007]
[paragraph, [418.0, 626.0, 335.0, 18.0], xO4_90iHt_, 5770007]
[paragraph, [418.0, 644.0, 335.0, 18.0], xO4_90iHt_, 5770007]
[paragraph, [418.0, 662.0, 335.0, 18.0], xO4_90iHt_, 5770007]
[paragraph, [418.0, 680.0, 335.0, 18.0], xO4_90iHt_, 5770007]
[paragraph, [418.0, 698.0, 335.0, 18.0], xO4_90iHt_, 5770007]
[paragraph, [418.0, 716.0, 335.0, 18.0], xO4_90iHt_, 5770007]
[paragraph, [418.0, 734.0, 335.0, 18.0], xO4_90iHt_, 5770007]
[paragraph, [418.0, 752.0, 335.0, 18.0], xO4_90iHt_, 5770007]
[paragraph, [418.0, 770.0, 335.0, 18.0], xO4_90iHt_, 5770007]
[paragraph, [418.0, 788.0, 335.0, 18.0], xO4_90iHt_, 5770007]
[paragraph, [418.0, 806.0, 335.0, 18.0], xO4_90iHt_, 5770007]
[paragraph, [418.0, 824.0, 335.0, 18.0], xO4_90iHt_, 5770007]
[paragraph, [418.0, 842.0, 335.0, 18.0], xO4_90iHt_, 5770007]
[paragraph, [418.0, 860.0, 335.0, 18.0], xO4_90iHt_, 5770007]
[paragraph, [418.0, 878.0, 335.0, 18.0], xO4_90iHt_, 5770007]
[paragraph, [418.0, 896.0, 335.0, 18.0], xO4_90iHt_, 5770007]
[paragraph, [418.0, 914.0, 335.0, 18.0], xO4_90iHt_, 5770007]
[paragraph, [418.0, 932.0, 335.0, 18.0], xO4_90iHt_, 5770007]
[paragraph, [418.0, 950.0, 335.0, 18.0], xO4_90iHt_, 5770007]
[paragraph, [418.0, 968.0, 335.0, 18.0], xO4_90iHt_, 5770007]
[paragraph, [418.0, 986.0, 335.0, 18.0], xO4_90iHt_, 5770007]
[paragraph, [418.0, 1004.0, 335.0, 18.0], xO4_90iHt_, 5770007]
[paragraph, [82.0, 738.0, 329.0, 18.0], shoonya_0sMHMMZ26RN0WD, 5770007]
[paragraph, [82.0, 756.0, 329.0, 18.0], shoonya_0sMHMMZ26RN0WD, 5770007]
[paragraph, [82.0, 774.0, 329.0, 18.0], shoonya_0sMHMMZ26RN0WD, 5770007]
[paragraph, [82.0, 792.0, 329.0, 18.0], shoonya_0sMHMMZ26RN0WD, 5770007]
[paragraph, [82.0, 810.0, 329.0, 18.0], shoonya_0sMHMMZ26RN0WD, 5770007]
[paragraph, [82.0, 828.0, 329.0, 18.0], shoonya_0sMHMMZ26RN0WD, 5770007]
[paragraph, [82.0, 846.0, 329.0, 18.0], shoonya_0sMHMMZ26RN0WD, 5770007]
[paragraph, [79.0, 875.0, 334.0, 18.0], oASR2hFDwX, 5770007]
[paragraph, [79.0, 893.0, 334.0, 18.0], oASR2hFDwX, 5770007]
[paragraph, [79.0, 911.0, 334.0, 18.0], oASR2hFDwX, 5770007]
[paragraph, [79.0, 929.0, 334.0, 18.0], oASR2hFDwX, 5770007]
[paragraph, [79.0, 947.0, 334.0, 18.0], oASR2hFDwX, 5770007]
[paragraph, [79.0, 965.0, 334.0, 18.0], oASR2hFDwX, 5770007]
[paragraph, [79.0, 983.0, 334.0, 18.0], oASR2hFDwX, 5770007]
[paragraph, [79.0, 1001.0, 334.0, 18.0], oASR2hFDwX, 5770007]
[paragraph, [79.0, 1019.0, 334.0, 18.0], oASR2hFDwX, 5770007]
[paragraph, [79.0, 1037.0, 334.0, 18.0], oASR2hFDwX, 5770007]
[paragraph, [79.0, 1055.0, 334.0, 18.0], oASR2hFDwX, 5770007]
[paragraph, [79.0, 1073.0, 334.0, 18.0], oASR2hFDwX, 5770007]
[paragraph, [79.0, 1091.0, 334.0, 18.0], oASR2hFDwX, 5770007]
[paragraph, [423.0, 1030.0, 333.0, 18.0], H6xvbMjZA-, 5770007]
[paragraph, [423.0, 1048.0, 333.0, 18.0], H6xvbMjZA-, 5770007]
[paragraph, [423.0, 1066.0, 333.0, 18.0], H6xvbMjZA-, 5770007]
[paragraph, [423.0, 1084.0, 333.0, 18.0], H6xvbMjZA-, 5770007]
[paragraph, [423.0, 1102.0, 333.0, 18.0], H6xvbMjZA-, 5770007]
[paragraph, [423.0, 1120.0, 333.0, 18.0], H6xvbMjZA-, 5770007]
[paragraph, [423.0, 1138.0, 333.0, 18.0], H6xvbMjZA-, 5770007]
[paragraph, [85.0, 1106.0, 330.0, 18.0], a6cILNfN7A, 5770007]
[paragraph, [85.0, 1124.0, 330.0, 18.0], a6cILNfN7A, 5770007]
[paragraph, [85.0, 1142.0, 330.0, 18.0], a6cILNfN7A, 5770007]
[footnote, [132.0, 1170.0, 518.0, 18.0], Z6vSrRD6Vg, 5770007]
[footnote, [132.0, 1188.0, 518.0, 18.0], Z6vSrRD6Vg, 5770007]
[footnote, [132.0, 1206.0, 518.0, 18.0], Z6vSrRD6Vg, 5770007]
[footnote, [132.0, 1224.0, 518.0, 18.0], Z6vSrRD6Vg, 5770007]
[footnote, [132.0, 1242.0, 518.0, 18.0], Z6vSrRD6Vg, 5770007]
