[789, 571]
[folio, [168.0, 47.0, 211.0, 18.0], shoonya_4s34GRKP8TEEGN, 5702149]
[paragraph, [44.0, 86.0, 459.0, 18.0], shoonya_0s3R5FD7N32B3P, 5702149]
[paragraph, [44.0, 104.0, 459.0, 18.0], shoonya_0s3R5FD7N32B3P, 5702149]
[paragraph, [44.0, 122.0, 459.0, 18.0], shoonya_0s3R5FD7N32B3P, 5702149]
[paragraph, [44.0, 140.0, 459.0, 18.0], shoonya_0s3R5FD7N32B3P, 5702149]
[paragraph, [44.0, 158.0, 459.0, 18.0], shoonya_0s3R5FD7N32B3P, 5702149]
[paragraph, [46.0, 182.0, 452.0, 18.0], shoonya_1sGXRNTFM8MCQ9, 5702149]
[paragraph, [46.0, 200.0, 452.0, 18.0], shoonya_1sGXRNTFM8MCQ9, 5702149]
[paragraph, [75.0, 229.0, 428.0, 18.0], E0Wm95S_IN, 5702149]
[paragraph, [42.0, 251.0, 461.0, 18.0], 2mKNbhpACa, 5702149]
[paragraph, [42.0, 269.0, 461.0, 18.0], 2mKNbhpACa, 5702149]
[paragraph, [42.0, 287.0, 461.0, 18.0], 2mKNbhpACa, 5702149]
[paragraph, [42.0, 305.0, 461.0, 18.0], 2mKNbhpACa, 5702149]
[paragraph, [42.0, 323.0, 461.0, 18.0], 2mKNbhpACa, 5702149]
[paragraph, [42.0, 341.0, 461.0, 18.0], 2mKNbhpACa, 5702149]
[paragraph, [45.0, 360.0, 454.0, 18.0], X6Bbl1s2lN, 5702149]
[paragraph, [45.0, 378.0, 454.0, 18.0], X6Bbl1s2lN, 5702149]
[paragraph, [73.0, 408.0, 437.0, 18.0], q2YDZ0jv32, 5702149]
[paragraph, [87.0, 428.0, 423.0, 18.0], bU7881fHBi, 5702149]
[paragraph, [45.0, 451.0, 463.0, 18.0], nrBmI2TLVu, 5702149]
[paragraph, [45.0, 469.0, 463.0, 18.0], nrBmI2TLVu, 5702149]
[paragraph, [45.0, 487.0, 463.0, 18.0], nrBmI2TLVu, 5702149]
[paragraph, [45.0, 505.0, 463.0, 18.0], nrBmI2TLVu, 5702149]
[paragraph, [45.0, 523.0, 463.0, 18.0], nrBmI2TLVu, 5702149]
[paragraph, [45.0, 541.0, 463.0, 18.0], nrBmI2TLVu, 5702149]
[paragraph, [45.0, 559.0, 463.0, 18.0], nrBmI2TLVu, 5702149]
[paragraph, [45.0, 577.0, 463.0, 18.0], nrBmI2TLVu, 5702149]
[paragraph, [45.0, 595.0, 463.0, 18.0], nrBmI2TLVu, 5702149]
[paragraph, [45.0, 613.0, 463.0, 18.0], nrBmI2TLVu, 5702149]
[paragraph, [45.0, 631.0, 463.0, 18.0], nrBmI2TLVu, 5702149]
[paragraph, [45.0, 649.0, 463.0, 18.0], nrBmI2TLVu, 5702149]
[paragraph, [45.0, 667.0, 463.0, 18.0], nrBmI2TLVu, 5702149]
[paragraph, [45.0, 685.0, 463.0, 18.0], nrBmI2TLVu, 5702149]
[paragraph, [45.0, 703.0, 463.0, 18.0], nrBmI2TLVu, 5702149]
