[3300, 2550]
[paragraph, [267.0, 283.0, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 335.5, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 388.0, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 440.5, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 493.0, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 545.5, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 598.0, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 650.5, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 703.0, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 755.5, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 808.0, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 860.5, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 913.0, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 965.5, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 1018.0, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 1070.5, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 1123.0, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 1175.5, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 1228.0, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 1280.5, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 1333.0, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 1385.5, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 1438.0, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 1490.5, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 1543.0, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 1595.5, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 1648.0, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 1700.5, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 1753.0, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 1805.5, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 1858.0, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 1910.5, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 1963.0, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [267.0, 2015.5, 2011.0, 52.5], cXoVM6NIS3, 5720502]
[paragraph, [286.0, 2110.0, 1992.0, 52.5], V_ZB5Uqpb5, 5720502]
[paragraph, [286.0, 2162.5, 1992.0, 52.5], V_ZB5Uqpb5, 5720502]
[paragraph, [286.0, 2215.0, 1992.0, 52.5], V_ZB5Uqpb5, 5720502]
[paragraph, [286.0, 2267.5, 1992.0, 52.5], V_ZB5Uqpb5, 5720502]
[paragraph, [286.0, 2320.0, 1992.0, 52.5], V_ZB5Uqpb5, 5720502]
[paragraph, [286.0, 2372.5, 1992.0, 52.5], V_ZB5Uqpb5, 5720502]
[paragraph, [286.0, 2425.0, 1992.0, 52.5], V_ZB5Uqpb5, 5720502]
[paragraph, [286.0, 2477.5, 1992.0, 52.5], V_ZB5Uqpb5, 5720502]
[paragraph, [286.0, 2530.0, 1992.0, 52.5], V_ZB5Uqpb5, 5720502]
[paragraph, [286.0, 2582.5, 1992.0, 52.5], V_ZB5Uqpb5, 5720502]
[paragraph, [286.0, 2635.0, 1992.0, 52.5], V_ZB5Uqpb5, 5720502]
[paragraph, [286.0, 2687.5, 1992.0, 52.5], V_ZB5Uqpb5, 5720502]
[paragraph, [286.0, 2740.0, 1992.0, 52.5], V_ZB5Uqpb5, 5720502]
[paragraph, [286.0, 2792.5, 1992.0, 52.5], V_ZB5Uqpb5, 5720502]
