[1755, 1241]
[section-title, [246.0, 233.0, 741.0, 49.5], shoonya_0s10IJ2YMMX9VK, 5704963]
[sub-section-title, [454.0, 364.0, 328.0, 36.0], PKCRF-ECfk, 5704963]
[ordered-list, [173.0, 453.0, 815.0, 36.0], wpg-8dsoje, 5704963]
[ordered-list, [173.0, 489.0, 815.0, 36.0], wpg-8dsoje, 5704963]
[ordered-list, [173.0, 525.0, 815.0, 36.0], wpg-8dsoje, 5704963]
[ordered-list, [173.0, 561.0, 815.0, 36.0], wpg-8dsoje, 5704963]
[ordered-list, [173.0, 597.0, 815.0, 36.0], wpg-8dsoje, 5704963]
[ordered-list, [173.0, 633.0, 815.0, 36.0], wpg-8dsoje, 5704963]
[ordered-list, [173.0, 669.0, 815.0, 36.0], wpg-8dsoje, 5704963]
[ordered-list, [173.0, 705.0, 815.0, 36.0], wpg-8dsoje, 5704963]
[ordered-list, [173.0, 741.0, 815.0, 36.0], wpg-8dsoje, 5704963]
[ordered-list, [173.0, 777.0, 815.0, 36.0], wpg-8dsoje, 5704963]
[ordered-list, [162.0, 828.0, 689.0, 36.0], l4ZxmzYykl, 5704963]
[ordered-list, [162.0, 864.0, 689.0, 36.0], l4ZxmzYykl, 5704963]
[ordered-list, [162.0, 900.0, 689.0, 36.0], l4ZxmzYykl, 5704963]
[ordered-list, [162.0, 936.0, 689.0, 36.0], l4ZxmzYykl, 5704963]
[ordered-list, [162.0, 972.0, 689.0, 36.0], l4ZxmzYykl, 5704963]
[ordered-list, [162.0, 1008.0, 689.0, 36.0], l4ZxmzYykl, 5704963]
[ordered-list, [162.0, 1044.0, 689.0, 36.0], l4ZxmzYykl, 5704963]
[ordered-list, [162.0, 1080.0, 689.0, 36.0], l4ZxmzYykl, 5704963]
[ordered-list, [162.0, 1116.0, 689.0, 36.0], l4ZxmzYykl, 5704963]
[ordered-list, [162.0, 1152.0, 689.0, 36.0], l4ZxmzYykl, 5704963]
[ordered-list, [162.0, 1188.0, 689.0, 36.0], l4ZxmzYykl, 5704963]
[ordered-list, [162.0, 1224.0, 689.0, 36.0], l4ZxmzYykl, 5704963]
[ordered-list, [162.0, 1260.0, 689.0, 36.0], l4ZxmzYykl, 5704963]
[ordered-list, [162.0, 1296.0, 689.0, 36.0], l4ZxmzYykl, 5704963]
[ordered-list, [162.0, 1332.0, 689.0, 36.0], l4ZxmzYykl, 5704963]
[ordered-list, [162.0, 1368.0, 689.0, 36.0], l4ZxmzYykl, 5704963]
[ordered-list, [162.0, 1404.0, 689.0, 36.0], l4ZxmzYykl, 5704963]
[ordered-list, [162.0, 1440.0, 689.0, 36.0], l4ZxmzYykl, 5704963]
[website-link, [144.0, 1549.0, 297.0, 18.0], shoonya_2sLW480N0T7JDO, 5704963]
[website-link, [144.0, 1567.0, 297.0, 18.0], shoonya_2sLW480N0T7JDO, 5704963]
