[1723, 1092]
[paragraph, [109.0, 105.0, 882.0, 36.0], shoonya_1s9QATDX26AE3F, 5681578]
[paragraph, [109.0, 141.0, 882.0, 36.0], shoonya_1s9QATDX26AE3F, 5681578]
[paragraph, [109.0, 177.0, 882.0, 36.0], shoonya_1s9QATDX26AE3F, 5681578]
[paragraph, [109.0, 213.0, 882.0, 36.0], shoonya_1s9QATDX26AE3F, 5681578]
[paragraph, [109.0, 249.0, 882.0, 36.0], shoonya_1s9QATDX26AE3F, 5681578]
[paragraph, [109.0, 285.0, 882.0, 36.0], shoonya_1s9QATDX26AE3F, 5681578]
[paragraph, [109.0, 321.0, 882.0, 36.0], shoonya_1s9QATDX26AE3F, 5681578]
[paragraph, [109.0, 357.0, 882.0, 36.0], shoonya_1s9QATDX26AE3F, 5681578]
[paragraph, [109.0, 393.0, 882.0, 36.0], shoonya_1s9QATDX26AE3F, 5681578]
[paragraph, [109.0, 458.0, 884.0, 36.0], BavbeZmXm6, 5681578]
[paragraph, [109.0, 494.0, 884.0, 36.0], BavbeZmXm6, 5681578]
[paragraph, [107.0, 549.0, 886.0, 36.0], 3eUQ_pQfNd, 5681578]
[paragraph, [107.0, 585.0, 886.0, 36.0], 3eUQ_pQfNd, 5681578]
[paragraph, [107.0, 636.0, 886.0, 36.0], gNCeclfcoU, 5681578]
[paragraph, [107.0, 672.0, 886.0, 36.0], gNCeclfcoU, 5681578]
[paragraph, [107.0, 708.0, 886.0, 36.0], gNCeclfcoU, 5681578]
[paragraph, [107.0, 744.0, 886.0, 36.0], gNCeclfcoU, 5681578]
[paragraph, [107.0, 780.0, 886.0, 36.0], gNCeclfcoU, 5681578]
[paragraph, [107.0, 816.0, 886.0, 36.0], gNCeclfcoU, 5681578]
[paragraph, [107.0, 852.0, 886.0, 36.0], gNCeclfcoU, 5681578]
[paragraph, [107.0, 888.0, 886.0, 36.0], gNCeclfcoU, 5681578]
[paragraph, [107.0, 924.0, 886.0, 36.0], gNCeclfcoU, 5681578]
[paragraph, [107.0, 960.0, 886.0, 36.0], gNCeclfcoU, 5681578]
[paragraph, [107.0, 1035.0, 881.0, 36.0], shoonya_0sL20SOO0LI8U4, 5681578]
[paragraph, [107.0, 1071.0, 881.0, 36.0], shoonya_0sL20SOO0LI8U4, 5681578]
[paragraph, [107.0, 1107.0, 881.0, 36.0], shoonya_0sL20SOO0LI8U4, 5681578]
[paragraph, [107.0, 1143.0, 881.0, 36.0], shoonya_0sL20SOO0LI8U4, 5681578]
[paragraph, [107.0, 1179.0, 881.0, 36.0], shoonya_0sL20SOO0LI8U4, 5681578]
[paragraph, [107.0, 1215.0, 881.0, 36.0], shoonya_0sL20SOO0LI8U4, 5681578]
[paragraph, [107.0, 1251.0, 881.0, 36.0], shoonya_0sL20SOO0LI8U4, 5681578]
[paragraph, [107.0, 1287.0, 881.0, 36.0], shoonya_0sL20SOO0LI8U4, 5681578]
[paragraph, [107.0, 1323.0, 881.0, 36.0], shoonya_0sL20SOO0LI8U4, 5681578]
[paragraph, [107.0, 1359.0, 881.0, 36.0], shoonya_0sL20SOO0LI8U4, 5681578]
[paragraph, [107.0, 1395.0, 881.0, 36.0], shoonya_0sL20SOO0LI8U4, 5681578]
[paragraph, [107.0, 1431.0, 881.0, 36.0], shoonya_0sL20SOO0LI8U4, 5681578]
[paragraph, [107.0, 1467.0, 881.0, 36.0], shoonya_0sL20SOO0LI8U4, 5681578]
[paragraph, [107.0, 1503.0, 881.0, 36.0], shoonya_0sL20SOO0LI8U4, 5681578]
[folio, [465.0, 1586.0, 136.0, 36.0], qGrq20kta4, 5681578]
