[1447, 1063]
[folio, [418.0, 57.0, 198.0, 18.0], OWI1pmzeXQ, 5762297]
[section-title, [86.0, 100.0, 878.0, 30.0], wMVn5Z8bSr, 5762297]
[section-title, [86.0, 130.0, 878.0, 30.0], wMVn5Z8bSr, 5762297]
[section-title, [86.0, 160.0, 878.0, 30.0], wMVn5Z8bSr, 5762297]
[paragraph, [534.0, 215.0, 433.0, 18.0], zVbGFkwUKh, 5762297]
[paragraph, [534.0, 233.0, 433.0, 18.0], zVbGFkwUKh, 5762297]
[paragraph, [534.0, 251.0, 433.0, 18.0], zVbGFkwUKh, 5762297]
[paragraph, [534.0, 269.0, 433.0, 18.0], zVbGFkwUKh, 5762297]
[paragraph, [534.0, 287.0, 433.0, 18.0], zVbGFkwUKh, 5762297]
[paragraph, [539.0, 307.0, 433.0, 18.0], HUeNmVJjPV, 5762297]
[paragraph, [539.0, 325.0, 433.0, 18.0], HUeNmVJjPV, 5762297]
[paragraph, [539.0, 343.0, 433.0, 18.0], HUeNmVJjPV, 5762297]
[paragraph, [539.0, 361.0, 433.0, 18.0], HUeNmVJjPV, 5762297]
[paragraph, [539.0, 379.0, 433.0, 18.0], HUeNmVJjPV, 5762297]
[paragraph, [539.0, 397.0, 433.0, 18.0], HUeNmVJjPV, 5762297]
[paragraph, [539.0, 415.0, 433.0, 18.0], HUeNmVJjPV, 5762297]
[paragraph, [539.0, 433.0, 433.0, 18.0], HUeNmVJjPV, 5762297]
[paragraph, [539.0, 451.0, 433.0, 18.0], HUeNmVJjPV, 5762297]
[paragraph, [539.0, 469.0, 433.0, 18.0], HUeNmVJjPV, 5762297]
[paragraph, [539.0, 487.0, 433.0, 18.0], HUeNmVJjPV, 5762297]
[paragraph, [539.0, 505.0, 433.0, 18.0], HUeNmVJjPV, 5762297]
[paragraph, [93.0, 460.0, 433.0, 18.0], g48z9U2yAV, 5762297]
[paragraph, [93.0, 478.0, 433.0, 18.0], g48z9U2yAV, 5762297]
[paragraph, [93.0, 496.0, 433.0, 18.0], g48z9U2yAV, 5762297]
[paragraph, [93.0, 514.0, 433.0, 18.0], g48z9U2yAV, 5762297]
[paragraph, [93.0, 532.0, 433.0, 18.0], g48z9U2yAV, 5762297]
[paragraph, [93.0, 550.0, 433.0, 18.0], g48z9U2yAV, 5762297]
[paragraph, [93.0, 568.0, 433.0, 18.0], g48z9U2yAV, 5762297]
[paragraph, [93.0, 586.0, 433.0, 18.0], g48z9U2yAV, 5762297]
[paragraph, [93.0, 604.0, 433.0, 18.0], g48z9U2yAV, 5762297]
[paragraph, [93.0, 622.0, 433.0, 18.0], g48z9U2yAV, 5762297]
[paragraph, [93.0, 640.0, 433.0, 18.0], g48z9U2yAV, 5762297]
[paragraph, [93.0, 658.0, 433.0, 18.0], g48z9U2yAV, 5762297]
[paragraph, [537.0, 547.0, 431.0, 18.0], vjk6bKIAFH, 5762297]
[paragraph, [537.0, 565.0, 431.0, 18.0], vjk6bKIAFH, 5762297]
[paragraph, [537.0, 583.0, 431.0, 18.0], vjk6bKIAFH, 5762297]
[paragraph, [537.0, 601.0, 431.0, 18.0], vjk6bKIAFH, 5762297]
[paragraph, [537.0, 619.0, 431.0, 18.0], vjk6bKIAFH, 5762297]
[paragraph, [537.0, 637.0, 431.0, 18.0], vjk6bKIAFH, 5762297]
[paragraph, [537.0, 655.0, 431.0, 18.0], vjk6bKIAFH, 5762297]
[paragraph, [537.0, 673.0, 431.0, 18.0], vjk6bKIAFH, 5762297]
[paragraph, [537.0, 691.0, 431.0, 18.0], vjk6bKIAFH, 5762297]
[paragraph, [537.0, 709.0, 431.0, 18.0], vjk6bKIAFH, 5762297]
[paragraph, [537.0, 727.0, 431.0, 18.0], vjk6bKIAFH, 5762297]
[paragraph, [537.0, 745.0, 431.0, 18.0], vjk6bKIAFH, 5762297]
[paragraph, [90.0, 697.0, 438.0, 18.0], P6H2rUWbDH, 5762297]
