[1754, 1241]
[folio, [891.0, 107.0, 204.0, 36.0], XWxBzoq2xC, 5747268]
[paragraph, [140.0, 157.0, 958.0, 36.0], shoonya_1s0BP10BHZKXBM, 5747268]
[paragraph, [140.0, 193.0, 958.0, 36.0], shoonya_1s0BP10BHZKXBM, 5747268]
[paragraph, [140.0, 229.0, 958.0, 36.0], shoonya_1s0BP10BHZKXBM, 5747268]
[paragraph, [140.0, 265.0, 958.0, 36.0], shoonya_1s0BP10BHZKXBM, 5747268]
[paragraph, [140.0, 301.0, 958.0, 36.0], shoonya_1s0BP10BHZKXBM, 5747268]
[paragraph, [140.0, 363.0, 959.0, 36.0], shoonya_2sANTB6LNYYGX7, 5747268]
[paragraph, [140.0, 399.0, 959.0, 36.0], shoonya_2sANTB6LNYYGX7, 5747268]
[paragraph, [140.0, 435.0, 959.0, 36.0], shoonya_2sANTB6LNYYGX7, 5747268]
[paragraph, [140.0, 471.0, 959.0, 36.0], shoonya_2sANTB6LNYYGX7, 5747268]
[paragraph, [140.0, 507.0, 959.0, 36.0], shoonya_2sANTB6LNYYGX7, 5747268]
[paragraph, [140.0, 543.0, 959.0, 36.0], shoonya_2sANTB6LNYYGX7, 5747268]
[paragraph, [140.0, 579.0, 959.0, 36.0], shoonya_2sANTB6LNYYGX7, 5747268]
[paragraph, [140.0, 615.0, 959.0, 36.0], shoonya_2sANTB6LNYYGX7, 5747268]
[unordered-list, [137.0, 748.0, 963.0, 36.0], shoonya_0sLUTH3JRNQ59N, 5747268]
[unordered-list, [137.0, 784.0, 963.0, 36.0], shoonya_0sLUTH3JRNQ59N, 5747268]
[unordered-list, [137.0, 820.0, 963.0, 36.0], shoonya_0sLUTH3JRNQ59N, 5747268]
[unordered-list, [137.0, 856.0, 963.0, 36.0], shoonya_0sLUTH3JRNQ59N, 5747268]
[unordered-list, [137.0, 892.0, 963.0, 36.0], shoonya_0sLUTH3JRNQ59N, 5747268]
[unordered-list, [137.0, 928.0, 963.0, 36.0], shoonya_0sLUTH3JRNQ59N, 5747268]
[unordered-list, [137.0, 964.0, 963.0, 36.0], shoonya_0sLUTH3JRNQ59N, 5747268]
[unordered-list, [137.0, 1000.0, 963.0, 36.0], shoonya_0sLUTH3JRNQ59N, 5747268]
[unordered-list, [137.0, 1036.0, 963.0, 36.0], shoonya_0sLUTH3JRNQ59N, 5747268]
[unordered-list, [137.0, 1072.0, 963.0, 36.0], shoonya_0sLUTH3JRNQ59N, 5747268]
[unordered-list, [137.0, 1108.0, 963.0, 36.0], shoonya_0sLUTH3JRNQ59N, 5747268]
[unordered-list, [137.0, 1144.0, 963.0, 36.0], shoonya_0sLUTH3JRNQ59N, 5747268]
[unordered-list, [137.0, 1180.0, 963.0, 36.0], shoonya_0sLUTH3JRNQ59N, 5747268]
[unordered-list, [137.0, 1216.0, 963.0, 36.0], shoonya_0sLUTH3JRNQ59N, 5747268]
[unordered-list, [137.0, 1252.0, 963.0, 36.0], shoonya_0sLUTH3JRNQ59N, 5747268]
[unordered-list, [137.0, 1288.0, 963.0, 36.0], shoonya_0sLUTH3JRNQ59N, 5747268]
[unordered-list, [137.0, 1324.0, 963.0, 36.0], shoonya_0sLUTH3JRNQ59N, 5747268]
[unordered-list, [137.0, 1360.0, 963.0, 36.0], shoonya_0sLUTH3JRNQ59N, 5747268]
[unordered-list, [137.0, 1396.0, 963.0, 36.0], shoonya_0sLUTH3JRNQ59N, 5747268]
[unordered-list, [137.0, 1432.0, 963.0, 36.0], shoonya_0sLUTH3JRNQ59N, 5747268]
[sub-ordered-list, [181.0, 1230.0, 359.0, 36.0], Zu1IgDIvpn, 5747268]
[sub-ordered-list, [181.0, 1266.0, 359.0, 36.0], Zu1IgDIvpn, 5747268]
[sub-ordered-list, [181.0, 1302.0, 359.0, 36.0], Zu1IgDIvpn, 5747268]
[sub-ordered-list, [181.0, 1338.0, 359.0, 36.0], Zu1IgDIvpn, 5747268]
[sub-ordered-list, [181.0, 1374.0, 359.0, 36.0], Zu1IgDIvpn, 5747268]
[sub-ordered-list, [181.0, 1410.0, 359.0, 36.0], Zu1IgDIvpn, 5747268]
