[1622, 1251]
[sidebar, [1118.0, 98.0, 120.0, 36.0], c7QpsNlNA7, 5719241]
[sidebar, [1118.0, 134.0, 120.0, 36.0], c7QpsNlNA7, 5719241]
[sidebar, [1118.0, 170.0, 120.0, 36.0], c7QpsNlNA7, 5719241]
[sidebar, [1118.0, 206.0, 120.0, 36.0], c7QpsNlNA7, 5719241]
[sidebar, [1118.0, 242.0, 120.0, 36.0], c7QpsNlNA7, 5719241]
[placeholder-text, [214.0, 137.0, 896.0, 18.0], shoonya_1sSW0VULLM6MUD, 5719241]
[placeholder-text, [214.0, 155.0, 896.0, 18.0], shoonya_1sSW0VULLM6MUD, 5719241]
[placeholder-text, [214.0, 173.0, 896.0, 18.0], shoonya_1sSW0VULLM6MUD, 5719241]
[placeholder-text, [214.0, 191.0, 896.0, 18.0], shoonya_1sSW0VULLM6MUD, 5719241]
[placeholder-text, [214.0, 209.0, 896.0, 18.0], shoonya_1sSW0VULLM6MUD, 5719241]
[placeholder-text, [214.0, 227.0, 896.0, 18.0], shoonya_1sSW0VULLM6MUD, 5719241]
[placeholder-text, [214.0, 245.0, 896.0, 18.0], shoonya_1sSW0VULLM6MUD, 5719241]
[placeholder-text, [214.0, 263.0, 896.0, 18.0], shoonya_1sSW0VULLM6MUD, 5719241]
[placeholder-text, [214.0, 281.0, 896.0, 18.0], shoonya_1sSW0VULLM6MUD, 5719241]
[placeholder-text, [214.0, 299.0, 896.0, 18.0], shoonya_1sSW0VULLM6MUD, 5719241]
[placeholder-text, [214.0, 317.0, 896.0, 18.0], shoonya_1sSW0VULLM6MUD, 5719241]
[placeholder-text, [206.0, 400.0, 904.0, 18.0], shoonya_3sEXBL7Q76XE5R, 5719241]
[placeholder-text, [206.0, 418.0, 904.0, 18.0], shoonya_3sEXBL7Q76XE5R, 5719241]
[placeholder-text, [206.0, 436.0, 904.0, 18.0], shoonya_3sEXBL7Q76XE5R, 5719241]
[placeholder-text, [206.0, 454.0, 904.0, 18.0], shoonya_3sEXBL7Q76XE5R, 5719241]
[placeholder-text, [206.0, 472.0, 904.0, 18.0], shoonya_3sEXBL7Q76XE5R, 5719241]
[placeholder-text, [206.0, 490.0, 904.0, 18.0], shoonya_3sEXBL7Q76XE5R, 5719241]
[placeholder-text, [206.0, 508.0, 904.0, 18.0], shoonya_3sEXBL7Q76XE5R, 5719241]
[placeholder-text, [206.0, 526.0, 904.0, 18.0], shoonya_3sEXBL7Q76XE5R, 5719241]
[placeholder-text, [206.0, 544.0, 904.0, 18.0], shoonya_3sEXBL7Q76XE5R, 5719241]
[placeholder-text, [206.0, 562.0, 904.0, 18.0], shoonya_3sEXBL7Q76XE5R, 5719241]
[placeholder-text, [206.0, 580.0, 904.0, 18.0], shoonya_3sEXBL7Q76XE5R, 5719241]
[placeholder-text, [208.0, 668.0, 906.0, 18.0], shoonya_5sCD6IGY78OV2O, 5719241]
[placeholder-text, [208.0, 686.0, 906.0, 18.0], shoonya_5sCD6IGY78OV2O, 5719241]
[placeholder-text, [208.0, 704.0, 906.0, 18.0], shoonya_5sCD6IGY78OV2O, 5719241]
[placeholder-text, [208.0, 722.0, 906.0, 18.0], shoonya_5sCD6IGY78OV2O, 5719241]
[placeholder-text, [208.0, 740.0, 906.0, 18.0], shoonya_5sCD6IGY78OV2O, 5719241]
[placeholder-text, [208.0, 758.0, 906.0, 18.0], shoonya_5sCD6IGY78OV2O, 5719241]
[placeholder-text, [208.0, 776.0, 906.0, 18.0], shoonya_5sCD6IGY78OV2O, 5719241]
[placeholder-text, [208.0, 794.0, 906.0, 18.0], shoonya_5sCD6IGY78OV2O, 5719241]
[placeholder-text, [208.0, 812.0, 906.0, 18.0], shoonya_5sCD6IGY78OV2O, 5719241]
[placeholder-text, [208.0, 830.0, 906.0, 18.0], shoonya_5sCD6IGY78OV2O, 5719241]
[placeholder-text, [208.0, 848.0, 906.0, 18.0], shoonya_5sCD6IGY78OV2O, 5719241]
[placeholder-text, [206.0, 931.0, 906.0, 18.0], shoonya_7s9NXRKJOB8WC5, 5719241]
[placeholder-text, [206.0, 949.0, 906.0, 18.0], shoonya_7s9NXRKJOB8WC5, 5719241]
[placeholder-text, [206.0, 967.0, 906.0, 18.0], shoonya_7s9NXRKJOB8WC5, 5719241]
[placeholder-text, [206.0, 985.0, 906.0, 18.0], shoonya_7s9NXRKJOB8WC5, 5719241]
[placeholder-text, [206.0, 1003.0, 906.0, 18.0], shoonya_7s9NXRKJOB8WC5, 5719241]
[placeholder-text, [206.0, 1021.0, 906.0, 18.0], shoonya_7s9NXRKJOB8WC5, 5719241]
[placeholder-text, [206.0, 1039.0, 906.0, 18.0], shoonya_7s9NXRKJOB8WC5, 5719241]
[placeholder-text, [206.0, 1057.0, 906.0, 18.0], shoonya_7s9NXRKJOB8WC5, 5719241]
[placeholder-text, [206.0, 1075.0, 906.0, 18.0], shoonya_7s9NXRKJOB8WC5, 5719241]
[placeholder-text, [206.0, 1093.0, 906.0, 18.0], shoonya_7s9NXRKJOB8WC5, 5719241]
[placeholder-text, [201.0, 1195.0, 906.0, 18.0], shoonya_9s8IU5NMQ5ERIM, 5719241]
[placeholder-text, [201.0, 1213.0, 906.0, 18.0], shoonya_9s8IU5NMQ5ERIM, 5719241]
[placeholder-text, [201.0, 1231.0, 906.0, 18.0], shoonya_9s8IU5NMQ5ERIM, 5719241]
[placeholder-text, [201.0, 1249.0, 906.0, 18.0], shoonya_9s8IU5NMQ5ERIM, 5719241]
[placeholder-text, [201.0, 1267.0, 906.0, 18.0], shoonya_9s8IU5NMQ5ERIM, 5719241]
[placeholder-text, [201.0, 1285.0, 906.0, 18.0], shoonya_9s8IU5NMQ5ERIM, 5719241]
[placeholder-text, [201.0, 1303.0, 906.0, 18.0], shoonya_9s8IU5NMQ5ERIM, 5719241]
[placeholder-text, [201.0, 1321.0, 906.0, 18.0], shoonya_9s8IU5NMQ5ERIM, 5719241]
[placeholder-text, [201.0, 1339.0, 906.0, 18.0], shoonya_9s8IU5NMQ5ERIM, 5719241]
[placeholder-text, [201.0, 1357.0, 906.0, 18.0], shoonya_9s8IU5NMQ5ERIM, 5719241]
[placeholder-text, [201.0, 1375.0, 906.0, 18.0], shoonya_9s8IU5NMQ5ERIM, 5719241]
[placeholder-text, [201.0, 1393.0, 906.0, 18.0], shoonya_9s8IU5NMQ5ERIM, 5719241]
[folio, [87.0, 1465.0, 387.0, 36.0], Bk2L66fy0q, 5719241]
