[1387, 987]
[paragraph, [93.0, 97.0, 722.0, 18.0], shoonya_3s23ES6BMUFBKX, 5652069]
[paragraph, [93.0, 115.0, 722.0, 18.0], shoonya_3s23ES6BMUFBKX, 5652069]
[paragraph, [93.0, 133.0, 722.0, 18.0], shoonya_3s23ES6BMUFBKX, 5652069]
[paragraph, [93.0, 151.0, 722.0, 18.0], shoonya_3s23ES6BMUFBKX, 5652069]
[paragraph, [93.0, 169.0, 722.0, 18.0], shoonya_3s23ES6BMUFBKX, 5652069]
[paragraph, [93.0, 187.0, 722.0, 18.0], shoonya_3s23ES6BMUFBKX, 5652069]
[paragraph, [80.0, 215.0, 828.0, 18.0], shoonya_4sHK6SAFT599RX, 5652069]
[paragraph, [80.0, 233.0, 828.0, 18.0], shoonya_4sHK6SAFT599RX, 5652069]
[paragraph, [80.0, 251.0, 828.0, 18.0], shoonya_4sHK6SAFT599RX, 5652069]
[paragraph, [80.0, 269.0, 828.0, 18.0], shoonya_4sHK6SAFT599RX, 5652069]
[paragraph, [80.0, 287.0, 828.0, 18.0], shoonya_4sHK6SAFT599RX, 5652069]
[paragraph, [80.0, 305.0, 828.0, 18.0], shoonya_4sHK6SAFT599RX, 5652069]
[paragraph, [70.0, 342.0, 848.0, 18.0], C-1cCeVp46, 5652069]
[paragraph, [70.0, 360.0, 848.0, 18.0], C-1cCeVp46, 5652069]
[paragraph, [70.0, 378.0, 848.0, 18.0], C-1cCeVp46, 5652069]
[paragraph, [70.0, 396.0, 848.0, 18.0], C-1cCeVp46, 5652069]
[paragraph, [70.0, 414.0, 848.0, 18.0], C-1cCeVp46, 5652069]
[paragraph, [70.0, 432.0, 848.0, 18.0], C-1cCeVp46, 5652069]
[paragraph, [88.0, 466.0, 825.0, 18.0], nHPXuJkbT7, 5652069]
[paragraph, [88.0, 484.0, 825.0, 18.0], nHPXuJkbT7, 5652069]
[paragraph, [88.0, 502.0, 825.0, 18.0], nHPXuJkbT7, 5652069]
[paragraph, [88.0, 520.0, 825.0, 18.0], nHPXuJkbT7, 5652069]
[paragraph, [88.0, 538.0, 825.0, 18.0], nHPXuJkbT7, 5652069]
[paragraph, [88.0, 556.0, 825.0, 18.0], nHPXuJkbT7, 5652069]
[paragraph, [76.0, 596.0, 792.0, 18.0], shoonya_2sRVHLXAQI30QX, 5652069]
[paragraph, [76.0, 614.0, 792.0, 18.0], shoonya_2sRVHLXAQI30QX, 5652069]
[paragraph, [76.0, 632.0, 792.0, 18.0], shoonya_2sRVHLXAQI30QX, 5652069]
[paragraph, [76.0, 650.0, 792.0, 18.0], shoonya_2sRVHLXAQI30QX, 5652069]
[paragraph, [76.0, 668.0, 792.0, 18.0], shoonya_2sRVHLXAQI30QX, 5652069]
[paragraph, [76.0, 686.0, 792.0, 18.0], shoonya_2sRVHLXAQI30QX, 5652069]
[paragraph, [76.0, 704.0, 792.0, 18.0], shoonya_2sRVHLXAQI30QX, 5652069]
[paragraph, [76.0, 722.0, 792.0, 18.0], shoonya_2sRVHLXAQI30QX, 5652069]
[paragraph, [76.0, 740.0, 792.0, 18.0], shoonya_2sRVHLXAQI30QX, 5652069]
[paragraph, [92.0, 772.0, 789.0, 18.0], shoonya_1s15Y5R4BI9REJ, 5652069]
[paragraph, [92.0, 790.0, 789.0, 18.0], shoonya_1s15Y5R4BI9REJ, 5652069]
[paragraph, [92.0, 808.0, 789.0, 18.0], shoonya_1s15Y5R4BI9REJ, 5652069]
[paragraph, [92.0, 826.0, 789.0, 18.0], shoonya_1s15Y5R4BI9REJ, 5652069]
[paragraph, [92.0, 844.0, 789.0, 18.0], shoonya_1s15Y5R4BI9REJ, 5652069]
[paragraph, [92.0, 862.0, 789.0, 18.0], shoonya_1s15Y5R4BI9REJ, 5652069]
[paragraph, [92.0, 880.0, 789.0, 18.0], shoonya_1s15Y5R4BI9REJ, 5652069]
[paragraph, [92.0, 898.0, 789.0, 18.0], shoonya_1s15Y5R4BI9REJ, 5652069]
[paragraph, [92.0, 916.0, 789.0, 18.0], shoonya_1s15Y5R4BI9REJ, 5652069]
[paragraph, [86.0, 959.0, 807.0, 18.0], shoonya_0sXUM6VWUA1LFN, 5652069]
[paragraph, [86.0, 977.0, 807.0, 18.0], shoonya_0sXUM6VWUA1LFN, 5652069]
[paragraph, [86.0, 995.0, 807.0, 18.0], shoonya_0sXUM6VWUA1LFN, 5652069]
[paragraph, [86.0, 1013.0, 807.0, 18.0], shoonya_0sXUM6VWUA1LFN, 5652069]
[paragraph, [86.0, 1031.0, 807.0, 18.0], shoonya_0sXUM6VWUA1LFN, 5652069]
[paragraph, [86.0, 1049.0, 807.0, 18.0], shoonya_0sXUM6VWUA1LFN, 5652069]
[paragraph, [86.0, 1067.0, 807.0, 18.0], shoonya_0sXUM6VWUA1LFN, 5652069]
[paragraph, [86.0, 1085.0, 807.0, 18.0], shoonya_0sXUM6VWUA1LFN, 5652069]
[paragraph, [86.0, 1103.0, 807.0, 18.0], shoonya_0sXUM6VWUA1LFN, 5652069]
[paragraph, [86.0, 1121.0, 807.0, 18.0], shoonya_0sXUM6VWUA1LFN, 5652069]
[paragraph, [86.0, 1139.0, 807.0, 18.0], shoonya_0sXUM6VWUA1LFN, 5652069]
[paragraph, [86.0, 1157.0, 807.0, 18.0], shoonya_0sXUM6VWUA1LFN, 5652069]
