[1008, 612]
[ordered-list, [100.0, 62.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 80.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 98.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 116.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 134.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 152.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 170.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 188.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 206.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 224.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 242.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 260.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 278.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 296.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 314.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 332.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 350.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 368.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 386.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 404.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 422.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 440.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 458.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 476.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 494.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 512.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 530.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 548.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 566.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 584.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 602.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 620.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 638.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 656.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 674.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 692.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 710.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
[ordered-list, [100.0, 728.0, 446.0, 18.0], shoonya_0s0TERON3DMMHT, 5717485]
