[1637, 1070]
[folio, [110.0, 124.0, 100.0, 36.0], INXeVzm9pr, 5654148]
[chapter-title, [490.0, 451.0, 364.0, 58.5], shoonya_6s8QVV3FEX4MF6, 5654148]
[chapter-title, [490.0, 509.5, 364.0, 58.5], shoonya_6s8QVV3FEX4MF6, 5654148]
[author, [251.0, 623.0, 594.0, 36.0], shoonya_4sPN9A5UZP5IQK, 5654148]
[paragraph, [130.0, 757.0, 850.0, 36.0], shoonya_0s7LVH25QKFLXO, 5654148]
[paragraph, [130.0, 793.0, 850.0, 36.0], shoonya_0s7LVH25QKFLXO, 5654148]
[paragraph, [130.0, 829.0, 850.0, 36.0], shoonya_0s7LVH25QKFLXO, 5654148]
[paragraph, [130.0, 865.0, 850.0, 36.0], shoonya_0s7LVH25QKFLXO, 5654148]
[paragraph, [121.0, 941.0, 866.0, 36.0], shoonya_2sL5ZBNW2804CC, 5654148]
[paragraph, [121.0, 977.0, 866.0, 36.0], shoonya_2sL5ZBNW2804CC, 5654148]
[paragraph, [121.0, 1013.0, 866.0, 36.0], shoonya_2sL5ZBNW2804CC, 5654148]
[paragraph, [121.0, 1049.0, 866.0, 36.0], shoonya_2sL5ZBNW2804CC, 5654148]
[paragraph, [121.0, 1085.0, 866.0, 36.0], shoonya_2sL5ZBNW2804CC, 5654148]
[paragraph, [121.0, 1121.0, 866.0, 36.0], shoonya_2sL5ZBNW2804CC, 5654148]
[paragraph, [115.0, 1158.0, 872.0, 36.0], uIqH0jyMMZ, 5654148]
[paragraph, [115.0, 1194.0, 872.0, 36.0], uIqH0jyMMZ, 5654148]
[paragraph, [115.0, 1230.0, 872.0, 36.0], uIqH0jyMMZ, 5654148]
[paragraph, [115.0, 1266.0, 872.0, 36.0], uIqH0jyMMZ, 5654148]
[paragraph, [127.0, 1326.0, 865.0, 36.0], shoonya_1sZKHFNBQGJF1C, 5654148]
[paragraph, [127.0, 1362.0, 865.0, 36.0], shoonya_1sZKHFNBQGJF1C, 5654148]
[paragraph, [127.0, 1398.0, 865.0, 36.0], shoonya_1sZKHFNBQGJF1C, 5654148]
[paragraph, [127.0, 1434.0, 865.0, 36.0], shoonya_1sZKHFNBQGJF1C, 5654148]
