[1754, 1241]
[paragraph, [214.0, 137.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 173.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 209.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 245.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 281.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 317.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 353.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 389.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 425.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 461.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 497.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 533.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 569.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 605.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 641.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 677.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 713.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 749.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 785.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 821.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 857.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 893.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 929.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 965.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 1001.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 1037.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 1073.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 1109.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 1145.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 1181.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 1217.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 1253.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 1289.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 1325.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[paragraph, [214.0, 1361.0, 889.0, 36.0], shoonya_0sUC8PUXV1AC54, 6471231]
[footnote, [220.0, 1423.0, 607.0, 36.0], s2ZZaEx7Bz, 6471231]
[footnote, [220.0, 1459.0, 607.0, 36.0], s2ZZaEx7Bz, 6471231]
[footnote, [220.0, 1495.0, 607.0, 36.0], s2ZZaEx7Bz, 6471231]
[footnote, [220.0, 1531.0, 607.0, 36.0], s2ZZaEx7Bz, 6471231]
[footnote, [220.0, 1567.0, 607.0, 36.0], s2ZZaEx7Bz, 6471231]
