[1650, 934]
[folio, [379.0, 95.0, 137.0, 36.0], 5q1J3-Sk5l, 5766302]
[paragraph, [35.0, 155.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 191.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 227.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 263.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 299.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 335.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 371.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 407.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 443.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 479.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 515.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 551.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 587.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 623.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 659.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 695.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 731.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 767.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 803.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 839.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 875.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 911.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 947.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 983.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 1019.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 1055.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 1091.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 1127.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 1163.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 1199.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 1235.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 1271.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 1307.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 1343.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 1379.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
[paragraph, [35.0, 1415.0, 827.0, 36.0], shoonya_0s6D8EKJ2D29WJ, 5766302]
