[1050, 693]
[folio, [519.0, 77.0, 85.0, 18.0], shoonya_2s1ESZ86BSY2QR, 5702043]
[folio, [519.0, 95.0, 85.0, 18.0], shoonya_2s1ESZ86BSY2QR, 5702043]
[paragraph, [67.0, 122.0, 542.0, 18.0], 7R7SaA4mek, 5702043]
[paragraph, [67.0, 140.0, 542.0, 18.0], 7R7SaA4mek, 5702043]
[paragraph, [67.0, 158.0, 542.0, 18.0], 7R7SaA4mek, 5702043]
[paragraph, [67.0, 176.0, 542.0, 18.0], 7R7SaA4mek, 5702043]
[paragraph, [67.0, 194.0, 542.0, 18.0], 7R7SaA4mek, 5702043]
[paragraph, [67.0, 212.0, 542.0, 18.0], 7R7SaA4mek, 5702043]
[paragraph, [67.0, 230.0, 542.0, 18.0], 7R7SaA4mek, 5702043]
[paragraph, [67.0, 248.0, 542.0, 18.0], 7R7SaA4mek, 5702043]
[paragraph, [80.0, 286.0, 530.0, 18.0], shoonya_0sYQY9NQ9C0BBL, 5702043]
[paragraph, [80.0, 304.0, 530.0, 18.0], shoonya_0sYQY9NQ9C0BBL, 5702043]
[paragraph, [80.0, 322.0, 530.0, 18.0], shoonya_0sYQY9NQ9C0BBL, 5702043]
[paragraph, [80.0, 340.0, 530.0, 18.0], shoonya_0sYQY9NQ9C0BBL, 5702043]
[paragraph, [80.0, 358.0, 530.0, 18.0], shoonya_0sYQY9NQ9C0BBL, 5702043]
[paragraph, [80.0, 376.0, 530.0, 18.0], shoonya_0sYQY9NQ9C0BBL, 5702043]
[paragraph, [80.0, 394.0, 530.0, 18.0], shoonya_0sYQY9NQ9C0BBL, 5702043]
[paragraph, [80.0, 412.0, 530.0, 18.0], shoonya_0sYQY9NQ9C0BBL, 5702043]
[paragraph, [85.0, 451.0, 528.0, 18.0], shoonya_1sT7ZO42ANDF6K, 5702043]
[paragraph, [85.0, 469.0, 528.0, 18.0], shoonya_1sT7ZO42ANDF6K, 5702043]
[paragraph, [85.0, 487.0, 528.0, 18.0], shoonya_1sT7ZO42ANDF6K, 5702043]
[paragraph, [85.0, 505.0, 528.0, 18.0], shoonya_1sT7ZO42ANDF6K, 5702043]
[paragraph, [85.0, 523.0, 528.0, 18.0], shoonya_1sT7ZO42ANDF6K, 5702043]
[paragraph, [85.0, 541.0, 528.0, 18.0], shoonya_1sT7ZO42ANDF6K, 5702043]
[paragraph, [85.0, 559.0, 528.0, 18.0], shoonya_1sT7ZO42ANDF6K, 5702043]
[paragraph, [85.0, 577.0, 528.0, 18.0], shoonya_1sT7ZO42ANDF6K, 5702043]
[paragraph, [83.0, 613.0, 534.0, 18.0], 4vk0i9isNp, 5702043]
[paragraph, [83.0, 631.0, 534.0, 18.0], 4vk0i9isNp, 5702043]
[paragraph, [83.0, 649.0, 534.0, 18.0], 4vk0i9isNp, 5702043]
[paragraph, [80.0, 681.0, 530.0, 18.0], -Jx-E6r9oZ, 5702043]
[paragraph, [80.0, 699.0, 530.0, 18.0], -Jx-E6r9oZ, 5702043]
[paragraph, [80.0, 717.0, 530.0, 18.0], -Jx-E6r9oZ, 5702043]
[paragraph, [80.0, 735.0, 530.0, 18.0], -Jx-E6r9oZ, 5702043]
[paragraph, [80.0, 753.0, 530.0, 18.0], -Jx-E6r9oZ, 5702043]
[paragraph, [80.0, 771.0, 530.0, 18.0], -Jx-E6r9oZ, 5702043]
[paragraph, [80.0, 789.0, 530.0, 18.0], -Jx-E6r9oZ, 5702043]
[paragraph, [80.0, 807.0, 530.0, 18.0], -Jx-E6r9oZ, 5702043]
[paragraph, [79.0, 840.0, 536.0, 18.0], shoonya_4sXIPUC64TFDFG, 5702043]
[paragraph, [79.0, 858.0, 536.0, 18.0], shoonya_4sXIPUC64TFDFG, 5702043]
[paragraph, [79.0, 876.0, 536.0, 18.0], shoonya_4sXIPUC64TFDFG, 5702043]
[paragraph, [79.0, 894.0, 536.0, 18.0], shoonya_4sXIPUC64TFDFG, 5702043]
[paragraph, [79.0, 912.0, 536.0, 18.0], shoonya_4sXIPUC64TFDFG, 5702043]
[paragraph, [135.0, 938.0, 374.0, 18.0], PlZoJWZHXC, 5702043]
[paragraph, [135.0, 956.0, 374.0, 18.0], PlZoJWZHXC, 5702043]
