[1755, 1240]
[paragraph, [167.0, 178.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 214.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 250.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 286.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 322.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 358.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 394.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 430.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 466.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 502.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 538.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 574.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 610.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 646.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 682.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 718.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 754.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 790.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 826.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 862.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 898.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 934.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 970.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 1006.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 1042.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 1078.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 1114.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 1150.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 1186.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 1222.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 1258.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 1294.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 1330.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 1366.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 1402.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 1438.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[paragraph, [167.0, 1474.0, 559.0, 36.0], MzSeLcTe-h, 5719033]
[jumpline, [988.0, 1553.0, 110.0, 36.0], uoaE6ljEGk, 5719033]
[folio, [131.0, 1554.0, 126.0, 36.0], shoonya_1sW6PI323XUW60, 5719033]
