[1754, 1241]
[ordered-list, [171.0, 190.0, 926.0, 36.0], shoonya_2sRM1TCKRQMNLV, 5708751]
[ordered-list, [171.0, 226.0, 926.0, 36.0], shoonya_2sRM1TCKRQMNLV, 5708751]
[ordered-list, [171.0, 262.0, 926.0, 36.0], shoonya_2sRM1TCKRQMNLV, 5708751]
[ordered-list, [171.0, 298.0, 926.0, 36.0], shoonya_2sRM1TCKRQMNLV, 5708751]
[ordered-list, [171.0, 334.0, 926.0, 36.0], shoonya_2sRM1TCKRQMNLV, 5708751]
[ordered-list, [171.0, 370.0, 926.0, 36.0], shoonya_2sRM1TCKRQMNLV, 5708751]
[ordered-list, [171.0, 406.0, 926.0, 36.0], shoonya_2sRM1TCKRQMNLV, 5708751]
[ordered-list, [171.0, 442.0, 926.0, 36.0], shoonya_2sRM1TCKRQMNLV, 5708751]
[ordered-list, [171.0, 478.0, 926.0, 36.0], shoonya_2sRM1TCKRQMNLV, 5708751]
[ordered-list, [171.0, 514.0, 926.0, 36.0], shoonya_2sRM1TCKRQMNLV, 5708751]
[ordered-list, [171.0, 550.0, 926.0, 36.0], shoonya_2sRM1TCKRQMNLV, 5708751]
[ordered-list, [171.0, 586.0, 926.0, 36.0], shoonya_2sRM1TCKRQMNLV, 5708751]
[ordered-list, [171.0, 622.0, 926.0, 36.0], shoonya_2sRM1TCKRQMNLV, 5708751]
[ordered-list, [171.0, 658.0, 926.0, 36.0], shoonya_2sRM1TCKRQMNLV, 5708751]
[ordered-list, [171.0, 694.0, 926.0, 36.0], shoonya_2sRM1TCKRQMNLV, 5708751]
[ordered-list, [171.0, 730.0, 926.0, 36.0], shoonya_2sRM1TCKRQMNLV, 5708751]
[ordered-list, [171.0, 766.0, 926.0, 36.0], shoonya_2sRM1TCKRQMNLV, 5708751]
[ordered-list, [171.0, 802.0, 926.0, 36.0], shoonya_2sRM1TCKRQMNLV, 5708751]
[ordered-list, [171.0, 838.0, 926.0, 36.0], shoonya_2sRM1TCKRQMNLV, 5708751]
[ordered-list, [171.0, 874.0, 926.0, 36.0], shoonya_2sRM1TCKRQMNLV, 5708751]
[ordered-list, [171.0, 910.0, 926.0, 36.0], shoonya_2sRM1TCKRQMNLV, 5708751]
[ordered-list, [171.0, 946.0, 926.0, 36.0], shoonya_2sRM1TCKRQMNLV, 5708751]
[ordered-list, [171.0, 982.0, 926.0, 36.0], shoonya_2sRM1TCKRQMNLV, 5708751]
[paragraph, [134.0, 1042.0, 961.0, 36.0], utgMynXYco, 5708751]
[paragraph, [134.0, 1078.0, 961.0, 36.0], utgMynXYco, 5708751]
[paragraph, [142.0, 1133.0, 950.0, 36.0], KXPVKhNAsB, 5708751]
[paragraph, [130.0, 1206.0, 964.0, 36.0], Vb--dNC2sJ, 5708751]
[paragraph, [130.0, 1242.0, 964.0, 36.0], Vb--dNC2sJ, 5708751]
[paragraph, [145.0, 1356.0, 951.0, 36.0], shoonya_1sVUE8TVFYJ860, 5708751]
[paragraph, [145.0, 1392.0, 951.0, 36.0], shoonya_1sVUE8TVFYJ860, 5708751]
[paragraph, [145.0, 1428.0, 951.0, 36.0], shoonya_1sVUE8TVFYJ860, 5708751]
