[853, 552]
[paragraph, [52.0, 122.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 140.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 158.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 176.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 194.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 212.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 230.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 248.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 266.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 284.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 302.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 320.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 338.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 356.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 374.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 392.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 410.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 428.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 446.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 464.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 482.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 500.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 518.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 536.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 554.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 572.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 590.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 608.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 626.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 644.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 662.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 680.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 698.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 716.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 734.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
[paragraph, [52.0, 752.0, 445.0, 18.0], shoonya_0sDQ86JZFLAO70, 5774461]
