[1275, 750]
[folio, [220.0, 74.0, 301.0, 18.0], KAJ0oSc13z, 5767048]
[folio, [220.0, 92.0, 301.0, 18.0], KAJ0oSc13z, 5767048]
[folio, [220.0, 110.0, 301.0, 18.0], KAJ0oSc13z, 5767048]
[paragraph, [71.0, 146.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 164.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 182.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 200.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 218.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 236.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 254.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 272.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 290.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 308.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 326.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 344.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 362.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 380.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 398.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 416.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 434.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 452.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 470.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 488.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 506.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 524.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 542.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 560.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 578.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 596.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 614.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 632.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 650.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 668.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 686.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 704.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 722.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 740.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 758.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 776.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[paragraph, [71.0, 794.0, 603.0, 18.0], shoonya_2sY40LUBSL2OBA, 5767048]
[ordered-list, [82.0, 829.0, 610.0, 18.0], shoonya_1sQANTAV3XLEOC, 5767048]
[ordered-list, [82.0, 847.0, 610.0, 18.0], shoonya_1sQANTAV3XLEOC, 5767048]
[ordered-list, [82.0, 865.0, 610.0, 18.0], shoonya_1sQANTAV3XLEOC, 5767048]
[ordered-list, [82.0, 883.0, 610.0, 18.0], shoonya_1sQANTAV3XLEOC, 5767048]
[ordered-list, [82.0, 901.0, 610.0, 18.0], shoonya_1sQANTAV3XLEOC, 5767048]
[ordered-list, [82.0, 919.0, 610.0, 18.0], shoonya_1sQANTAV3XLEOC, 5767048]
[ordered-list, [82.0, 937.0, 610.0, 18.0], shoonya_1sQANTAV3XLEOC, 5767048]
[ordered-list, [82.0, 955.0, 610.0, 18.0], shoonya_1sQANTAV3XLEOC, 5767048]
[ordered-list, [82.0, 973.0, 610.0, 18.0], shoonya_1sQANTAV3XLEOC, 5767048]
[ordered-list, [82.0, 991.0, 610.0, 18.0], shoonya_1sQANTAV3XLEOC, 5767048]
[ordered-list, [82.0, 1009.0, 610.0, 18.0], shoonya_1sQANTAV3XLEOC, 5767048]
[ordered-list, [82.0, 1027.0, 610.0, 18.0], shoonya_1sQANTAV3XLEOC, 5767048]
[ordered-list, [82.0, 1045.0, 610.0, 18.0], shoonya_1sQANTAV3XLEOC, 5767048]
[ordered-list, [82.0, 1063.0, 610.0, 18.0], shoonya_1sQANTAV3XLEOC, 5767048]
[ordered-list, [82.0, 1081.0, 610.0, 18.0], shoonya_1sQANTAV3XLEOC, 5767048]
[ordered-list, [82.0, 1099.0, 610.0, 18.0], shoonya_1sQANTAV3XLEOC, 5767048]
[ordered-list, [82.0, 1117.0, 610.0, 18.0], shoonya_1sQANTAV3XLEOC, 5767048]
[ordered-list, [82.0, 1135.0, 610.0, 18.0], shoonya_1sQANTAV3XLEOC, 5767048]
[ordered-list, [82.0, 1153.0, 610.0, 18.0], shoonya_1sQANTAV3XLEOC, 5767048]
[ordered-list, [82.0, 1171.0, 610.0, 18.0], shoonya_1sQANTAV3XLEOC, 5767048]
