[2070, 1531]
[paragraph, [40.0, 91.0, 727.0, 36.0], shoonya_0sRND9XSH0IQJI, 5713152]
[paragraph, [40.0, 127.0, 727.0, 36.0], shoonya_0sRND9XSH0IQJI, 5713152]
[paragraph, [40.0, 163.0, 727.0, 36.0], shoonya_0sRND9XSH0IQJI, 5713152]
[paragraph, [40.0, 199.0, 727.0, 36.0], shoonya_0sRND9XSH0IQJI, 5713152]
[paragraph, [771.0, 101.0, 694.0, 36.0], shoonya_3s42SANR1OSJ65, 5713152]
[paragraph, [771.0, 137.0, 694.0, 36.0], shoonya_3s42SANR1OSJ65, 5713152]
[paragraph, [771.0, 173.0, 694.0, 36.0], shoonya_3s42SANR1OSJ65, 5713152]
[paragraph, [771.0, 209.0, 694.0, 36.0], shoonya_3s42SANR1OSJ65, 5713152]
[paragraph, [771.0, 245.0, 694.0, 36.0], shoonya_3s42SANR1OSJ65, 5713152]
[paragraph, [771.0, 281.0, 694.0, 36.0], shoonya_3s42SANR1OSJ65, 5713152]
[paragraph, [41.0, 270.0, 730.0, 36.0], shoonya_12sKMWOI9FPZGQ, 5713152]
[paragraph, [41.0, 306.0, 730.0, 36.0], shoonya_12sKMWOI9FPZGQ, 5713152]
[paragraph, [41.0, 342.0, 730.0, 36.0], shoonya_12sKMWOI9FPZGQ, 5713152]
[paragraph, [41.0, 378.0, 730.0, 36.0], shoonya_12sKMWOI9FPZGQ, 5713152]
[paragraph, [41.0, 414.0, 730.0, 36.0], shoonya_12sKMWOI9FPZGQ, 5713152]
[paragraph, [41.0, 450.0, 730.0, 36.0], shoonya_12sKMWOI9FPZGQ, 5713152]
[paragraph, [41.0, 486.0, 730.0, 36.0], shoonya_12sKMWOI9FPZGQ, 5713152]
[paragraph, [772.0, 340.0, 687.0, 36.0], shoonya_1sSCTKW0FSR149, 5713152]
[paragraph, [772.0, 376.0, 687.0, 36.0], shoonya_1sSCTKW0FSR149, 5713152]
[paragraph, [772.0, 412.0, 687.0, 36.0], shoonya_1sSCTKW0FSR149, 5713152]
[paragraph, [772.0, 448.0, 687.0, 36.0], shoonya_1sSCTKW0FSR149, 5713152]
[paragraph, [772.0, 484.0, 687.0, 36.0], shoonya_1sSCTKW0FSR149, 5713152]
[paragraph, [772.0, 520.0, 687.0, 36.0], shoonya_1sSCTKW0FSR149, 5713152]
[paragraph, [772.0, 556.0, 687.0, 36.0], shoonya_1sSCTKW0FSR149, 5713152]
[paragraph, [772.0, 592.0, 687.0, 36.0], shoonya_1sSCTKW0FSR149, 5713152]
[paragraph, [772.0, 628.0, 687.0, 36.0], shoonya_1sSCTKW0FSR149, 5713152]
[paragraph, [772.0, 664.0, 687.0, 36.0], shoonya_1sSCTKW0FSR149, 5713152]
[paragraph, [772.0, 700.0, 687.0, 36.0], shoonya_1sSCTKW0FSR149, 5713152]
[paragraph, [772.0, 736.0, 687.0, 36.0], shoonya_1sSCTKW0FSR149, 5713152]
[paragraph, [45.0, 535.0, 724.0, 36.0], shoonya_13sLTEMG8JNPVJ, 5713152]
[paragraph, [45.0, 571.0, 724.0, 36.0], shoonya_13sLTEMG8JNPVJ, 5713152]
[paragraph, [45.0, 607.0, 724.0, 36.0], shoonya_13sLTEMG8JNPVJ, 5713152]
[paragraph, [45.0, 643.0, 724.0, 36.0], shoonya_13sLTEMG8JNPVJ, 5713152]
[paragraph, [45.0, 679.0, 724.0, 36.0], shoonya_13sLTEMG8JNPVJ, 5713152]
[paragraph, [37.0, 733.0, 728.0, 36.0], shoonya_10sXUB1YGWTFTR, 5713152]
[paragraph, [37.0, 769.0, 728.0, 36.0], shoonya_10sXUB1YGWTFTR, 5713152]
[paragraph, [37.0, 805.0, 728.0, 36.0], shoonya_10sXUB1YGWTFTR, 5713152]
[paragraph, [37.0, 841.0, 728.0, 36.0], shoonya_10sXUB1YGWTFTR, 5713152]
[paragraph, [37.0, 877.0, 728.0, 36.0], shoonya_10sXUB1YGWTFTR, 5713152]
[paragraph, [37.0, 913.0, 728.0, 36.0], shoonya_10sXUB1YGWTFTR, 5713152]
[paragraph, [37.0, 949.0, 728.0, 36.0], shoonya_10sXUB1YGWTFTR, 5713152]
[paragraph, [37.0, 985.0, 728.0, 36.0], shoonya_10sXUB1YGWTFTR, 5713152]
[paragraph, [37.0, 1021.0, 728.0, 36.0], shoonya_10sXUB1YGWTFTR, 5713152]
[paragraph, [37.0, 1057.0, 728.0, 36.0], shoonya_10sXUB1YGWTFTR, 5713152]
[paragraph, [37.0, 1093.0, 728.0, 36.0], shoonya_10sXUB1YGWTFTR, 5713152]
[paragraph, [37.0, 1129.0, 728.0, 36.0], shoonya_10sXUB1YGWTFTR, 5713152]
[paragraph, [37.0, 1165.0, 728.0, 36.0], shoonya_10sXUB1YGWTFTR, 5713152]
[paragraph, [775.0, 801.0, 678.0, 36.0], shoonya_2sX17MVW5BMJNL, 5713152]
[paragraph, [775.0, 837.0, 678.0, 36.0], shoonya_2sX17MVW5BMJNL, 5713152]
[paragraph, [775.0, 873.0, 678.0, 36.0], shoonya_2sX17MVW5BMJNL, 5713152]
[paragraph, [775.0, 909.0, 678.0, 36.0], shoonya_2sX17MVW5BMJNL, 5713152]
[paragraph, [775.0, 945.0, 678.0, 36.0], shoonya_2sX17MVW5BMJNL, 5713152]
[paragraph, [775.0, 981.0, 678.0, 36.0], shoonya_2sX17MVW5BMJNL, 5713152]
[paragraph, [775.0, 1017.0, 678.0, 36.0], shoonya_2sX17MVW5BMJNL, 5713152]
[paragraph, [775.0, 1053.0, 678.0, 36.0], shoonya_2sX17MVW5BMJNL, 5713152]
[paragraph, [773.0, 1102.0, 683.0, 36.0], shoonya_5sTMTPMAAK16MU, 5713152]
[paragraph, [773.0, 1138.0, 683.0, 36.0], shoonya_5sTMTPMAAK16MU, 5713152]
[paragraph, [773.0, 1174.0, 683.0, 36.0], shoonya_5sTMTPMAAK16MU, 5713152]
[paragraph, [38.0, 1203.0, 731.0, 36.0], shoonya_8sJ94N79L6I779, 5713152]
[section-title, [206.0, 1280.0, 1007.0, 52.5], eGTU0COWxX, 5713152]
[paragraph, [236.0, 1332.0, 518.0, 36.0], shoonya_14sSW8SRHNFXE6, 5713152]
[paragraph, [236.0, 1368.0, 518.0, 36.0], shoonya_14sSW8SRHNFXE6, 5713152]
[paragraph, [236.0, 1404.0, 518.0, 36.0], shoonya_14sSW8SRHNFXE6, 5713152]
[paragraph, [236.0, 1440.0, 518.0, 36.0], shoonya_14sSW8SRHNFXE6, 5713152]
[paragraph, [236.0, 1476.0, 518.0, 36.0], shoonya_14sSW8SRHNFXE6, 5713152]
[paragraph, [763.0, 1338.0, 711.0, 36.0], shoonya_6sSVE86PWHN95H, 5713152]
[paragraph, [763.0, 1374.0, 711.0, 36.0], shoonya_6sSVE86PWHN95H, 5713152]
[paragraph, [763.0, 1410.0, 711.0, 36.0], shoonya_6sSVE86PWHN95H, 5713152]
[paragraph, [763.0, 1446.0, 711.0, 36.0], shoonya_6sSVE86PWHN95H, 5713152]
[paragraph, [763.0, 1482.0, 711.0, 36.0], shoonya_6sSVE86PWHN95H, 5713152]
[paragraph, [763.0, 1518.0, 711.0, 36.0], shoonya_6sSVE86PWHN95H, 5713152]
[paragraph, [763.0, 1554.0, 711.0, 36.0], shoonya_6sSVE86PWHN95H, 5713152]
[paragraph, [763.0, 1590.0, 711.0, 36.0], shoonya_6sSVE86PWHN95H, 5713152]
[paragraph, [763.0, 1626.0, 711.0, 36.0], shoonya_6sSVE86PWHN95H, 5713152]
[paragraph, [763.0, 1662.0, 711.0, 36.0], shoonya_6sSVE86PWHN95H, 5713152]
[paragraph, [763.0, 1698.0, 711.0, 36.0], shoonya_6sSVE86PWHN95H, 5713152]
[paragraph, [763.0, 1734.0, 711.0, 36.0], shoonya_6sSVE86PWHN95H, 5713152]
[paragraph, [249.0, 1540.0, 498.0, 36.0], 1DNnB45VwU, 5713152]
[paragraph, [7.0, 1575.0, 751.0, 36.0], 9lklhqRbLd, 5713152]
[paragraph, [7.0, 1611.0, 751.0, 36.0], 9lklhqRbLd, 5713152]
[paragraph, [7.0, 1647.0, 751.0, 36.0], 9lklhqRbLd, 5713152]
[paragraph, [7.0, 1683.0, 751.0, 36.0], 9lklhqRbLd, 5713152]
[paragraph, [7.0, 1719.0, 751.0, 36.0], 9lklhqRbLd, 5713152]
[paragraph, [7.0, 1755.0, 751.0, 36.0], 9lklhqRbLd, 5713152]
[paragraph, [7.0, 1791.0, 751.0, 36.0], 9lklhqRbLd, 5713152]
[paragraph, [7.0, 1827.0, 751.0, 36.0], 9lklhqRbLd, 5713152]
[paragraph, [7.0, 1863.0, 751.0, 36.0], 9lklhqRbLd, 5713152]
[paragraph, [7.0, 1899.0, 751.0, 36.0], 9lklhqRbLd, 5713152]
[paragraph, [7.0, 1935.0, 751.0, 36.0], 9lklhqRbLd, 5713152]
[paragraph, [764.0, 1775.0, 699.0, 36.0], shoonya_4sLGP6SQ312PI5, 5713152]
[paragraph, [764.0, 1811.0, 699.0, 36.0], shoonya_4sLGP6SQ312PI5, 5713152]
[paragraph, [764.0, 1847.0, 699.0, 36.0], shoonya_4sLGP6SQ312PI5, 5713152]
[paragraph, [764.0, 1883.0, 699.0, 36.0], shoonya_4sLGP6SQ312PI5, 5713152]
[author, [1062.0, 1933.0, 395.0, 36.0], shoonya_11sX8J4084GWOX, 5713152]
