[1601, 1158]
[section-title, [725.0, 81.0, 321.0, 49.5], shoonya_4sZTJONK083AR9, 5695937]
[paragraph, [717.0, 162.0, 334.0, 36.0], shoonya_6s6M1237ARTXZ3, 5695937]
[paragraph, [717.0, 198.0, 334.0, 36.0], shoonya_6s6M1237ARTXZ3, 5695937]
[paragraph, [717.0, 234.0, 334.0, 36.0], shoonya_6s6M1237ARTXZ3, 5695937]
[paragraph, [717.0, 270.0, 334.0, 36.0], shoonya_6s6M1237ARTXZ3, 5695937]
[paragraph, [717.0, 306.0, 334.0, 36.0], shoonya_6s6M1237ARTXZ3, 5695937]
[paragraph, [717.0, 342.0, 334.0, 36.0], shoonya_6s6M1237ARTXZ3, 5695937]
[paragraph, [717.0, 378.0, 334.0, 36.0], shoonya_6s6M1237ARTXZ3, 5695937]
[paragraph, [717.0, 414.0, 334.0, 36.0], shoonya_6s6M1237ARTXZ3, 5695937]
[paragraph, [717.0, 450.0, 334.0, 36.0], shoonya_6s6M1237ARTXZ3, 5695937]
[paragraph, [100.0, 451.0, 479.0, 36.0], shoonya_1s26YQHF03ZUGI, 5695937]
[paragraph, [100.0, 487.0, 479.0, 36.0], shoonya_1s26YQHF03ZUGI, 5695937]
[paragraph, [100.0, 523.0, 479.0, 36.0], shoonya_1s26YQHF03ZUGI, 5695937]
[paragraph, [100.0, 559.0, 479.0, 36.0], shoonya_1s26YQHF03ZUGI, 5695937]
[paragraph, [100.0, 595.0, 479.0, 36.0], shoonya_1s26YQHF03ZUGI, 5695937]
[paragraph, [100.0, 631.0, 479.0, 36.0], shoonya_1s26YQHF03ZUGI, 5695937]
[paragraph, [100.0, 667.0, 479.0, 36.0], shoonya_1s26YQHF03ZUGI, 5695937]
[paragraph, [100.0, 703.0, 479.0, 36.0], shoonya_1s26YQHF03ZUGI, 5695937]
[paragraph, [100.0, 739.0, 479.0, 36.0], shoonya_1s26YQHF03ZUGI, 5695937]
[paragraph, [100.0, 775.0, 479.0, 36.0], shoonya_1s26YQHF03ZUGI, 5695937]
[paragraph, [100.0, 811.0, 479.0, 36.0], shoonya_1s26YQHF03ZUGI, 5695937]
[paragraph, [100.0, 847.0, 479.0, 36.0], shoonya_1s26YQHF03ZUGI, 5695937]
[paragraph, [100.0, 883.0, 479.0, 36.0], shoonya_1s26YQHF03ZUGI, 5695937]
[paragraph, [582.0, 496.0, 471.0, 36.0], shoonya_5sHKBJFDSXSGCE, 5695937]
[paragraph, [582.0, 532.0, 471.0, 36.0], shoonya_5sHKBJFDSXSGCE, 5695937]
[paragraph, [582.0, 568.0, 471.0, 36.0], shoonya_5sHKBJFDSXSGCE, 5695937]
[paragraph, [582.0, 604.0, 471.0, 36.0], shoonya_5sHKBJFDSXSGCE, 5695937]
[paragraph, [577.0, 643.0, 475.0, 36.0], shoonya_3sIBJMCNMODMRF, 5695937]
[paragraph, [577.0, 679.0, 475.0, 36.0], shoonya_3sIBJMCNMODMRF, 5695937]
[paragraph, [577.0, 715.0, 475.0, 36.0], shoonya_3sIBJMCNMODMRF, 5695937]
[paragraph, [577.0, 751.0, 475.0, 36.0], shoonya_3sIBJMCNMODMRF, 5695937]
[paragraph, [577.0, 787.0, 475.0, 36.0], shoonya_3sIBJMCNMODMRF, 5695937]
[paragraph, [577.0, 823.0, 475.0, 36.0], shoonya_3sIBJMCNMODMRF, 5695937]
[paragraph, [577.0, 859.0, 475.0, 36.0], shoonya_3sIBJMCNMODMRF, 5695937]
