[1461, 1106]
[paragraph, [145.0, 115.0, 836.0, 18.0], shoonya_0sLSOMEEUV79Y4, 5759544]
[paragraph, [145.0, 133.0, 836.0, 18.0], shoonya_0sLSOMEEUV79Y4, 5759544]
[paragraph, [145.0, 151.0, 836.0, 18.0], shoonya_0sLSOMEEUV79Y4, 5759544]
[paragraph, [145.0, 169.0, 836.0, 18.0], shoonya_0sLSOMEEUV79Y4, 5759544]
[paragraph, [145.0, 187.0, 836.0, 18.0], shoonya_0sLSOMEEUV79Y4, 5759544]
[unordered-list, [142.0, 212.0, 170.0, 18.0], MRBpvqRDRE, 5759544]
[unordered-list, [142.0, 230.0, 170.0, 18.0], MRBpvqRDRE, 5759544]
[unordered-list, [142.0, 248.0, 170.0, 18.0], MRBpvqRDRE, 5759544]
[unordered-list, [142.0, 266.0, 170.0, 18.0], MRBpvqRDRE, 5759544]
[unordered-list, [142.0, 284.0, 170.0, 18.0], MRBpvqRDRE, 5759544]
[unordered-list, [142.0, 302.0, 170.0, 18.0], MRBpvqRDRE, 5759544]
[unordered-list, [142.0, 320.0, 170.0, 18.0], MRBpvqRDRE, 5759544]
[unordered-list, [142.0, 338.0, 170.0, 18.0], MRBpvqRDRE, 5759544]
[unordered-list, [366.0, 217.0, 190.0, 18.0], _6T1y9qn2E, 5759544]
[unordered-list, [366.0, 235.0, 190.0, 18.0], _6T1y9qn2E, 5759544]
[unordered-list, [366.0, 253.0, 190.0, 18.0], _6T1y9qn2E, 5759544]
[unordered-list, [366.0, 271.0, 190.0, 18.0], _6T1y9qn2E, 5759544]
[unordered-list, [366.0, 289.0, 190.0, 18.0], _6T1y9qn2E, 5759544]
[unordered-list, [366.0, 307.0, 190.0, 18.0], _6T1y9qn2E, 5759544]
[unordered-list, [366.0, 325.0, 190.0, 18.0], _6T1y9qn2E, 5759544]
[unordered-list, [597.0, 217.0, 337.0, 18.0], IVJQUIiLjV, 5759544]
[unordered-list, [597.0, 235.0, 337.0, 18.0], IVJQUIiLjV, 5759544]
[unordered-list, [597.0, 253.0, 337.0, 18.0], IVJQUIiLjV, 5759544]
[unordered-list, [597.0, 271.0, 337.0, 18.0], IVJQUIiLjV, 5759544]
[unordered-list, [597.0, 289.0, 337.0, 18.0], IVJQUIiLjV, 5759544]
[unordered-list, [597.0, 307.0, 337.0, 18.0], IVJQUIiLjV, 5759544]
[unordered-list, [597.0, 325.0, 337.0, 18.0], IVJQUIiLjV, 5759544]
[paragraph, [142.0, 371.0, 844.0, 18.0], g5tIqA6noO, 5759544]
[paragraph, [142.0, 389.0, 844.0, 18.0], g5tIqA6noO, 5759544]
[paragraph, [142.0, 407.0, 844.0, 18.0], g5tIqA6noO, 5759544]
[paragraph, [142.0, 425.0, 844.0, 18.0], g5tIqA6noO, 5759544]
[paragraph, [142.0, 443.0, 844.0, 18.0], g5tIqA6noO, 5759544]
[paragraph, [142.0, 461.0, 844.0, 18.0], g5tIqA6noO, 5759544]
[paragraph, [142.0, 479.0, 844.0, 18.0], g5tIqA6noO, 5759544]
[section-title, [147.0, 524.0, 365.0, 30.0], shoonya_3s2ME6G802LZUU, 5759544]
[figure-caption, [629.0, 797.0, 349.0, 18.0], IfUfMZELqf, 5759544]
[figure-caption, [629.0, 815.0, 349.0, 18.0], IfUfMZELqf, 5759544]
[figure-caption, [629.0, 833.0, 349.0, 18.0], IfUfMZELqf, 5759544]
[paragraph, [142.0, 990.0, 839.0, 18.0], shoonya_4s1CS48WITWXAI, 5759544]
[paragraph, [142.0, 1008.0, 839.0, 18.0], shoonya_4s1CS48WITWXAI, 5759544]
[paragraph, [142.0, 1026.0, 839.0, 18.0], shoonya_4s1CS48WITWXAI, 5759544]
[paragraph, [142.0, 1044.0, 839.0, 18.0], shoonya_4s1CS48WITWXAI, 5759544]
[paragraph, [142.0, 1062.0, 839.0, 18.0], shoonya_4s1CS48WITWXAI, 5759544]
[paragraph, [142.0, 1080.0, 839.0, 18.0], shoonya_4s1CS48WITWXAI, 5759544]
[paragraph, [142.0, 1098.0, 839.0, 18.0], shoonya_4s1CS48WITWXAI, 5759544]
[paragraph, [142.0, 1116.0, 839.0, 18.0], shoonya_4s1CS48WITWXAI, 5759544]
[paragraph, [145.0, 1160.0, 835.0, 18.0], shoonya_5sU1O2K43ZNVJ1, 5759544]
[paragraph, [145.0, 1178.0, 835.0, 18.0], shoonya_5sU1O2K43ZNVJ1, 5759544]
[paragraph, [145.0, 1196.0, 835.0, 18.0], shoonya_5sU1O2K43ZNVJ1, 5759544]
[paragraph, [145.0, 1214.0, 835.0, 18.0], shoonya_5sU1O2K43ZNVJ1, 5759544]
[paragraph, [145.0, 1232.0, 835.0, 18.0], shoonya_5sU1O2K43ZNVJ1, 5759544]
[paragraph, [145.0, 1250.0, 835.0, 18.0], shoonya_5sU1O2K43ZNVJ1, 5759544]
[paragraph, [145.0, 1268.0, 835.0, 18.0], shoonya_5sU1O2K43ZNVJ1, 5759544]
[folio, [197.0, 1344.0, 147.0, 18.0], udQT8QU0mJ, 5759544]
