[2339, 1653]
[paragraph, [388.0, 196.0, 1074.0, 36.0], shoonya_1s282YEQ3Z6A2Z, 5733842]
[paragraph, [388.0, 232.0, 1074.0, 36.0], shoonya_1s282YEQ3Z6A2Z, 5733842]
[paragraph, [388.0, 268.0, 1074.0, 36.0], shoonya_1s282YEQ3Z6A2Z, 5733842]
[paragraph, [388.0, 304.0, 1074.0, 36.0], shoonya_1s282YEQ3Z6A2Z, 5733842]
[paragraph, [388.0, 340.0, 1074.0, 36.0], shoonya_1s282YEQ3Z6A2Z, 5733842]
[paragraph, [388.0, 376.0, 1074.0, 36.0], shoonya_1s282YEQ3Z6A2Z, 5733842]
[paragraph, [388.0, 412.0, 1074.0, 36.0], shoonya_1s282YEQ3Z6A2Z, 5733842]
[paragraph, [388.0, 448.0, 1074.0, 36.0], shoonya_1s282YEQ3Z6A2Z, 5733842]
[paragraph, [388.0, 484.0, 1074.0, 36.0], shoonya_1s282YEQ3Z6A2Z, 5733842]
[paragraph, [388.0, 520.0, 1074.0, 36.0], shoonya_1s282YEQ3Z6A2Z, 5733842]
[paragraph, [388.0, 556.0, 1074.0, 36.0], shoonya_1s282YEQ3Z6A2Z, 5733842]
[paragraph, [388.0, 592.0, 1074.0, 36.0], shoonya_1s282YEQ3Z6A2Z, 5733842]
[paragraph, [388.0, 628.0, 1074.0, 36.0], shoonya_1s282YEQ3Z6A2Z, 5733842]
[paragraph, [388.0, 664.0, 1074.0, 36.0], shoonya_1s282YEQ3Z6A2Z, 5733842]
[unordered-list, [445.0, 887.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 923.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 959.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 995.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 1031.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 1067.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 1103.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 1139.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 1175.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 1211.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 1247.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 1283.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 1319.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 1355.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 1391.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 1427.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 1463.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 1499.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 1535.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 1571.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 1607.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 1643.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 1679.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 1715.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 1751.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 1787.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 1823.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 1859.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 1895.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 1931.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 1967.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 2003.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 2039.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[unordered-list, [445.0, 2075.0, 1023.0, 36.0], shoonya_0sBK6PQV7XMU5F, 5733842]
[folio, [771.0, 2180.0, 610.0, 36.0], -NpUPmmRsp, 5733842]
