[2084, 1289]
[paragraph, [126.0, 266.0, 1045.0, 36.0], shoonya_1sRVSKULHQP3KK, 5661135]
[paragraph, [126.0, 302.0, 1045.0, 36.0], shoonya_1sRVSKULHQP3KK, 5661135]
[paragraph, [126.0, 338.0, 1045.0, 36.0], shoonya_1sRVSKULHQP3KK, 5661135]
[paragraph, [126.0, 374.0, 1045.0, 36.0], shoonya_1sRVSKULHQP3KK, 5661135]
[paragraph, [126.0, 410.0, 1045.0, 36.0], shoonya_1sRVSKULHQP3KK, 5661135]
[paragraph, [126.0, 446.0, 1045.0, 36.0], shoonya_1sRVSKULHQP3KK, 5661135]
[paragraph, [126.0, 482.0, 1045.0, 36.0], shoonya_1sRVSKULHQP3KK, 5661135]
[paragraph, [126.0, 518.0, 1045.0, 36.0], shoonya_1sRVSKULHQP3KK, 5661135]
[paragraph, [126.0, 554.0, 1045.0, 36.0], shoonya_1sRVSKULHQP3KK, 5661135]
[paragraph, [126.0, 590.0, 1045.0, 36.0], shoonya_1sRVSKULHQP3KK, 5661135]
[paragraph, [126.0, 626.0, 1045.0, 36.0], shoonya_1sRVSKULHQP3KK, 5661135]
[paragraph, [126.0, 662.0, 1045.0, 36.0], shoonya_1sRVSKULHQP3KK, 5661135]
[ordered-list, [125.0, 719.0, 1037.0, 36.0], shoonya_4sVPBKDWRNYOVG, 5661135]
[ordered-list, [125.0, 755.0, 1037.0, 36.0], shoonya_4sVPBKDWRNYOVG, 5661135]
[ordered-list, [125.0, 791.0, 1037.0, 36.0], shoonya_4sVPBKDWRNYOVG, 5661135]
[ordered-list, [125.0, 827.0, 1037.0, 36.0], shoonya_4sVPBKDWRNYOVG, 5661135]
[ordered-list, [125.0, 863.0, 1037.0, 36.0], shoonya_4sVPBKDWRNYOVG, 5661135]
[ordered-list, [125.0, 899.0, 1037.0, 36.0], shoonya_4sVPBKDWRNYOVG, 5661135]
[ordered-list, [125.0, 935.0, 1037.0, 36.0], shoonya_4sVPBKDWRNYOVG, 5661135]
[ordered-list, [125.0, 971.0, 1037.0, 36.0], shoonya_4sVPBKDWRNYOVG, 5661135]
[ordered-list, [125.0, 1007.0, 1037.0, 36.0], shoonya_4sVPBKDWRNYOVG, 5661135]
[ordered-list, [125.0, 1043.0, 1037.0, 36.0], shoonya_4sVPBKDWRNYOVG, 5661135]
[ordered-list, [125.0, 1079.0, 1037.0, 36.0], shoonya_4sVPBKDWRNYOVG, 5661135]
[ordered-list, [125.0, 1115.0, 1037.0, 36.0], shoonya_4sVPBKDWRNYOVG, 5661135]
[ordered-list, [125.0, 1151.0, 1037.0, 36.0], shoonya_4sVPBKDWRNYOVG, 5661135]
[ordered-list, [125.0, 1187.0, 1037.0, 36.0], shoonya_4sVPBKDWRNYOVG, 5661135]
[ordered-list, [125.0, 1223.0, 1037.0, 36.0], shoonya_4sVPBKDWRNYOVG, 5661135]
[ordered-list, [125.0, 1259.0, 1037.0, 36.0], shoonya_4sVPBKDWRNYOVG, 5661135]
[ordered-list, [125.0, 1295.0, 1037.0, 36.0], shoonya_4sVPBKDWRNYOVG, 5661135]
[ordered-list, [125.0, 1331.0, 1037.0, 36.0], shoonya_4sVPBKDWRNYOVG, 5661135]
[section-title, [428.0, 1417.0, 428.0, 52.5], wGUrRyC7Gp, 5661135]
[ordered-list, [139.0, 1517.0, 1023.0, 36.0], shoonya_0sRJX55UV6OOFN, 5661135]
[ordered-list, [139.0, 1553.0, 1023.0, 36.0], shoonya_0sRJX55UV6OOFN, 5661135]
[ordered-list, [139.0, 1589.0, 1023.0, 36.0], shoonya_0sRJX55UV6OOFN, 5661135]
[ordered-list, [139.0, 1625.0, 1023.0, 36.0], shoonya_0sRJX55UV6OOFN, 5661135]
[ordered-list, [139.0, 1661.0, 1023.0, 36.0], shoonya_0sRJX55UV6OOFN, 5661135]
[ordered-list, [139.0, 1697.0, 1023.0, 36.0], shoonya_0sRJX55UV6OOFN, 5661135]
[ordered-list, [139.0, 1733.0, 1023.0, 36.0], shoonya_0sRJX55UV6OOFN, 5661135]
[ordered-list, [139.0, 1769.0, 1023.0, 36.0], shoonya_0sRJX55UV6OOFN, 5661135]
[ordered-list, [139.0, 1805.0, 1023.0, 36.0], shoonya_0sRJX55UV6OOFN, 5661135]
[ordered-list, [139.0, 1841.0, 1023.0, 36.0], shoonya_0sRJX55UV6OOFN, 5661135]
[folio, [633.0, 1938.0, 655.0, 36.0], shoonya_5sY1BBTBY3ABJ7, 5661135]
[folio, [633.0, 1974.0, 655.0, 36.0], shoonya_5sY1BBTBY3ABJ7, 5661135]
