[2339, 1656]
[paragraph, [185.0, 186.0, 1286.0, 36.0], shoonya_2s3VUJK68RGYPU, 5752151]
[paragraph, [185.0, 222.0, 1286.0, 36.0], shoonya_2s3VUJK68RGYPU, 5752151]
[paragraph, [185.0, 258.0, 1286.0, 36.0], shoonya_2s3VUJK68RGYPU, 5752151]
[paragraph, [185.0, 294.0, 1286.0, 36.0], shoonya_2s3VUJK68RGYPU, 5752151]
[paragraph, [185.0, 330.0, 1286.0, 36.0], shoonya_2s3VUJK68RGYPU, 5752151]
[paragraph, [185.0, 366.0, 1286.0, 36.0], shoonya_2s3VUJK68RGYPU, 5752151]
[paragraph, [185.0, 402.0, 1286.0, 36.0], shoonya_2s3VUJK68RGYPU, 5752151]
[paragraph, [185.0, 438.0, 1286.0, 36.0], shoonya_2s3VUJK68RGYPU, 5752151]
[paragraph, [185.0, 474.0, 1286.0, 36.0], shoonya_2s3VUJK68RGYPU, 5752151]
[paragraph, [185.0, 510.0, 1286.0, 36.0], shoonya_2s3VUJK68RGYPU, 5752151]
[paragraph, [185.0, 546.0, 1286.0, 36.0], shoonya_2s3VUJK68RGYPU, 5752151]
[paragraph, [185.0, 582.0, 1286.0, 36.0], shoonya_2s3VUJK68RGYPU, 5752151]
[paragraph, [185.0, 618.0, 1286.0, 36.0], shoonya_2s3VUJK68RGYPU, 5752151]
[paragraph, [185.0, 654.0, 1286.0, 36.0], shoonya_2s3VUJK68RGYPU, 5752151]
[paragraph, [185.0, 690.0, 1286.0, 36.0], shoonya_2s3VUJK68RGYPU, 5752151]
[paragraph, [185.0, 726.0, 1286.0, 36.0], shoonya_2s3VUJK68RGYPU, 5752151]
[paragraph, [185.0, 762.0, 1286.0, 36.0], shoonya_2s3VUJK68RGYPU, 5752151]
[paragraph, [184.0, 834.0, 1287.0, 36.0], 0MGdP1jADG, 5752151]
[paragraph, [184.0, 870.0, 1287.0, 36.0], 0MGdP1jADG, 5752151]
[paragraph, [184.0, 906.0, 1287.0, 36.0], 0MGdP1jADG, 5752151]
[paragraph, [184.0, 942.0, 1287.0, 36.0], 0MGdP1jADG, 5752151]
[section-title, [184.0, 1022.0, 767.0, 52.5], SSRCidXXzM, 5752151]
[paragraph, [178.0, 1126.0, 1304.0, 36.0], B4uVahsotn, 5752151]
[paragraph, [178.0, 1162.0, 1304.0, 36.0], B4uVahsotn, 5752151]
[paragraph, [178.0, 1198.0, 1304.0, 36.0], B4uVahsotn, 5752151]
[paragraph, [178.0, 1234.0, 1304.0, 36.0], B4uVahsotn, 5752151]
[paragraph, [178.0, 1270.0, 1304.0, 36.0], B4uVahsotn, 5752151]
[paragraph, [178.0, 1306.0, 1304.0, 36.0], B4uVahsotn, 5752151]
[paragraph, [183.0, 1379.0, 1292.0, 36.0], shoonya_0sSW3K00I709JW, 5752151]
[paragraph, [183.0, 1415.0, 1292.0, 36.0], shoonya_0sSW3K00I709JW, 5752151]
[paragraph, [183.0, 1451.0, 1292.0, 36.0], shoonya_0sSW3K00I709JW, 5752151]
[paragraph, [183.0, 1487.0, 1292.0, 36.0], shoonya_0sSW3K00I709JW, 5752151]
[paragraph, [183.0, 1523.0, 1292.0, 36.0], shoonya_0sSW3K00I709JW, 5752151]
[paragraph, [183.0, 1559.0, 1292.0, 36.0], shoonya_0sSW3K00I709JW, 5752151]
[paragraph, [183.0, 1595.0, 1292.0, 36.0], shoonya_0sSW3K00I709JW, 5752151]
[paragraph, [183.0, 1631.0, 1292.0, 36.0], shoonya_0sSW3K00I709JW, 5752151]
[paragraph, [183.0, 1667.0, 1292.0, 36.0], shoonya_0sSW3K00I709JW, 5752151]
[paragraph, [183.0, 1703.0, 1292.0, 36.0], shoonya_0sSW3K00I709JW, 5752151]
[paragraph, [183.0, 1739.0, 1292.0, 36.0], shoonya_0sSW3K00I709JW, 5752151]
[paragraph, [183.0, 1775.0, 1292.0, 36.0], shoonya_0sSW3K00I709JW, 5752151]
[paragraph, [183.0, 1811.0, 1292.0, 36.0], shoonya_0sSW3K00I709JW, 5752151]
[paragraph, [183.0, 1847.0, 1292.0, 36.0], shoonya_0sSW3K00I709JW, 5752151]
[paragraph, [183.0, 1883.0, 1292.0, 36.0], shoonya_0sSW3K00I709JW, 5752151]
[paragraph, [183.0, 1919.0, 1292.0, 36.0], shoonya_0sSW3K00I709JW, 5752151]
[paragraph, [183.0, 1955.0, 1292.0, 36.0], shoonya_0sSW3K00I709JW, 5752151]
[folio, [293.0, 2142.0, 478.0, 36.0], AIMX4aK4BY, 5752151]
[folio, [1012.0, 2144.0, 341.0, 36.0], -vUrQP3Cf6, 5752151]
